player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id
Joe Burrow,2023,5,275,55,219.01,0.245,312.433274,62.486655,248.821859,00-0036442
Aaron Rodgers,2023,3,112.5,37.5,75,0.167,127.813612,42.604537,85.209075,00-0023459
Josh Allen,2021,6,258,43,150,0.236,361.05863,60.176438,209.917808,00-0034857
Russell Wilson,2022,5,245,49,165,0.235,300.542747,60.108549,202.40634,00-0029263
Justin Herbert,2023,5,262.5,52.5,193.738375,0.234,298.231762,59.646352,220.110236,00-0036355
Lamar Jackson,2023,5,260,52,185,0.231,295.391459,59.078292,210.182384,00-0034796
Patrick Mahomes,2020,10,450,45,141,0.227,579.868819,57.986882,181.69223,00-0033873
Jalen Hurts,2023,5,255,51,179.304,0.227,289.710854,57.942171,203.711039,00-0036389
Kyler Murray,2022,5,230.5,46.1,160,0.221,282.755524,56.551105,196.272815,00-0035228
Deshaun Watson,2022,5,230,46,230,0.221,282.142171,56.428434,282.142171,00-0033537
Dak Prescott,2021,4,160,40,126,0.219,223.912329,55.978082,176.330959,00-0033077
Derek Carr,2023,4,150,37.5,100,0.167,170.418149,42.604537,113.6121,00-0031280
Matt Stafford,2022,4,160,40,135,0.192,196.272815,49.068204,165.605187,00-0026498
Jared Goff,2019,4,134,33.5,110.042682,0.178,181.846971,45.461743,149.335287,00-0033106
Daniel Jones,2023,4,160,40,104,0.178,181.779359,45.44484,118.156584,00-0035710
Carson Wentz,2023,1,1.315,1.315,0.15,0.006,1.493999,1.493999,0.170418,00-0032950
Matt Ryan,2018,5,150,30,100,0.169,216.196388,43.239278,144.130926,00-0026143
Kirk Cousins,2022,1,35,35,70,0.168,42.934678,42.934678,85.869356,00-0029604
Jimmy Garoppolo,2023,3,72.75,24.25,33.75,0.108,82.652802,27.550934,38.344084,00-0031345
Ryan Tannehill,2020,4,118,29.5,91,0.149,152.05449,38.013623,117.262361,00-0029701
Tom Brady,2021,1,25,25,25,0.137,34.986301,34.986301,34.986301,00-0019596
Alex Smith,2018,4,94,23.5,71,0.133,135.48307,33.870767,102.332957,00-0023436
Drew Brees,2020,2,50,25,25,0.126,64.429869,32.214934,32.214934,00-0020531
Nick Foles,2022,2,6.2,3.1,4,0.015,7.605572,3.802786,4.90682,00-0029567
Geno Smith,2023,3,75,25,40,0.111,85.209075,28.403025,45.44484,00-0030565
Teddy Bridgewater,2023,1,3,3,2.55,0.013,3.408363,3.408363,2.897109,00-0031237
Ben Roethlisberger,2021,1,14,14,14,0.077,19.592329,19.592329,19.592329,00-0022924
Baker Mayfield,2023,1,4,4,4,0.018,4.544484,4.544484,4.544484,00-0034855
Jameis Winston,2023,1,4,4,4,0.018,4.544484,4.544484,4.544484,00-0031503
Jordan Love,2023,1,13.5,13.5,13,0.06,15.337633,15.337633,14.769573,00-0036264
Andy Dalton,2023,2,10,5,8,0.022,11.36121,5.680605,9.088968,00-0027973
Ryan Fitzpatrick,2021,1,10,10,6,0.055,13.994521,13.994521,8.396712,00-0023682
Taysom Hill,2021,4,40,10,21.5,0.055,55.978082,13.994521,30.088219,00-0033357
Trevor Lawrence,2021,4,36.793486,9.198372,36.783486,0.05,51.49072,12.872681,51.476725,00-0036971
Zach Wilson,2021,4,35.15068,8.787695,35.15068,0.048,49.191691,12.297958,49.191691,00-0037013
Trey Lance,2021,4,34.105258,8.526315,34.105258,0.047,47.728673,11.932169,47.728673,00-0037012
Cam Newton,2021,1,8.25,8.25,4.5,0.045,11.545479,11.545479,6.297534,00-0027939
Marcus Mariota,2023,1,5,5,5,0.022,5.680605,5.680605,5.680605,00-0032268
Sam Darnold,2023,1,4.5,4.5,3.5,0.02,5.112544,5.112544,3.976423,00-0034869
