Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Zaven Collins,#25,ED,17.0,252.0,73.9,24.0,7.0,1.0,3.1,15.0,6.1,0.0,2.5,0 (0)
Andre Chachere,#36,S,12.0,174.0,70.1,10.0,5.0,2.0,11.8,2.0,1.2,0.0,10.7,0 (0)
Budda Baker,#03,S,12.0,352.0,67.0,34.0,16.0,6.0,10.7,13.0,3.8,0.0,6.3,0 (0)
Roy Lopez,#98,DI,14.0,213.0,64.2,28.0,12.0,4.0,9.1,23.0,11.0,0.0,2.5,1 (0)
Victor Dimukeje,#52,ED,16.0,195.0,60.5,12.0,5.0,0.0,0.0,9.0,4.8,1.0,2.1,0 (0)
Kyzir White,#07,LB,11.0,309.0,60.3,36.0,23.0,4.0,6.3,17.0,5.6,0.0,3.6,3 (0)
Dante Stills,#55,DI,15.0,245.0,60.1,21.0,14.0,2.0,5.4,13.0,5.4,0.0,2.8,1 (0)
Qwuantrezz Knight,#28,S,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Divaad Wilson,#27,CB,2.0,52.0,59.3,3.0,1.0,1.0,20.0,1.0,2.0,0.0,6.0,1 (0)
Krys Barnes,#51,LB,10.0,174.0,58.9,23.0,12.0,3.0,7.9,15.0,8.8,0.0,4.8,0 (0)
K'Von Wallace,#22,S,6.0,150.0,58.9,15.0,5.0,4.0,16.7,4.0,2.7,0.0,7.4,0 (0)
Carlos Watkins,#94,DI,2.0,18.0,57.9,4.0,1.0,0.0,0.0,3.0,16.7,0.0,2.8,0 (0)
Jesse Luketa,#43,ED,11.0,81.0,57.6,7.0,3.0,1.0,9.1,4.0,5.1,0.0,2.9,0 (0)
BJ Ojulari,#18,ED,17.0,175.0,56.9,16.0,10.0,1.0,3.7,7.0,4.0,0.0,5.8,0 (0)
Cameron Thomas,#97,ED,15.0,137.0,55.7,18.0,4.0,0.0,0.0,12.0,9.0,0.0,2.8,1 (0)
Jalen Thompson,#34,S,15.0,413.0,54.6,25.0,9.0,6.0,15.0,6.0,1.5,0.0,11.9,3 (0)
Tyreek Maddox-Williams,#58,LB,1.0,2.0,54.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Garrett Williams,#21,CB,9.0,127.0,53.8,8.0,1.0,0.0,0.0,4.0,3.2,0.0,5.4,0 (0)
Ezekiel Turner,#47,LB,2.0,28.0,53.7,3.0,3.0,1.0,14.3,1.0,3.7,0.0,5.3,1 (0)
Starling Thomas V,#24,CB,11.0,226.0,53.4,7.0,2.0,1.0,10.0,4.0,1.8,0.0,6.9,3 (0)
Eric Banks,#96,DI,2.0,19.0,52.4,2.0,0.0,0.0,0.0,2.0,10.5,0.0,4.0,0 (0)
Kei'Trel Clark,#13,CB,8.0,182.0,50.4,8.0,3.0,4.0,26.7,3.0,1.7,0.0,4.6,1 (0)
Marco Wilson,#20,CB,11.0,297.0,50.2,5.0,5.0,3.0,23.1,0.0,0.0,0.0,9.0,4 (0)
Ben Stille,#90,DI,5.0,68.0,49.3,5.0,2.0,1.0,12.5,3.0,4.5,0.0,4.4,1 (0)
Owen Pappoe,#44,LB,5.0,40.0,49.1,3.0,3.0,0.0,0.0,1.0,2.6,0.0,5.7,0 (0)
Naquan Jones,#96,DI,4.0,44.0,48.8,4.0,4.0,0.0,0.0,3.0,7.0,0.0,1.8,2 (0)
Joey Blount,#32,S,4.0,13.0,48.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
Antonio Hamilton Sr.,#33,CB,11.0,243.0,47.7,9.0,5.0,4.0,22.2,3.0,1.3,0.0,4.1,5 (0)
L.J. Collier,#91,DI,1.0,11.0,47.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Kevin Strong,#92,DI,14.0,238.0,46.6,28.0,13.0,5.0,10.9,24.0,10.3,0.0,2.3,2 (0)
Phil Hoskins,#79,DI,5.0,67.0,46.1,5.0,3.0,1.0,11.1,3.0,4.6,0.0,4.2,0 (0)
Dennis Gardeck,#45,ED,17.0,156.0,44.5,19.0,2.0,6.0,22.2,14.0,9.2,0.0,4.1,2 (0)
Leki Fotu,#95,DI,11.0,164.0,40.7,17.0,6.0,4.0,14.8,10.0,6.2,0.0,2.9,0 (0)
Tyreke Smith,#50,ED,2.0,7.0,31.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Jonathan Ledbetter,#93,DI,12.0,278.0,30.0,27.0,12.0,4.0,9.3,19.0,7.0,0.0,3.3,2 (0)
Josh Woods,#10,LB,11.0,261.0,29.0,20.0,19.0,11.0,22.0,11.0,4.3,0.0,4.5,0 (0)
,,,,,,,,,,,,,,
