player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Kyler Murray,2022,5,230.5,46.1,160.0,0.221,282.755524,56.551105,196.272815,00-0035228,2023,ARI,QB,QB,1.0,1997-08-07,ARI,1.0,26.0
Colt McCoy,2022,2,7.5,3.25,6.0,0.016,9.200288,3.986792,7.360231,00-0027688,2023,ARI,QB,QB,12.0,1986-09-05,CLE,85.0,37.0
Clayton Tune,2023,4,4.190624,1.047656,0.350624,0.005,4.761056,1.190264,0.398351,00-0038582,2023,ARI,QB,QB,15.0,1999-03-23,ARI,139.0,25.0
James Conner,2022,3,21.0,7.0,13.5,0.034,25.760807,8.586936,16.560519,00-0033553,2023,ARI,RB,RB,6.0,1995-05-05,PIT,105.0,28.0
Marlon Mack,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033951,2023,ARI,RB,RB,37.0,1996-03-07,IND,143.0,28.0
Damien Williams,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0030874,2023,ARI,RB,RB,29.0,1992-04-03,,,32.0
Michael Carter,2021,4,4.28736,1.07184,0.80736,0.006,5.999955,1.499989,1.129862,00-0036924,2023,ARI,RB,RB,22.0,1999-05-07,NYJ,107.0,24.0
Corey Clement,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033725,2023,ARI,RB,RB,23.0,1994-11-02,,,29.0
Stevie Scott III,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036548,2023,ARI,RB,RB,49.0,,,,
Tony Jones,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035860,2023,ARI,RB,RB,37.0,1997-11-24,,,26.0
Ty Williams,2022,2,1.695,0.8475,0.0,0.004,2.079265,1.039633,0.0,00-0036457,2023,ARI,RB,RB,22.0,,,,
Emari Demercado,2023,3,2.71,0.903333,0.07,0.004,3.078888,1.026296,0.079528,00-0038705,2023,ARI,RB,RB,31.0,1999-01-20,,,25.0
Zach Pascal,2023,2,4.5,2.25,1.5,0.01,5.112544,2.556272,1.704181,00-0033251,2023,ARI,WR,WR,0.0,1994-12-18,,,29.0
Marquise Brown,2019,4,11.78734,2.946835,11.589976,0.016,15.99621,3.999052,15.728373,00-0035662,2023,ARI,WR,WR,2.0,1997-06-04,BAL,25.0,26.0
Rondale Moore,2021,4,6.924254,1.731064,4.030559,0.009,9.690161,2.422541,5.640574,00-0036936,2023,ARI,WR,WR,4.0,2000-06-09,ARI,49.0,23.0
Michael Wilson,2023,4,5.339462,1.334866,0.883244,0.006,6.066275,1.516569,1.003472,00-0038559,2023,ARI,WR,WR,14.0,2000-02-23,ARI,94.0,24.0
Jeff Smith,2023,1,1.2,1.2,0.0,0.005,1.363345,1.363345,0.0,00-0035510,2023,ARI,WR,WR,81.0,1997-04-21,,,27.0
Greg Dortch,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035500,2023,ARI,WR,WR,83.0,1998-05-29,,,25.0
Elijah Higgins,2023,4,4.01588,1.00397,0.17588,0.004,4.562526,1.140631,0.199821,00-0039041,2023,ARI,TE,TE,84.0,2000-10-27,MIA,197.0,23.0
Brandon Smith,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036775,2023,ARI,WR,WR,89.0,,,,
