Rank,PLAYER,#,POS,#G,PASS,COV,COV%,COV,PEN,TGT,REC,REC%,YDS,Y/REC,YAC,aDoT,LNG,FI,FI%,PBU,INT,DRI,TD,NFL,S/TGT,S/REC,TKL,AST,MIS,MIS%,STOP
1,Jalen Thompson,#34,S,15,525,510,97.1,77.0,3 (0),38,26,68.4,336,12.9,86,11.1,53,5,13,4,4,0,2,73.9,12.6,18.3,37,5,1,2.3,12
2,Joey Blount,#32,S,5,12,12,100.0,72.6,0 (0),1,0,0.0,0,,0,58.0,,0,0,0,1,0,0,0.0,12.0,,1,0,0,0.0,0
3,Owen Pappoe,#44,LB,6,74,54,73.0,69.9,0 (0),5,4,80.0,37,9.3,19,2.4,19,0,0,0,0,0,0,97.5,10.2,12.8,3,1,1,20.0,1
4,Andre Chachere,#36,S,17,293,285,97.3,69.4,0 (0),11,5,45.5,95,19.0,22,11.0,63,2,18,2,0,0,1,106.3,24.5,54.0,14,1,3,16.7,2
5,Antonio Hamilton Sr.,#33,CB,14,316,312,98.7,69.1,5 (0),44,25,56.8,269,10.8,104,11.1,49,9,21,6,1,1,2,80.6,6.6,11.7,21,1,3,12.0,7
6,Zaven Collins,#25,ED,17,384,112,29.2,67.0,0 (0),9,8,88.9,74,9.3,50,2.4,24,1,11,1,1,0,0,61.3,11.4,12.9,6,4,2,16.7,7
7,BJ Ojulari,#18,ED,17,234,73,31.2,66.9,0 (0),12,12,100.0,79,6.6,75,0.3,13,0,0,0,0,0,0,94.1,5.9,5.9,6,4,0,0.0,6
8,Victor Dimukeje,#52,ED,16,190,39,20.5,65.8,0 (0),5,4,80.0,20,5.0,4,7.0,6,1,20,0,0,0,0,83.3,7.2,9.0,5,0,5,50.0,5
9,Budda Baker,#03,S,12,411,390,94.9,63.1,0 (0),18,11,61.1,176,16.0,70,12.0,35,1,6,0,0,1,3,133.3,20.3,33.3,26,9,1,2.8,8
10,Dennis Gardeck,#45,ED,17,354,112,31.6,61.9,2 (0),18,15,83.3,112,7.5,94,2.3,37,1,6,0,0,0,2,129.6,5.9,7.1,12,4,1,5.9,13
11,Qwuantrezz Knight,#28,S,1,3,3,100.0,60.3,0 (0),0,0,,0,,0,,,0,,0,0,0,0,0.0,,,0,0,0,,0
12,Kyzir White,#07,LB,11,399,363,91.0,59.8,3 (0),43,35,81.4,347,9.9,238,3.3,37,3,7,3,1,1,2,106.1,7.8,9.6,28,8,5,12.2,13
13,Krys Barnes,#51,LB,10,234,215,91.9,59.2,0 (0),22,17,77.3,160,9.4,103,4.5,26,3,14,3,1,0,2,108.1,9.3,12.0,16,1,3,15.0,6
14,Garrett Williams,#21,CB,9,233,232,99.6,57.2,0 (0),29,21,72.4,182,8.7,120,6.3,23,1,3,1,1,0,1,85.7,7.6,10.5,13,1,3,17.6,3
15,K'Von Wallace,#22,S,6,243,233,95.9,56.8,0 (0),18,13,72.2,134,10.3,57,6.9,19,3,17,3,1,0,0,70.1,12.1,16.7,19,5,5,17.2,3
16,Kei'Trel Clark,#13,CB,8,282,281,99.6,53.4,1 (0),40,29,72.5,343,11.8,59,13.9,49,4,10,2,0,0,2,114.9,6.6,9.1,29,3,3,8.6,4
17,Josh Woods,#10,LB,11,307,280,91.2,46.0,0 (0),30,24,80.0,205,8.5,152,3.5,24,1,3,0,0,0,4,134.7,8.7,10.9,20,5,6,19.4,6
18,Ezekiel Turner,#47,LB,2,22,21,95.5,45.3,1 (0),2,2,100.0,17,8.5,9,4.0,10,0,0,0,0,0,0,102.1,9.5,9.5,3,0,1,25.0,0
19,Starling Thomas V,#24,CB,11,247,246,99.6,44.1,3 (0),46,37,80.4,441,11.9,100,12.0,59,6,13,2,0,0,5,142.8,5.1,6.4,27,0,1,3.6,6
20,Divaad Wilson,#27,CB,2,44,43,97.7,40.4,1 (0),7,5,71.4,61,12.2,18,7.9,25,0,0,0,0,0,0,97.9,6.0,8.4,2,0,1,33.3,0
21,Marco Wilson,#20,CB,11,397,396,99.7,40.0,4 (0),65,51,78.5,732,14.4,176,11.8,58,5,8,4,0,1,5,139.2,5.6,7.2,36,5,6,12.8,5
22,Cameron Thomas,#97,ED,15,218,18,8.3,38.9,1 (0),1,1,100.0,11,11.0,6,5.0,11,0,0,0,0,0,0,112.5,18.0,18.0,0,0,2,100.0,0
23,Tyreek Maddox-Williams,#58,LB,1,3,3,100.0,33.1,0 (0),1,0,0.0,0,,0,19.0,,0,0,0,0,0,0,39.6,3.0,,0,0,0,,0
24,Jesse Luketa,#43,ED,10,51,19,37.3,32.1,0 (0),2,2,100.0,15,7.5,0,11.5,14,0,0,0,0,0,1,137.5,9.0,9.0,0,0,2,100.0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
