Rank,PLAYER,#,POS,#G,RDEF,RDEF,TKL,AST,MIS,MIS%,STOP,STOP%,FFM,AVDT,PEN
1,Zaven Collins,#25,ED,17,252,73.9,24,7,1,3.1,15,6.1,0,2.5,0 (0)
2,Andre Chachere,#36,S,12,174,70.1,10,5,2,11.8,2,1.2,0,10.7,0 (0)
3,Budda Baker,#03,S,12,352,67.0,34,16,6,10.7,13,3.8,0,6.3,0 (0)
4,Roy Lopez,#98,DI,14,213,64.2,28,12,4,9.1,23,11.0,0,2.5,1 (0)
5,Victor Dimukeje,#52,ED,16,195,60.5,12,5,0,0.0,9,4.8,1,2.1,0 (0)
6,Kyzir White,#07,LB,11,309,60.3,36,23,4,6.3,17,5.6,0,3.6,3 (0)
7,Dante Stills,#55,DI,15,245,60.1,21,14,2,5.4,13,5.4,0,2.8,1 (0)
8,Qwuantrezz Knight,#28,S,1,1,60.0,0,0,0,,0,0.0,0,,0 (0)
9,Divaad Wilson,#27,CB,2,52,59.3,3,1,1,20.0,1,2.0,0,6.0,1 (0)
10,Krys Barnes,#51,LB,10,174,58.9,23,12,3,7.9,15,8.8,0,4.8,0 (0)
10,K'Von Wallace,#22,S,6,150,58.9,15,5,4,16.7,4,2.7,0,7.4,0 (0)
12,Carlos Watkins,#94,DI,2,18,57.9,4,1,0,0.0,3,16.7,0,2.8,0 (0)
13,Jesse Luketa,#43,ED,11,81,57.6,7,3,1,9.1,4,5.1,0,2.9,0 (0)
14,BJ Ojulari,#18,ED,17,175,56.9,16,10,1,3.7,7,4.0,0,5.8,0 (0)
15,Cameron Thomas,#97,ED,15,137,55.7,18,4,0,0.0,12,9.0,0,2.8,1 (0)
16,Jalen Thompson,#34,S,15,413,54.6,25,9,6,15.0,6,1.5,0,11.9,3 (0)
17,Tyreek Maddox-Williams,#58,LB,1,2,54.4,0,0,0,,0,0.0,0,,0 (0)
18,Garrett Williams,#21,CB,9,127,53.8,8,1,0,0.0,4,3.2,0,5.4,0 (0)
19,Ezekiel Turner,#47,LB,2,28,53.7,3,3,1,14.3,1,3.7,0,5.3,1 (0)
20,Starling Thomas V,#24,CB,11,226,53.4,7,2,1,10.0,4,1.8,0,6.9,3 (0)
21,Eric Banks,#96,DI,2,19,52.4,2,0,0,0.0,2,10.5,0,4.0,0 (0)
22,Kei'Trel Clark,#13,CB,8,182,50.4,8,3,4,26.7,3,1.7,0,4.6,1 (0)
23,Marco Wilson,#20,CB,11,297,50.2,5,5,3,23.1,0,0.0,0,9.0,4 (0)
24,Ben Stille,#90,DI,5,68,49.3,5,2,1,12.5,3,4.5,0,4.4,1 (0)
25,Owen Pappoe,#44,LB,5,40,49.1,3,3,0,0.0,1,2.6,0,5.7,0 (0)
26,Naquan Jones,#96,DI,4,44,48.8,4,4,0,0.0,3,7.0,0,1.8,2 (0)
27,Joey Blount,#32,S,4,13,48.6,0,1,0,0.0,0,0.0,0,,0 (0)
28,Antonio Hamilton Sr.,#33,CB,11,243,47.7,9,5,4,22.2,3,1.3,0,4.1,5 (0)
29,L.J. Collier,#91,DI,1,11,47.4,0,0,0,,0,0.0,0,,0 (0)
30,Kevin Strong,#92,DI,14,238,46.6,28,13,5,10.9,24,10.3,0,2.3,2 (0)
31,Phil Hoskins,#79,DI,5,67,46.1,5,3,1,11.1,3,4.6,0,4.2,0 (0)
32,Dennis Gardeck,#45,ED,17,156,44.5,19,2,6,22.2,14,9.2,0,4.1,2 (0)
33,Leki Fotu,#95,DI,11,164,40.7,17,6,4,14.8,10,6.2,0,2.9,0 (0)
34,Tyreke Smith,#50,ED,2,7,31.5,0,0,0,,0,0.0,0,,0 (0)
35,Jonathan Ledbetter,#93,DI,12,278,30.0,27,12,4,9.3,19,7.0,0,3.3,2 (0)
36,Josh Woods,#10,LB,11,261,29.0,20,19,11,22.0,11,4.3,0,4.5,0 (0)
,,,,,,,,,,,,,,,
