Rank,PLAYER,#,POS,#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,aDoT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1st,RTG,PEN
1,Trey McBride,#85,TE,17,105,81,77.1,825,10.2,3,76.3,80.5,78.8,51.5,55.1,455,406,89.2,19,4.2,236,51.9,29,6.4,183,40.2,430,5.3,2.03,6.2,38,4,4.7,15,11,73.3,4,1,12,42,92.8,8 (0)
2,Greg Dortch,#83,WR,13,38,24,63.2,280,11.7,2,68.2,71.2,85.7,88.8,-,258,245,95.0,0,0.0,73,28.3,184,71.3,0,0.0,153,6.4,1.14,9.6,38,0,0.0,8,2,25.0,0,0,7,14,103.0,1 (0)
3,Elijah Higgins,#84,TE,11,17,14,82.4,163,11.6,1,63.6,70.4,64.4,72.7,68.4,100,91,91.0,1,1.0,51,51.0,12,12.0,36,36.0,71,5.1,1.79,7.4,26,1,6.7,1,1,100.0,0,0,0,9,126.2,2 (0)
4,James Conner,#06,HB,13,31,27,87.1,165,6.1,2,89.2,69.2,86.5,90.8,68.0,269,201,74.7,51,19.0,9,3.3,27,10.0,0,0.0,230,8.5,0.82,-0.7,34,0,0.0,1,1,100.0,0,0,6,11,110.3,0 (0)
5,Michael Wilson,#14,WR,13,59,38,64.4,565,14.9,3,68.3,68.7,81.9,77.9,68.1,444,415,93.5,1,0.2,115,25.9,329,74.1,0,0.0,143,3.8,1.36,14.1,69,1,2.6,17,8,47.1,2,0,6,29,98.5,3 (1)
6,Marquise Brown,#02,WR,14,94,51,54.3,574,11.3,4,67.1,68.1,73.0,79.9,-,499,460,92.2,0,0.0,100,20.0,398,79.8,0,0.0,167,3.3,1.25,12.7,41,3,5.6,21,5,23.8,3,0,5,32,73.6,4 (1)
7,Michael Carter,#22,HB,6,12,9,75.0,33,3.7,1,76.6,66.8,77.3,79.1,80.7,55,48,87.3,4,7.3,0,0.0,1,1.8,0,0.0,33,3.7,0.69,0.1,8,0,0.0,0,0,,0,0,1,1,104.9,0 (0)
8,Damien Williams,#29,HB,3,2,2,100.0,12,6.0,0,72.7,66.7,68.3,74.4,80.2,13,10,76.9,3,23.1,1,7.7,1,7.7,0,0.0,11,5.5,1.20,0.5,8,0,0.0,0,0,,0,0,1,0,91.7,0 (0)
9,Keaontay Ingram,#30,HB,7,4,4,100.0,26,6.5,0,64.7,55.0,72.1,81.1,60.8,71,51,71.8,16,22.5,4,5.6,8,11.3,0,0.0,32,8.0,0.51,-1.5,9,0,0.0,0,0,,0,0,1,1,93.8,0 (0)
10,Geoff Swaim,#87,TE,14,11,10,90.9,94,9.4,0,50.2,53.4,60.2,71.5,66.6,145,100,69.0,35,24.1,14,9.7,5,3.4,124,85.5,30,3.0,0.94,5.5,26,1,9.1,1,1,100.0,0,0,0,4,102.3,0 (0)
11,Zach Ertz,#86,TE,7,42,27,64.3,187,6.9,1,50.8,51.7,36.0,75.9,29.4,203,186,91.6,3,1.5,111,54.7,25,12.3,67,33.0,51,1.9,1.01,7.0,17,4,12.9,7,3,42.9,2,0,0,8,62.3,0 (0)
12,Rondale Moore,#04,WR,17,61,40,65.6,352,8.8,1,53.6,50.5,52.5,51.2,-,517,479,92.6,0,0.0,353,68.3,136,26.3,0,0.0,214,5.4,0.73,6.3,48,5,11.1,7,2,28.6,0,1,7,17,86.2,0 (0)
13,Zach Pascal,#00,WR,14,13,4,30.8,19,4.8,0,47.6,46.6,41.6,67.0,-,103,93,90.3,0,0.0,17,16.5,86,83.5,0,0.0,14,3.5,0.20,10.5,9,1,20.0,5,1,20.0,1,0,1,1,8.2,0 (0)
14,Tony Jones Jr.,#37,HB,3,4,3,75.0,16,5.3,0,53.6,44.7,36.2,71.4,43.1,39,26,66.7,10,25.6,0,0.0,0,0.0,0,0.0,22,7.3,0.62,-3.3,11,1,25.0,0,0,,0,0,1,0,81.3,0 (0)
14,Emari Demercado,#31,HB,14,29,21,72.4,119,5.7,0,73.4,44.7,59.2,84.9,74.7,220,164,74.5,47,21.4,12,5.5,11,5.0,0,0.0,110,5.2,0.73,1.0,22,2,8.7,2,0,0.0,0,0,3,4,79.5,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
