Rank,PLAYER,#,POS,#G,OFF,BLK,BLK%,RBLK,PBLK,OFF,RBLK,PBLK,OPP,OPP%,SK,HIT,HUR,PR,EFF,PEN,LT,LG,C,RG,RT,ITE
1,Tyler Allgeier,#25,HB,17,358,56,15.6,24,32,82.9,43.4,90.3,30,21.7,0,0,0,0,100.0,0 (0),0,0,0,0,0,5
2,Jake Matthews,#70,T,17,"1,061","1,061",100.0,465,596,71.2,60.2,80.1,567,100.0,5,5,17,27,97.2,6 (1),"1,045",0,0,0,0,16
3,Kyle Hinton,#68,G,4,63,63,100.0,35,28,59.8,54.5,79.2,27,100.0,0,0,0,0,100.0,0 (0),0,1,0,62,0,0
4,Chris Lindstrom,#63,G,16,"1,066","1,066",100.0,460,606,87.6,87.5,78.6,574,100.0,3,2,10,15,98.4,7 (2),1,0,0,"1,065",0,0
5,Cordarrelle Patterson,#84,HB,14,177,36,20.3,33,3,62.7,58.1,78.3,3,3.4,0,0,0,0,100.0,0 (0),0,0,0,0,0,6
6,Kyle Pitts,#08,TE,17,726,240,33.1,230,10,68.1,31.2,77.6,8,1.7,0,0,0,0,100.0,4 (2),1,0,0,0,2,157
7,Jonnu Smith,#81,TE,17,653,257,39.4,213,44,59.1,43.7,75.4,41,9.9,0,0,3,3,96.3,5 (2),1,0,0,0,1,274
8,Tyler Vrabel,#73,T,1,57,57,100.0,20,37,68.1,62.1,71.6,33,100.0,0,0,0,0,100.0,0 (0),54,0,0,0,0,3
9,Parker Hesse,#46,TE,3,48,44,91.7,42,2,48.4,50.9,70.9,2,33.3,0,0,0,0,100.0,0 (0),0,0,0,0,0,33
10,Kaleb McGary,#76,T,14,847,846,99.9,368,478,75.5,76.5,69.5,455,99.8,4,4,9,17,97.7,3 (1),0,0,0,1,842,4
11,Storm Norton,#77,T,6,283,282,99.6,129,153,68.3,66.4,69.3,143,99.3,1,0,5,6,97.6,1 (0),2,0,0,0,276,5
12,KhaDarel Hodge,#12,WR,17,370,179,48.4,178,1,62.4,50.5,68.1,1,0.6,0,0,0,0,100.0,0 (0),0,0,0,0,0,0
13,Mack Hollins,#18,WR,13,343,176,51.3,175,1,64.6,61.0,66.1,1,0.6,0,0,0,0,100.0,1 (0),0,0,0,0,0,17
14,MyCole Pruitt,#85,TE,17,401,333,83.0,247,86,59.4,46.8,64.2,85,57.8,1,0,1,2,98.2,3 (0),15,0,0,0,4,334
15,Desmond Ridder,#09,QB,15,848,349,41.2,348,1,51.9,60.3,61.3,1,0.2,0,0,0,0,100.0,5 (0),0,0,0,0,0,0
16,Ryan Neuzil,#64,C,6,203,203,100.0,87,116,55.3,56.2,59.1,111,100.0,0,0,3,3,98.6,1 (0),0,0,196,0,0,4
17,Keith Smith,#40,FB,13,184,157,85.3,124,33,47.2,44.6,57.8,31,57.4,2,0,1,3,91.9,0 (0),0,0,0,0,0,9
18,Matthew Bergeron,#65,G,17,"1,127","1,127",100.0,495,632,59.1,59.6,57.1,599,100.0,6,8,19,33,96.7,4 (0),0,"1,127",0,0,0,0
19,Bijan Robinson,#07,HB,17,770,112,14.5,55,57,69.1,35.5,56.8,56,11.8,0,0,3,3,97.3,2 (0),0,0,0,0,0,2
20,Tucker Fisk,#43,TE,6,72,63,87.5,50,13,52.0,50.9,54.7,12,57.1,0,0,1,1,95.8,0 (0),0,0,0,0,0,10
21,Drew Dalman,#67,C,14,932,932,100.0,413,519,82.3,90.0,53.0,491,100.0,2,6,21,29,96.8,5 (2),0,0,932,0,0,0
22,Godwin Igwebuike,#42,HB,2,2,2,100.0,2,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
22,Logan Woodside,#11,QB,1,10,4,40.0,4,0,24.8,60.0,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
22,Chris Blair,#83,WR,1,8,5,62.5,5,0,56.8,59.4,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
22,Damiere Byrd,#14,WR,1,19,7,36.8,7,0,51.7,60.8,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
22,John Leglue,#66,C,1,8,8,100.0,8,0,61.9,61.6,-,0,,0,0,0,0,,0 (0),8,0,0,0,0,0
22,John FitzPatrick,#87,TE,5,18,11,61.1,11,0,63.7,49.3,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,9
22,Taylor Heinicke,#04,QB,5,271,108,39.9,108,0,52.5,60.9,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
22,Van Jefferson,#15,WR,12,356,132,37.1,132,0,51.3,59.9,-,0,0.0,0,0,0,0,,3 (0),0,0,0,0,0,0
22,Scott Miller,#16,WR,17,267,133,49.8,133,0,64.4,63.7,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
22,Drake London,#05,WR,16,860,349,40.6,349,0,78.9,56.7,-,0,0.0,0,0,0,0,,1 (0),0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
