Rank,PLAYER,#,POS,#G,PASS,PBLK,PB%,PBLK,PEN,OPP,OPP%,SK,HIT,HUR,PR,EFF,PASS,PBLK,PB%,PBLK,OPP,OPP%,SK,HIT,HUR,PR,EFF
1,Tyler Allgeier,#25,HB,17,146,32,21.9,90.3,0 (0),30,21.7,0,0,0,0,100.0,23,7,30.4,84.0,7,30.4,0,0,0,0,100.0
2,Jake Matthews,#70,T,17,596,596,100.0,80.1,2 (1),567,100.0,5,5,17,27,97.2,220,220,100.0,68.6,212,100.0,4,3,11,18,94.8
3,Kyle Hinton,#68,G,3,28,28,100.0,79.2,0 (0),27,100.0,0,0,0,0,100.0,4,4,100.0,54.4,4,100.0,0,0,0,0,100.0
4,Chris Lindstrom,#63,G,16,606,606,100.0,78.6,2 (2),574,100.0,3,2,10,15,98.4,224,224,100.0,74.9,214,100.0,2,1,7,10,97.2
5,Cordarrelle Patterson,#84,HB,14,92,3,3.3,78.3,0 (0),3,3.4,0,0,0,0,100.0,27,0,0.0,-,0,0.0,0,0,0,0,
6,Kyle Pitts,#08,TE,17,496,10,2.0,77.6,2 (2),8,1.7,0,0,0,0,100.0,207,1,0.5,71.6,1,0.5,0,0,0,0,100.0
7,Jonnu Smith,#81,TE,17,439,44,10.0,75.4,2 (1),41,9.9,0,0,3,3,96.3,168,4,2.4,79.2,4,2.5,0,0,0,0,100.0
8,Tyler Vrabel,#73,T,1,37,37,100.0,71.6,0 (0),33,100.0,0,0,0,0,100.0,8,8,100.0,50.9,6,100.0,0,0,0,0,100.0
9,Parker Hesse,#46,TE,2,6,2,33.3,70.9,0 (0),2,33.3,0,0,0,0,100.0,1,0,0.0,-,0,0.0,0,0,0,0,
10,Kaleb McGary,#76,T,14,479,478,99.8,69.5,1 (0),455,99.8,4,4,9,17,97.7,180,180,100.0,69.3,172,100.0,3,3,6,12,95.6
11,Storm Norton,#77,T,5,154,153,99.4,69.3,0 (0),143,99.3,1,0,5,6,97.6,48,48,100.0,58.4,46,100.0,1,0,4,5,93.5
12,KhaDarel Hodge,#12,WR,17,191,1,0.5,68.1,0 (0),1,0.6,0,0,0,0,100.0,67,0,0.0,-,0,0.0,0,0,0,0,
13,Mack Hollins,#18,WR,13,168,1,0.6,66.1,0 (0),1,0.6,0,0,0,0,100.0,65,0,0.0,-,0,0.0,0,0,0,0,
14,MyCole Pruitt,#85,TE,17,154,86,55.8,64.2,0 (0),85,57.8,1,0,1,2,98.2,16,4,25.0,24.6,4,26.7,0,0,0,0,100.0
15,Desmond Ridder,#09,QB,15,466,1,0.2,61.3,2 (0),1,0.2,0,0,0,0,100.0,159,0,0.0,-,0,0.0,0,0,0,0,
16,Ryan Neuzil,#64,C,5,116,116,100.0,59.1,0 (0),111,100.0,0,0,3,3,98.6,32,32,100.0,31.4,30,100.0,0,0,2,2,96.7
17,Keith Smith,#40,FB,13,60,33,55.0,57.8,0 (0),31,57.4,2,0,1,3,91.9,14,3,21.4,52.1,3,25.0,0,0,0,0,100.0
18,Matthew Bergeron,#65,G,17,632,632,100.0,57.1,1 (0),599,100.0,6,8,19,33,96.7,228,228,100.0,42.6,218,100.0,5,6,12,23,93.6
19,Bijan Robinson,#07,HB,17,498,57,11.4,56.8,0 (0),56,11.8,0,0,3,3,97.3,209,26,12.4,44.8,25,12.6,0,0,2,2,96.0
20,Tucker Fisk,#43,TE,6,22,13,59.1,54.7,0 (0),12,57.1,0,0,1,1,95.8,0,0,,-,0,,0,0,0,0,
21,Drew Dalman,#67,C,14,519,519,100.0,53.0,2 (1),491,100.0,2,6,21,29,96.8,196,196,100.0,54.1,188,100.0,1,3,10,14,96.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
