Rank,PLAYER,#,POS,#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,aDoT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1st,RTG,PEN
1,Tyler Allgeier,#25,HB,17,22,18,81.8,193,10.7,1,82.9,81.0,83.2,90.6,90.3,146,108,74.0,32,21.9,1,0.7,3,2.1,1,0.7,215,11.9,1.79,-0.9,75,0,0.0,1,1,100.0,0,0,4,6,118.4,0 (0)
2,Drake London,#05,WR,16,106,69,65.1,905,13.1,2,78.9,78.9,74.8,81.4,-,511,485,94.9,0,0.0,134,26.2,377,73.8,0,0.0,195,2.8,1.87,11.7,45,3,4.2,33,17,51.5,4,0,4,45,82.5,1 (0)
3,MyCole Pruitt,#85,TE,17,11,9,81.8,110,12.2,1,59.4,76.7,77.3,19.2,64.2,154,63,40.9,86,55.8,15,9.7,4,2.6,130,84.4,52,5.8,1.75,7.5,22,0,0.0,0,0,,0,1,1,6,138.6,3 (0)
4,Kyle Pitts,#08,TE,17,86,53,61.6,667,12.6,3,68.1,72.7,80.7,79.7,77.6,496,466,94.0,10,2.0,290,58.5,131,26.4,74,14.9,132,2.5,1.43,12.0,39,2,3.6,21,8,38.1,3,0,2,35,82.8,4 (2)
5,John FitzPatrick,#87,TE,2,1,1,100.0,12,12.0,0,63.7,68.7,64.7,61.2,-,7,6,85.7,0,0.0,4,57.1,1,14.3,2,28.6,10,10.0,2.00,2.0,12,0,0.0,0,0,,0,0,0,1,116.7,0 (0)
6,KhaDarel Hodge,#12,WR,17,23,14,60.9,232,16.6,0,62.4,64.9,49.6,22.4,68.1,191,183,95.8,1,0.5,49,25.7,142,74.3,0,0.0,85,6.1,1.27,14.0,52,2,12.5,2,1,50.0,2,0,7,13,58.6,0 (0)
7,Mack Hollins,#18,WR,13,28,18,64.3,251,13.9,0,64.6,64.8,82.7,73.9,66.1,168,161,95.8,1,0.6,44,26.2,123,73.2,1,0.6,59,3.3,1.56,13.4,45,0,0.0,5,3,60.0,0,0,0,9,93.0,1 (0)
8,Tucker Fisk,#43,TE,6,1,1,100.0,9,9.0,0,52.0,63.9,64.7,61.2,54.7,22,9,40.9,13,59.1,0,0.0,1,4.5,2,9.1,5,5.0,1.00,4.0,9,0,0.0,0,0,,0,0,0,1,104.2,0 (0)
9,Jonnu Smith,#81,TE,17,69,50,72.5,582,11.6,3,59.1,63.5,57.3,37.5,75.4,439,375,85.4,44,10.0,232,52.8,60,13.7,134,30.5,366,7.3,1.55,6.2,60,5,9.1,9,4,44.4,2,1,14,26,100.0,5 (2)
10,Scott Miller,#16,WR,17,16,11,68.8,161,14.6,2,64.4,63.4,78.7,74.1,-,134,128,95.5,0,0.0,65,48.5,68,50.7,0,0.0,81,7.4,1.26,12.5,56,0,0.0,5,3,60.0,0,0,1,6,140.9,0 (0)
11,Bijan Robinson,#07,HB,17,83,58,69.9,487,8.4,4,69.1,61.5,63.4,37.8,56.8,498,421,84.5,57,11.4,93,18.7,55,11.0,2,0.4,526,9.1,1.16,0.1,71,5,7.9,8,2,25.0,3,0,17,24,85.8,2 (0)
12,Keith Smith,#40,FB,13,3,3,100.0,33,11.0,0,47.2,59.2,70.5,67.9,57.8,60,23,38.3,33,55.0,4,6.7,6,10.0,3,5.0,14,4.7,1.43,6.3,28,0,0.0,0,0,,0,0,0,1,112.5,0 (0)
13,Desmond Ridder,#09,QB,15,1,1,100.0,-6,-6.0,0,51.9,57.6,-,27.6,61.3,466,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,1,1.0,-6.00,-7.0,-6,0,0.0,0,0,,0,6,0,0,79.2,5 (0)
14,Cordarrelle Patterson,#84,HB,14,11,9,81.8,38,4.2,1,62.7,56.3,58.5,53.3,78.3,92,85,92.4,3,3.3,18,19.6,40,43.5,2,2.2,38,4.2,0.45,-0.5,11,1,10.0,2,2,100.0,0,0,0,2,111.4,0 (0)
15,Van Jefferson,#15,WR,12,27,12,44.4,101,8.4,0,51.3,52.5,61.8,71.9,-,224,214,95.5,0,0.0,71,31.7,153,68.3,0,0.0,16,1.3,0.47,16.3,14,1,7.7,4,2,50.0,2,0,0,6,23.8,3 (0)
16,Damiere Byrd,#14,WR,1,2,0,0.0,0,,0,51.7,52.0,-,-,-,12,12,100.0,0,0.0,1,8.3,11,91.7,0,0.0,0,,0.00,20.0,0,0,,1,0,0.0,1,0,0,0,0.0,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
