Rank,PLAYER,#,POS,#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1st,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP,ELU
1,Tyler Allgeier,#25,HB,17,212,186,683,3.7,4,0,82.9,78.0,90.6,43.4,549,2.95,39,31,13,131,51,0,0,683,3,72,10.5,41,0 (0),81.0,90.3,22,18,193,108,1.79,0,62.2
2,Bijan Robinson,#07,HB,17,272,214,969,4.5,4,4,69.1,75.1,37.8,35.5,663,3.10,52,38,30,146,63,0,0,969,10,237,24.5,51,2 (0),61.5,56.8,83,58,487,421,1.16,5,78.6
3,Taylor Heinicke,#04,QB,5,110,15,124,8.3,1,1,52.5,70.7,67.2,60.9,29,1.93,2,24,7,0,0,13,125,-1,0,0,0.0,5,0 (0),-,-,0,0,0,0,,0,0.0
4,Cordarrelle Patterson,#84,HB,14,85,50,180,3.6,0,1,62.7,66.3,53.3,58.1,165,3.30,11,18,5,26,22,0,0,180,1,18,10.0,9,0 (0),56.3,78.3,11,9,38,85,0.45,1,61.5
5,Logan Woodside,#11,QB,1,4,1,6,6.0,0,0,24.8,58.3,68.9,60.0,0,0.00,0,6,0,0,0,1,6,0,0,0,0.0,0,0 (0),-,-,0,0,0,0,,0,100.0
6,Jonnu Smith,#81,TE,17,214,1,0,0.0,0,1,59.1,56.9,37.5,43.7,1,1.00,0,0,0,0,0,0,0,0,0,0,,0,5 (2),63.5,75.4,69,50,582,375,1.55,5,27.5
7,KhaDarel Hodge,#12,WR,17,179,1,0,0.0,0,1,62.4,49.4,22.4,50.5,0,0.00,0,0,0,1,0,0,0,0,0,0,,0,0 (0),64.9,68.1,23,14,232,183,1.27,2,0.0
8,Desmond Ridder,#09,QB,15,382,53,193,3.6,5,12,51.9,48.8,27.6,60.3,51,0.96,2,23,6,7,12,19,129,64,1,23,11.9,18,5 (0),57.6,61.3,1,1,-6,1,-6.00,0,1.9
9,Kyle Pitts,#08,TE,17,230,1,-4,-4.0,0,0,68.1,-,79.7,31.2,1,1.00,0,-4,0,0,0,0,0,-4,0,0,0.0,0,4 (2),72.7,77.6,86,53,667,466,1.43,2,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
