Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1,,Houston Texans,09/10,1:00pm,W,25.0,9.0,74.5,64.8,63.3,74.3,65.4,45.5,72.4,78.5,78.7,69.6,70.9,76.5,61.5,Game Reports
2,@,Cincinnati Bengals,09/17,1:00pm,W,27.0,24.0,78.1,75.6,79.9,73.3,69.1,78.2,59.6,73.3,76.9,74.7,56.3,74.3,60.5,Game Reports
3,,Indianapolis Colts,09/24,1:00pm,L,19.0,22.0,74.5,63.0,54.3,58.3,55.9,77.6,65.3,78.4,72.5,64.7,65.8,76.5,70.6,Game Reports
4,@,Cleveland Browns,10/01,1:00pm,W,28.0,3.0,76.3,68.7,81.8,44.0,75.7,60.6,54.4,72.2,56.0,59.4,65.4,77.7,82.1,Game Reports
5,@,Pittsburgh Steelers,10/08,1:00pm,L,10.0,17.0,72.3,68.4,92.8,56.0,50.8,72.6,59.2,72.5,64.6,62.7,67.6,70.9,57.8,Game Reports
6,@,Tennessee Titans,10/15,9:30am,W,24.0,16.0,70.2,73.1,73.3,79.3,70.5,59.3,66.2,57.8,52.7,34.3,77.7,52.7,54.9,Game Reports
7,,Detroit Lions,10/22,1:00pm,W,38.0,6.0,83.5,81.6,86.2,64.2,74.3,68.6,76.4,72.0,48.4,58.0,65.2,77.4,77.0,Game Reports
8,@,Arizona Cardinals,10/29,4:25pm,W,31.0,24.0,70.7,64.6,51.8,86.3,58.2,79.1,58.0,72.3,63.0,40.4,68.6,72.6,63.7,Game Reports
9,,Seattle Seahawks,11/05,1:00pm,W,37.0,3.0,88.4,79.7,70.6,89.4,68.1,90.7,62.7,81.2,80.7,78.6,71.2,75.0,81.4,Game Reports
10,,Cleveland Browns,11/12,1:00pm,L,31.0,33.0,68.7,69.7,56.5,66.5,69.0,77.7,69.3,65.8,60.9,49.5,72.4,60.5,49.0,Game Reports
11,,Cincinnati Bengals,11/16,8:15pm,W,34.0,20.0,78.6,80.3,70.1,79.0,77.6,74.9,67.1,66.0,59.2,69.0,74.5,61.6,57.1,Game Reports
12,@,Los Angeles Chargers,11/26,8:20pm,W,20.0,10.0,86.2,70.8,53.3,65.7,66.7,90.0,60.8,90.7,72.5,79.4,67.6,91.4,66.2,Game Reports
14,,Los Angeles Rams,12/10,1:00pm,W,37.0,31.0,71.8,71.9,60.3,72.3,68.0,70.0,72.7,61.4,52.1,38.6,73.5,59.3,64.9,Game Reports
15,@,Jacksonville Jaguars,12/17,8:20pm,W,23.0,7.0,80.0,76.7,81.8,69.2,66.4,82.7,62.5,73.7,72.5,58.2,69.5,67.7,67.3,Game Reports
16,@,San Francisco 49ers,12/25,8:15pm,W,33.0,19.0,79.3,73.3,69.4,79.8,69.1,69.0,64.1,75.2,49.7,43.5,77.2,75.4,73.5,Game Reports
17,,Miami Dolphins,12/31,1:00pm,W,56.0,19.0,82.6,86.4,95.3,75.0,88.3,71.5,55.2,64.8,48.8,64.9,64.8,69.1,75.0,Game Reports
18,,Pittsburgh Steelers,01/06,4:30pm,L,10.0,17.0,61.3,59.5,67.1,46.9,58.5,49.8,66.2,64.6,54.1,47.0,89.1,58.7,49.7,Game Reports
DP,,Houston Texans,01/20,4:30pm,W,34.0,10.0,82.9,78.3,72.4,76.1,71.0,73.9,70.6,73.6,70.5,46.2,75.7,64.7,75.9,Game Reports
CC,,Kansas City Chiefs,01/28,3:00pm,L,10.0,17.0,68.7,62.8,50.6,72.5,58.8,80.1,61.4,68.9,76.7,72.5,61.5,66.4,73.2,Game Reports
,,,,,,,,,,,,,,,,,,,,,
