Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
DaQuan Jones,#92,DI,9.0,152.0,152.0,100.0,80.9,1 (0),20.0,3.0,3.0,14.0,7.9,17.9,0.0,76.0,76.0,100.0,72.4,12.0,2.0,2.0,8.0,9.7,20.8,0.0
Terrel Bernard,#43,LB,18.0,663.0,74.0,11.2,79.5,3 (0),20.0,8.0,2.0,10.0,21.5,13.8,2.0,310.0,41.0,13.2,74.6,11.0,5.0,2.0,4.0,22.2,19.4,0.0
Ed Oliver,#91,DI,18.0,545.0,539.0,98.9,77.3,6 (0),72.0,11.0,9.0,52.0,8.4,13.3,3.0,274.0,273.0,99.6,83.8,54.0,10.0,8.0,36.0,12.8,18.0,2.0
Taylor Rapp,#20,S,14.0,289.0,5.0,1.7,77.1,3 (1),3.0,0.0,0.0,3.0,37.5,50.0,0.0,158.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Greg Rousseau,#50,ED,18.0,438.0,419.0,95.7,75.2,0 (0),62.0,7.0,14.0,41.0,8.8,16.0,3.0,212.0,200.0,94.3,72.3,37.0,4.0,8.0,25.0,11.0,19.3,1.0
A.J. Epenesa,#57,ED,17.0,257.0,249.0,96.9,75.0,2 (1),33.0,7.0,5.0,21.0,8.6,8.2,6.0,115.0,112.0,97.4,81.4,17.0,4.0,3.0,10.0,10.1,12.5,1.0
Kingsley Jonathan,#59,ED,12.0,73.0,72.0,98.6,74.7,0 (0),8.0,1.0,2.0,5.0,6.7,11.9,0.0,43.0,42.0,97.7,71.7,3.0,1.0,1.0,1.0,5.3,7.9,0.0
Siran Neal,#33,CB,7.0,41.0,3.0,7.3,74.0,0 (0),0.0,0.0,0.0,0.0,0.0,33.3,0.0,24.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Tyrel Dodson,#25,LB,16.0,335.0,42.0,12.5,72.8,1 (0),12.0,3.0,4.0,5.0,19.2,10.3,0.0,145.0,22.0,15.2,63.5,6.0,0.0,2.0,4.0,15.0,15.0,0.0
Poona Ford,#98,DI,8.0,87.0,86.0,98.9,71.5,0 (0),9.0,1.0,2.0,6.0,6.1,17.1,0.0,39.0,39.0,100.0,72.0,8.0,1.0,1.0,6.0,12.5,27.8,0.0
Rasul Douglas,#31,CB,10.0,347.0,6.0,1.7,69.9,3 (0),1.0,1.0,0.0,0.0,16.7,0.0,0.0,167.0,2.0,1.2,81.6,1.0,1.0,0.0,0.0,50.0,0.0,0.0
Taron Johnson,#07,CB,19.0,688.0,34.0,4.9,69.3,6 (1),8.0,1.0,1.0,6.0,14.5,12.9,0.0,325.0,14.0,4.3,79.1,5.0,1.0,1.0,3.0,23.1,15.4,0.0
Tre'Davious White,#27,CB,4.0,118.0,2.0,1.7,68.7,1 (0),1.0,0.0,1.0,0.0,50.0,0.0,0.0,57.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Dorian Williams,#42,LB,14.0,144.0,19.0,13.2,65.4,3 (0),4.0,0.0,2.0,2.0,10.5,15.8,0.0,59.0,12.0,20.3,64.4,1.0,0.0,1.0,0.0,4.2,16.7,0.0
A.J. Klein,#52,LB,2.0,60.0,4.0,6.7,64.4,0 (0),1.0,0.0,0.0,1.0,12.5,25.0,0.0,28.0,1.0,3.6,57.4,1.0,0.0,0.0,1.0,50.0,0.0,0.0
Leonard Floyd,#56,ED,19.0,445.0,425.0,95.5,64.3,3 (1),45.0,12.0,8.0,25.0,7.2,10.3,1.0,226.0,211.0,93.4,68.8,30.0,10.0,5.0,15.0,10.3,12.8,0.0
Tim Settle,#99,DI,19.0,252.0,249.0,98.8,63.5,2 (0),14.0,1.0,1.0,12.0,3.2,9.0,0.0,102.0,101.0,99.0,66.4,9.0,0.0,1.0,8.0,4.8,14.9,0.0
Kendal Vickers,#93,DI,2.0,31.0,31.0,100.0,60.6,0 (0),2.0,0.0,0.0,2.0,3.6,7.1,0.0,14.0,14.0,100.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micah Hyde,#23,S,16.0,593.0,19.0,3.2,60.4,0 (0),3.0,0.0,1.0,2.0,9.4,0.0,1.0,278.0,6.0,2.2,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Shakir,#10,WR,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
Quintin Morris,#85,TE,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
Baylon Spector,#54,LB,3.0,22.0,1.0,4.5,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Reggie Gilliam,#41,FB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
