Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Josh Blackwell,#39,CB,2.0,9.0,84.4,1.0,1.0,0.0,0.0,1.0,11.1,0.0,2.0,0 (0)
Terell Smith,#32,CB,11.0,115.0,83.2,12.0,3.0,1.0,6.3,6.0,5.2,0.0,5.3,1 (0)
Greg Stroman Jr.,#27,CB,4.0,35.0,80.3,2.0,0.0,0.0,0.0,1.0,2.9,0.0,2.0,1 (0)
T.J. Edwards,#53,LB,17.0,356.0,76.5,50.0,17.0,6.0,8.2,35.0,10.0,0.0,3.0,0 (0)
Noah Sewell,#44,LB,5.0,23.0,74.8,2.0,1.0,0.0,0.0,2.0,8.7,0.0,3.0,0 (0)
Jaquan Brisker,#09,S,15.0,300.0,71.7,36.0,18.0,8.0,12.9,18.0,6.1,1.0,6.1,3 (0)
Jack Sanborn,#57,LB,17.0,199.0,71.1,24.0,8.0,6.0,15.8,17.0,8.7,0.0,2.1,1 (0)
Jaylon Jones,#31,CB,5.0,49.0,70.4,5.0,1.0,1.0,14.3,2.0,4.1,0.0,4.8,2 (0)
Elijah Hicks,#22,S,12.0,163.0,67.4,10.0,3.0,1.0,7.1,3.0,1.9,0.0,8.7,0 (0)
Jaylon Johnson,#33,CB,14.0,279.0,67.2,7.0,1.0,2.0,20.0,5.0,1.8,0.0,4.0,6 (1)
Quindell Johnson,#26,S,2.0,12.0,61.9,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Tyrique Stevenson,#29,CB,16.0,277.0,60.6,15.0,7.0,3.0,12.0,5.0,1.8,0.0,5.0,7 (2)
Khalid Kareem,#52,ED,1.0,4.0,60.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Dylan Cole,#55,LB,2.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Montez Sweat,#98,ED,9.0,104.0,59.5,10.0,4.0,2.0,12.5,7.0,6.7,0.0,3.4,0 (0)
Kyler Gordon,#06,CB,13.0,179.0,58.3,11.0,3.0,1.0,6.7,9.0,5.1,0.0,2.2,3 (0)
DeMarcus Walker,#95,ED,17.0,229.0,57.9,17.0,6.0,2.0,8.0,14.0,6.2,0.0,1.5,2 (0)
Tremaine Edmunds,#49,LB,15.0,287.0,57.5,36.0,10.0,7.0,13.2,21.0,7.4,0.0,3.8,2 (2)
Eddie Jackson,#04,S,12.0,227.0,55.3,13.0,3.0,4.0,20.0,3.0,1.3,0.0,11.3,2 (1)
Andrew Billings,#97,DI,17.0,239.0,55.3,15.0,11.0,4.0,13.3,13.0,5.5,0.0,1.4,3 (0)
Rasheem Green,#94,ED,17.0,155.0,48.7,9.0,4.0,3.0,18.8,7.0,4.6,0.0,2.1,1 (0)
Duron Harmon,#30,S,2.0,29.0,48.6,1.0,0.0,0.0,0.0,1.0,3.4,0.0,4.0,0 (0)
Justin Jones,#93,DI,17.0,240.0,47.4,23.0,14.0,7.0,15.9,16.0,6.8,0.0,1.5,2 (0)
Zacch Pickens,#96,DI,17.0,115.0,44.1,10.0,6.0,2.0,11.1,7.0,6.3,0.0,3.1,0 (0)
Yannick Ngakoue,#91,ED,13.0,166.0,37.7,10.0,5.0,4.0,21.1,7.0,4.3,0.0,2.0,2 (0)
Gervon Dexter Sr.,#99,DI,17.0,134.0,36.2,9.0,3.0,0.0,0.0,6.0,4.6,0.0,2.9,1 (0)
Dominique Robinson,#90,ED,11.0,77.0,33.2,6.0,2.0,1.0,11.1,2.0,2.6,0.0,4.0,2 (0)
,,,,,,,,,,,,,,
