Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Tyler Scott,#13,WR,17.0,436,166,38.1,158.0,8.0,52.7,45.8,80.6,8.0,3.0,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0.0,0.0,0.0,0,8.0
Darrynton Evans,#25,HB,5.0,88,20,22.7,11.0,9.0,69.8,60.0,73.9,9.0,20.5,0.0,0.0,1.0,1.0,94.4,0 (0),0.0,0.0,0.0,0.0,0,1.0
Equanimeous St. Brown,#19,WR,7.0,211,95,45.0,93.0,2.0,55.1,43.9,72.0,2.0,1.8,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0.0,0,6.0
Braxton Jones,#70,T,11.0,724,724,100.0,303.0,421.0,68.8,68.2,70.8,401.0,100.0,2.0,2.0,28.0,32.0,95.8,9 (2),715.0,0.0,0.0,0.0,0,9.0
Teven Jenkins,#76,G,12.0,731,731,100.0,334.0,397.0,72.6,71.7,68.6,378.0,100.0,3.0,3.0,11.0,17.0,97.4,4 (0),0.0,455.0,0.0,276.0,0,0.0
Marcedes Lewis,#84,TE,17.0,330,288,87.3,224.0,64.0,77.1,73.7,68.4,61.0,61.0,0.0,0.0,1.0,1.0,99.2,2 (0),3.0,0.0,0.0,0.0,6,321.0
Ja'Tyre Carter,#69,G,5.0,175,175,100.0,75.0,100.0,49.0,44.8,67.2,98.0,100.0,1.0,0.0,4.0,5.0,96.9,1 (0),0.0,11.0,0.0,159.0,5,0.0
Roschon Johnson,#23,HB,15.0,394,112,28.4,44.0,68.0,65.8,62.7,64.8,65.0,25.5,2.0,0.0,4.0,6.0,93.8,1 (1),0.0,0.0,0.0,0.0,0,7.0
Cole Kmet,#85,TE,17.0,873,427,48.9,362.0,65.0,73.7,54.9,64.3,61.0,12.6,0.0,0.0,1.0,1.0,99.2,3 (0),6.0,0.0,0.0,0.0,0,519.0
Trent Taylor,#15,WR,14.0,121,56,46.3,55.0,1.0,51.8,53.8,62.4,1.0,1.6,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0.0,0,0.0
Chase Claypool,#10,WR,3.0,143,50,35.0,49.0,1.0,53.3,41.5,61.6,1.0,1.1,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0.0,0.0,0.0,0,0.0
Darnell Wright,#58,T,17.0,"1,127","1,127",100.0,481.0,646.0,62.4,66.0,61.4,618.0,100.0,7.0,3.0,41.0,51.0,95.3,11 (1),0.0,0.0,0.0,0.0,"1,121",6.0
Robert Tonyan,#18,TE,17.0,319,144,45.1,136.0,8.0,49.6,38.9,59.7,8.0,4.7,0.0,0.0,1.0,1.0,93.7,1 (0),0.0,0.0,0.0,0.0,0,170.0
Khari Blasingame,#35,FB,16.0,186,131,70.4,100.0,31.0,55.8,68.2,57.0,30.0,40.5,2.0,0.0,0.0,2.0,93.3,0 (0),0.0,0.0,0.0,0.0,0,33.0
Cody Whitehair,#65,G,14.0,787,787,100.0,333.0,454.0,45.0,42.4,55.0,438.0,100.0,3.0,4.0,15.0,22.0,97.1,2 (0),0.0,666.0,87.0,34.0,0,0.0
Khalil Herbert,#24,HB,12.0,356,70,19.7,39.0,31.0,77.9,45.8,53.3,29.0,16.6,0.0,0.0,3.0,3.0,94.8,0 (0),0.0,0.0,0.0,0.0,0,1.0
Nate Davis,#64,G,11.0,663,663,100.0,279.0,384.0,52.9,55.3,47.9,364.0,100.0,1.0,7.0,21.0,29.0,95.9,6 (5),0.0,0.0,0.0,663.0,0,0.0
Larry Borom,#75,T,9.0,411,411,100.0,186.0,225.0,48.0,50.4,45.2,217.0,100.0,3.0,6.0,16.0,25.0,93.5,5 (0),408.0,0.0,0.0,0.0,0,3.0
Dan Feeney,#67,C,4.0,90,90,100.0,50.0,40.0,44.8,45.7,44.8,37.0,100.0,1.0,0.0,2.0,3.0,94.6,1 (0),0.0,0.0,90.0,0.0,0,0.0
Lucas Patrick,#62,C,16.0,953,953,100.0,390.0,563.0,50.5,61.6,40.6,539.0,100.0,0.0,3.0,25.0,28.0,97.4,11 (1),0.0,0.0,953.0,0.0,0,0.0
Darnell Mooney,#11,WR,15.0,764,278,36.4,274.0,4.0,55.2,30.1,39.6,3.0,0.6,1.0,0.0,0.0,1.0,66.7,1 (1),0.0,0.0,0.0,0.0,0,4.0
D'Onta Foreman,#21,HB,9.0,267,57,21.3,28.0,29.0,74.0,57.2,29.5,26.0,21.3,0.0,1.0,5.0,6.0,88.5,1 (0),0.0,0.0,0.0,0.0,0,0.0
Nathan Peterman,#14,QB,2.0,4,1,25.0,1.0,0.0,58.4,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,0.0
Doug Kramer,#68,C,1.0,2,2,100.0,2.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,2.0,0.0,0,0.0
Travis Homer,#20,HB,3.0,6,3,50.0,3.0,0.0,37.9,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,0.0
Collin Johnson,#80,WR,3.0,40,25,62.5,25.0,0.0,66.9,70.8,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,1.0
Velus Jones Jr.,#12,WR,13.0,99,32,32.3,32.0,0.0,53.1,52.3,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0.0,0.0,0.0,0,0.0
Tyson Bagent,#17,QB,5.0,304,124,40.8,124.0,0.0,57.7,60.3,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0.0,0.0,0,0.0
Justin Fields,#01,QB,13.0,824,264,32.0,264.0,0.0,74.6,60.4,-,0.0,0.0,0.0,0.0,0.0,0.0,,5 (0),0.0,0.0,0.0,0.0,0,0.0
DJ Moore,#02,WR,17.0,"1,024",405,39.6,405.0,0.0,89.3,64.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (1),0.0,0.0,0.0,0.0,0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,
