Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
DJ Ivey,#38,CB,3.0,14.0,14.0,100.0,88.5,0 (0),3.0,1.0,33.3,4.0,4.0,1.0,12.7,4.0,1.0,33.0,1.0,0.0,0.0,0.0,42.4,4.3,13.0,1.0,0.0,0.0,0.0,1.0
Mike Hilton,#21,CB,17.0,591.0,540.0,91.4,80.4,2 (2),77.0,56.0,72.7,492.0,8.8,314.0,6.5,43.0,7.0,9.0,4.0,2.0,0.0,0.0,78.5,6.7,9.2,43.0,4.0,7.0,13.0,22.0
Jordan Battle,#27,S,17.0,305.0,283.0,92.8,76.4,0 (0),18.0,12.0,66.7,130.0,10.8,67.0,9.1,23.0,3.0,17.0,2.0,1.0,0.0,1.0,83.1,14.9,22.4,22.0,4.0,3.0,10.3,8.0
Sam Hubbard,#94,ED,15.0,463.0,54.0,11.7,73.6,3 (0),3.0,3.0,100.0,46.0,15.3,31.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,16.7,16.7,9.0,6.0,3.0,16.7,11.0
Cam Taylor-Britt,#29,CB,12.0,420.0,420.0,100.0,70.3,5 (2),58.0,31.0,53.4,532.0,17.2,120.0,16.4,52.0,6.0,10.0,5.0,4.0,1.0,2.0,67.6,6.8,12.8,37.0,1.0,6.0,13.6,8.0
B.J. Hill,#92,DI,17.0,507.0,8.0,1.6,67.9,3 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,4.0
Joseph Ossai,#58,ED,14.0,117.0,8.0,6.8,65.9,0 (0),1.0,0.0,0.0,0.0,,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.6,7.0,,1.0,1.0,1.0,33.3,1.0
Germaine Pratt,#57,LB,17.0,583.0,530.0,90.9,65.3,1 (0),64.0,48.0,75.0,458.0,9.5,288.0,4.1,34.0,1.0,2.0,1.0,2.0,1.0,1.0,86.6,7.9,10.5,43.0,13.0,7.0,11.1,15.0
Chidobe Awuzie,#22,CB,15.0,449.0,446.0,99.3,62.3,4 (0),56.0,38.0,67.9,488.0,12.8,189.0,12.3,66.0,8.0,14.0,3.0,0.0,0.0,3.0,112.8,7.6,11.2,33.0,1.0,2.0,5.6,10.0
DJ Reader,#98,DI,13.0,318.0,4.0,1.3,59.8,2 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,3.0,50.0,4.0
