"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","CIN",1,"00-0033009","WR","Tyler Boyd","Tyler","Boyd",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-09-08 18:25:09
2023,"REG","CIN",1,"00-0036442","QB","Joe Burrow","Joe","Burrow",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-08 18:25:09
2023,"REG","CIN",1,"00-0036852","G","D'Ante Smith","D'Ante","Smith",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 18:25:09
2023,"REG","CIN",1,"00-0033548","CB","Chidobe Awuzie","Chidobe","Awuzie",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-09-08 18:25:28
2023,"REG","CIN",1,"00-0036902","DE","Joseph Ossai","Joseph","Ossai","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-09-08 18:25:40
2023,"REG","CIN",2,"00-0036442","QB","Joe Burrow","Joe","Burrow",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-15 18:00:48
2023,"REG","CIN",2,"00-0037743","S","Dax Hill","Dax","Hill",NA,NA,NA,"Hand",NA,"Full Participation in Practice",2023-09-15 18:00:48
2023,"REG","CIN",2,"00-0036850","DE","Cam Sample","Cam","Sample",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-15 18:01:32
2023,"REG","CIN",2,"00-0036294","LB","Logan Wilson","Logan","Wilson",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-15 18:00:48
2023,"REG","CIN",2,"00-0033548","CB","Chidobe Awuzie","Chidobe","Awuzie",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-09-15 18:01:46
2023,"REG","CIN",2,"00-0036314","LB","Markus Bailey","Markus","Bailey","Knee",NA,"Questionable","Knee",NA,"Did Not Participate In Practice",2023-09-15 18:02:03
2023,"REG","CIN",2,"00-0036857","RB","Chris Evans","Chris","Evans","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-15 18:02:21
2023,"REG","CIN",2,"00-0036902","DE","Joseph Ossai","Joseph","Ossai","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-15 18:02:43
2023,"REG","CIN",3,"00-0036298","LB","Akeem Davis-Gaither","Akeem","Davis-Gaither",NA,NA,NA,"Knee",NA,"Did Not Participate In Practice",2023-09-23 18:35:52
2023,"REG","CIN",3,"00-0037752","S","Tycen Anderson","Tycen","Anderson",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-23 18:35:31
2023,"REG","CIN",3,"00-0036902","DE","Joseph Ossai","Joseph","Ossai",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-23 18:35:31
2023,"REG","CIN",3,"00-0035669","S","Nick Scott","Nick","Scott",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-23 18:35:31
2023,"REG","CIN",3,"00-0033548","CB","Chidobe Awuzie","Chidobe","Awuzie",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-09-23 18:36:29
2023,"REG","CIN",3,"00-0034970","TE","Irv Smith","Irv","Smith","Hamstring",NA,"Doubtful","Hamstring",NA,"Limited Participation in Practice",2023-09-23 18:36:40
2023,"REG","CIN",3,"00-0036442","QB","Joe Burrow","Joe","Burrow","Calf",NA,"Questionable","Calf",NA,"Limited Participation in Practice",2023-09-23 18:36:52
2023,"REG","CIN",4,"00-0036442","QB","Joe Burrow","Joe","Burrow",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-29 18:03:02
2023,"REG","CIN",4,"00-0033548","CB","Chidobe Awuzie","Chidobe","Awuzie",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-09-29 18:03:25
2023,"REG","CIN",4,"00-0038576","WR","Charlie Jones","Charlie","Jones","Thumb",NA,"Out","Thumb",NA,"Did Not Participate In Practice",2023-09-29 18:03:36
2023,"REG","CIN",4,"00-0034970","TE","Irv Smith","Irv","Smith","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 18:03:50
2023,"REG","CIN",4,"00-0036298","LB","Akeem Davis-Gaither","Akeem","Davis-Gaither","Knee",NA,"Questionable","Knee",NA,"Did Not Participate In Practice",2023-09-29 18:04:14
2023,"REG","CIN",5,"00-0034752","T","Orlando Brown","Orlando","Brown",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-10-06 19:28:47
2023,"REG","CIN",5,"00-0034970","TE","Irv Smith","Irv","Smith",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-10-06 19:29:03
2023,"REG","CIN",5,"00-0036298","LB","Akeem Davis-Gaither","Akeem","Davis-Gaither","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-10-06 19:30:37
2023,"REG","CIN",5,"00-0033548","CB","Chidobe Awuzie","Chidobe","Awuzie","Back",NA,"Questionable","Back",NA,"Did Not Participate In Practice",2023-10-06 19:30:50
2023,"REG","CIN",5,"00-0033935","DE","Trey Hendrickson","Trey","Hendrickson","Back",NA,"Questionable","Back",NA,"Did Not Participate In Practice",2023-10-06 19:31:02
2023,"REG","CIN",5,"00-0037753","CB","Cam Taylor-Britt","Cam","Taylor-Britt","Concussion",NA,"Questionable","Concussion",NA,"Full Participation in Practice",2023-10-06 19:31:34
2023,"REG","CIN",5,"00-0036410","WR","Tee Higgins","Tee","Higgins","Ribs",NA,"Questionable","Ribs",NA,"Limited Participation in Practice",2023-10-06 19:31:17
2023,"REG","CIN",6,"00-0038546","DE","Myles Murphy","Myles","Murphy",NA,NA,NA,"Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-10-13 18:26:55
2023,"REG","CIN",6,"00-0036298","LB","Akeem Davis-Gaither","Akeem","Davis-Gaither","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-10-13 18:27:36
2023,"REG","CIN",6,"00-0033347","DT","Josh Tupou","Josh","Tupou","Toe",NA,"Questionable","Toe",NA,"Did Not Participate In Practice",2023-10-13 18:28:37
2023,"REG","CIN",6,"00-0037293","LB","Devin Harper","Devin","Harper","Hamstring",NA,"Questionable","Hamstring",NA,"Full Participation in Practice",2023-10-13 18:28:05
