player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Dak Prescott,2021,4,160.0,40.0,126.0,0.219,223.912329,55.978082,176.330959,00-0033077,2023,DAL,QB,QB,4.0,1993-07-29,DAL,135.0,30.0
Trey Lance,2021,4,34.105258,8.526315,34.105258,0.047,47.728673,11.932169,47.728673,00-0037012,2023,DAL,QB,QB,15.0,2000-05-09,SF,3.0,23.0
Cooper Rush,2023,2,5.0,2.5,2.75,0.011,5.680605,2.840302,3.124333,00-0033662,2023,DAL,QB,QB,10.0,1993-11-21,,,30.0
Tony Pollard,2023,1,10.091,10.091,10.091,0.045,11.464597,11.464597,11.464597,00-0035261,2023,DAL,RB,RB,20.0,1997-04-30,DAL,128.0,26.0
Ronald Jones II,2023,1,1.2325,1.2325,0.3025,0.005,1.400269,1.400269,0.343677,00-0034816,2023,DAL,RB,RB,32.0,1997-08-03,TB,38.0,26.0
Rico Dowdle,2023,1,1.04,1.04,0.1,0.005,1.181566,1.181566,0.113612,00-0036139,2023,DAL,RB,RB,23.0,1998-06-14,,,25.0
Deuce Vaughn,2023,4,3.973332,0.993333,0.133332,0.004,4.514186,1.128546,0.151481,00-0038622,2023,DAL,RB,RB,42.0,2001-11-02,DAL,212.0,22.0
Malik Davis,2023,1,0.324999,0.324999,0.0,0.001,0.369238,0.369238,0.0,00-0037563,2023,DAL,RB,RB,34.0,1998-11-26,,,25.0
Hunter Luepke,2023,3,2.715,0.905,0.2,0.004,3.084569,1.02819,0.227224,00-0038738,2023,DAL,RB,RB,40.0,2000-02-28,,,24.0
SaRodorick Thompson,2023,3,2.705,0.901667,0.035,0.004,3.073207,1.024403,0.039764,00-0038910,2023,DAL,RB,RB,29.0,1999-10-01,,,24.0
Brandin Cooks,2023,2,20.0,10.0,12.0,0.044,22.72242,11.36121,13.633452,00-0031236,2023,DAL,WR,WR,3.0,1993-09-25,NO,20.0,30.0
Michael Gallup,2022,5,57.5,11.5,27.0,0.055,70.535543,14.107109,33.121037,00-0034764,2023,DAL,WR,WR,13.0,1996-03-04,DAL,81.0,28.0
CeeDee Lamb,2020,4,14.010014,3.502504,14.010014,0.018,18.053267,4.513317,18.053267,00-0036358,2023,DAL,WR,WR,88.0,1999-04-08,DAL,17.0,25.0
Jalen Tolbert,2022,4,5.13572,1.28393,0.915068,0.006,6.300014,1.575003,1.122519,00-0037666,2023,DAL,WR,WR,18.0,1999-02-27,DAL,88.0,25.0
Racey McMath,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036652,2023,DAL,WR,WR,15.0,1999-06-14,TEN,205.0,24.0
