"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","DEN",1,"00-0037252","TE","Greg Dulcich","Greg","Dulcich",NA,NA,NA,"Not injury related - personal matter",NA,"Full Participation in Practice",2023-09-08 20:13:48
2023,"REG","DEN",1,"00-0031484","TE","Chris Manhertz","Chris","Manhertz",NA,NA,NA,"Chest",NA,"Full Participation in Practice",2023-09-08 20:13:48
2023,"REG","DEN",1,"00-0036874","CB","Patrick Surtain","Patrick","Surtain",NA,NA,NA,"Ankle",NA,"Limited Participation in Practice",2023-09-08 20:14:27
2023,"REG","DEN",1,"00-0036407","WR","Jerry Jeudy","Jerry","Jeudy","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-08 20:14:00
2023,"REG","DEN",1,"00-0038552","CB","Riley Moss","Riley","Moss","Abdomen",NA,"Questionable","Abdomen",NA,"Limited Participation in Practice",2023-09-08 20:14:00
2023,"REG","DEN",2,"00-0036407","WR","Jerry Jeudy","Jerry","Jeudy",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-15 20:17:12
2023,"REG","DEN",2,"00-0033297","DT","D.J. Jones","D.J.","Jones",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 20:17:12
2023,"REG","DEN",2,"00-0038552","CB","Riley Moss","Riley","Moss",NA,NA,NA,"Abdomen",NA,"Full Participation in Practice",2023-09-15 20:17:12
2023,"REG","DEN",2,"00-0032210","LB","Frank Clark","Frank","Clark","Hip",NA,"Out","Hip",NA,"Did Not Participate In Practice",2023-09-15 20:17:25
2023,"REG","DEN",2,"00-0037252","TE","Greg Dulcich","Greg","Dulcich","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-15 20:17:29
2023,"REG","DEN",3,"00-0033538","T","Garett Bolles","Garett","Bolles",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 20:08:56
2023,"REG","DEN",3,"00-0032210","LB","Frank Clark","Frank","Clark","Hip",NA,"Out","Hip",NA,"Did Not Participate In Practice",2023-09-22 20:09:16
2023,"REG","DEN",3,"00-0032971","S","Justin Simmons","Justin","Simmons","Hip",NA,"Out","Hip",NA,"Did Not Participate In Practice",2023-09-22 20:09:21
2023,"REG","DEN",3,"00-0029890","DT","Mike Purcell","Mike","Purcell","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-22 20:09:10
2023,"REG","DEN",4,"00-0036407","WR","Jerry Jeudy","Jerry","Jeudy",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 20:19:52
2023,"REG","DEN",4,"00-0036391","C","Lloyd Cushenberry","Lloyd","Cushenberry",NA,NA,NA,"Illness",NA,"Limited Participation in Practice",2023-09-29 20:22:13
2023,"REG","DEN",4,"00-0032210","LB","Frank Clark","Frank","Clark","Hip",NA,"Out","Hip",NA,"Did Not Participate In Practice",2023-09-29 20:24:02
2023,"REG","DEN",4,"00-0034368","LB","Josey Jewell","Josey","Jewell","Hip",NA,"Out","Hip",NA,"Did Not Participate In Practice",2023-09-29 20:24:37
2023,"REG","DEN",4,"00-0029890","DT","Mike Purcell","Mike","Purcell","Ribs",NA,"Out","Ribs",NA,"Did Not Participate In Practice",2023-09-29 20:24:49
2023,"REG","DEN",4,"00-0032971","S","Justin Simmons","Justin","Simmons","Hip",NA,"Questionable","Hip",NA,"Did Not Participate In Practice",2023-09-29 20:22:53
2023,"REG","DEN",5,"00-0032210","LB","Frank Clark","Frank","Clark",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-10-06 20:22:20
2023,"REG","DEN",5,"00-0036407","WR","Jerry Jeudy","Jerry","Jeudy",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-06 20:22:00
2023,"REG","DEN",5,"00-0034368","LB","Josey Jewell","Josey","Jewell",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-10-06 20:22:00
2023,"REG","DEN",5,"00-0035227","S","P.J. Locke","P.J.","Locke",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-10-04 20:52:44
2023,"REG","DEN",5,"00-0032971","S","Justin Simmons","Justin","Simmons",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-10-06 20:22:34
2023,"REG","DEN",5,"00-0032197","LB","Randy Gregory","Randy","Gregory","not injury related - team decision",NA,"Out","not injury related - team decision",NA,"Did Not Participate In Practice",2023-10-06 21:58:23
2023,"REG","DEN",5,"00-0036995","LB","Baron Browning","Baron","Browning","Knee",NA,"Out","Knee",NA,"Limited Participation in Practice",2023-10-06 20:23:22
2023,"REG","DEN",5,"00-0036997","RB","Javonte Williams","Javonte","Williams","Quadricep",NA,"Questionable","Quadricep",NA,"Full Participation in Practice",2023-10-06 20:59:37
2023,"REG","DEN",5,"00-0036391","C","Lloyd Cushenberry","Lloyd","Cushenberry","Quadricep",NA,"Questionable","Quadricep",NA,"Limited Participation in Practice",2023-10-06 20:22:52
2023,"REG","DEN",5,"00-0029890","DT","Mike Purcell","Mike","Purcell","Ribs",NA,"Questionable","Ribs",NA,"Limited Participation in Practice",2023-10-06 20:22:52
2023,"REG","DEN",6,"00-0036391","C","Lloyd Cushenberry","Lloyd","Cushenberry",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-10-11 20:14:41
2023,"REG","DEN",6,"00-0029890","DT","Mike Purcell","Mike","Purcell",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-10-11 20:15:05
2023,"REG","DEN",6,"00-0032971","S","Justin Simmons","Justin","Simmons",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-10-11 20:15:13
2023,"REG","DEN",6,"00-0036428","LB","Justin Strnad","Justin","Strnad",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-10-11 20:15:23
2023,"REG","DEN",6,"00-0036997","RB","Javonte Williams","Javonte","Williams",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-10-11 20:14:31
2023,"REG","DEN",6,"00-0032210","LB","Frank Clark","Frank","Clark","Illness",NA,"Out","Illness",NA,"Did Not Participate In Practice",2023-10-11 20:01:23
2023,"REG","DEN",6,"00-0033297","DT","D.J. Jones","D.J.","Jones","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-10-11 20:02:35
2023,"REG","DEN",6,"00-0036995","LB","Baron Browning","Baron","Browning","Knee",NA,"Out","Knee",NA,"Limited Participation in Practice",2023-10-11 20:02:14
2023,"REG","DEN",6,"00-0037252","TE","Greg Dulcich","Greg","Dulcich","Hamstring",NA,"Questionable","Hamstring",NA,"Full Participation in Practice",2023-10-11 20:01:58
2023,"REG","DEN",7,"00-0036995","LB","Baron Browning","Baron","Browning",NA,NA,NA,"Knee","Wrist","Full Participation in Practice",2023-10-20 20:19:12
2023,"REG","DEN",7,"00-0036391","C","Lloyd Cushenberry","Lloyd","Cushenberry",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-10-20 20:19:12
