Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Michael Burton,#20,FB,17.0,76.0,24.0,31.6,84.0,0 (0),21.0,30.0,0.0,0.0,0.0,0.0,100.0,32.0,10.0,31.3,85.6,9.0,31.0,0.0,0.0,0.0,0.0,100.0
Garett Bolles,#72,T,17.0,649.0,649.0,100.0,83.8,4 (0),603.0,100.0,3.0,2.0,27.0,32.0,97.1,286.0,286.0,100.0,77.8,263.0,100.0,2.0,1.0,19.0,22.0,95.4
Greg Dulcich,#80,TE,2.0,24.0,3.0,12.5,83.7,0 (0),2.0,9.1,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Courtland Sutton,#14,WR,16.0,506.0,3.0,0.6,80.7,5 (0),3.0,0.6,0.0,0.0,0.0,0.0,100.0,230.0,1.0,0.4,70.2,1.0,0.5,0.0,0.0,0.0,0.0,100.0
Quinn Bailey,#75,G,9.0,15.0,13.0,86.7,79.3,0 (0),11.0,84.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Lloyd Cushenberry III,#79,C,17.0,647.0,647.0,100.0,76.4,2 (0),601.0,100.0,1.0,4.0,9.0,14.0,98.8,286.0,286.0,100.0,63.7,263.0,100.0,1.0,4.0,7.0,12.0,97.5
Chris Manhertz,#84,TE,16.0,133.0,66.0,49.6,73.1,0 (0),65.0,50.4,0.0,1.0,4.0,5.0,96.2,19.0,6.0,31.6,75.9,6.0,31.6,0.0,0.0,0.0,0.0,100.0
Cam Fleming,#73,T,5.0,80.0,80.0,100.0,71.3,1 (0),75.0,100.0,0.0,1.0,2.0,3.0,98.0,40.0,40.0,100.0,70.7,38.0,100.0,0.0,1.0,2.0,3.0,96.1
Quinn Meinerz,#77,G,17.0,634.0,634.0,100.0,67.8,1 (0),588.0,100.0,2.0,5.0,16.0,23.0,97.9,282.0,282.0,100.0,56.6,259.0,100.0,2.0,3.0,14.0,19.0,95.9
Mike McGlinchey,#69,T,16.0,569.0,569.0,100.0,63.5,1 (1),528.0,100.0,6.0,8.0,35.0,49.0,94.8,246.0,246.0,100.0,61.0,225.0,100.0,4.0,4.0,25.0,33.0,91.8
Adam Trautman,#82,TE,17.0,435.0,59.0,13.6,62.1,0 (0),55.0,13.8,0.0,1.0,3.0,4.0,96.4,185.0,10.0,5.4,76.4,10.0,6.0,0.0,0.0,1.0,1.0,95.0
Ben Powers,#74,G,17.0,649.0,649.0,100.0,62.1,1 (0),603.0,100.0,4.0,2.0,25.0,31.0,97.1,286.0,286.0,100.0,48.2,263.0,100.0,4.0,2.0,18.0,24.0,94.7
Lil'Jordan Humphrey,#17,WR,17.0,242.0,4.0,1.7,46.2,0 (0),3.0,1.3,0.0,0.0,0.0,0.0,100.0,107.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Nate Adkins,#45,TE,10.0,34.0,7.0,20.6,40.7,1 (0),7.0,21.9,0.0,1.0,1.0,2.0,85.7,9.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Jaleel McLaughlin,#38,HB,16.0,108.0,6.0,5.6,34.6,0 (0),5.0,4.9,0.0,0.0,1.0,1.0,90.0,35.0,1.0,2.9,75.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luke Wattenberg,#60,G,3.0,17.0,17.0,100.0,33.0,0 (0),17.0,100.0,0.0,0.0,2.0,2.0,94.1,4.0,4.0,100.0,20.3,4.0,100.0,0.0,0.0,1.0,1.0,87.5
Samaje Perine,#25,HB,17.0,287.0,54.0,18.8,31.1,0 (0),52.0,19.5,2.0,3.0,3.0,8.0,90.4,172.0,27.0,15.7,38.8,27.0,16.9,2.0,1.0,1.0,4.0,88.9
Javonte Williams,#33,HB,16.0,229.0,48.0,21.0,27.8,1 (0),43.0,20.2,0.0,1.0,4.0,5.0,94.2,67.0,12.0,17.9,23.5,9.0,15.3,0.0,1.0,1.0,2.0,88.9
Lucas Krull,#85,TE,7.0,139.0,3.0,2.2,19.5,0 (0),3.0,2.3,0.0,0.0,1.0,1.0,83.3,84.0,1.0,1.2,2.8,1.0,1.3,0.0,0.0,1.0,1.0,50.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
