season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,DEN,QB,QB,3.0,ACT,Russell Wilson,Russell,Wilson,1988-11-29,71.0,215,Wisconsin,00-0029263,14881.0,409d4cac-ee90-4470-9710-ebe671678339,25785.0,8043.0,7077.0,WilsRu00,14536.0,1234.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",,18,REG,A01,Russell,WIL777781,38605,32005749-4c77-7781-795c-94c753706d1d,2012,2012.0,SEA,75.0
2023,DEN,DL,NT,98.0,ACT,Mike Purcell,Michael,Purcell,1991-04-20,75.0,328,Wyoming,00-0029890,16377.0,291aca07-a3b7-4666-a8c0-2e0c01024de5,27217.0,9935.0,8530.0,,15375.0,1640.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/thcksouge8z0pgfli6xt",INTERIOR_LINE,18,REG,A01,Mike,PUR087672,40347,32005055-5208-7672-171f-2d3c2eb649cd,2013,2013.0,,
2023,DEN,OL,T,73.0,ACT,Cameron Fleming,Cameron,Fleming,1992-09-03,77.0,320,Stanford,00-0031067,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kgcna4dcqcklfl0wra3k",T,18,REG,A01,Cameron,FLE157731,41369,3200464c-4515-7731-f0ee-1683da2b3966,2014,2014.0,NE,140.0
2023,DEN,DB,CB,8.0,RES,K'Waun Williams,K'Waun,Williams,1991-07-12,69.0,183,Pittsburgh,00-0031253,17444.0,63a656b9-bcbb-44a3-95c8-e8a63660e71b,28265.0,9953.0,9332.0,,16143.0,1913.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o07uyyoj3nvtpni2ons7",,18,REG,R01,K'Waun,WIL415204,42030,32005749-4c41-5204-4491-7759627ca746,2014,2014.0,,
2023,DEN,TE,TE,84.0,INA,Chris Manhertz,Chris,Manhertz,1992-04-10,78.0,255,Canisius,00-0031484,2531358.0,7c7b5515-7786-4e24-9ce0-34e6a8bd5727,28365.0,10033.0,10211.0,ManhCh00,17762.0,3048.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r645ts6owoqbjuxbzgdl",,18,REG,A01,Chris,MAN285874,42302,32004d41-4e28-5874-8b5c-b485778d40fc,2015,2015.0,,
2023,DEN,RB,FB,20.0,ACT,Michael Burton,Michael,Burton,1992-02-01,72.0,240,Rutgers,00-0031595,2515270.0,80715ecf-ffc9-4a93-a305-2193451b3382,28556.0,10468.0,9601.0,BurtMi00,16928.0,2471.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y8chssh9pcuzv5uc7nai",RB,18,REG,A01,Michael,BUR792195,42511,32004255-5279-2195-c834-a65d2d43d92e,2015,2015.0,DET,168.0
2023,DEN,LB,ILB,49.0,ACT,Alex Singleton,Alex,Singleton,1993-12-07,74.0,242,Montana State,00-0031898,2612151.0,954d9ed8-41ed-4222-b0d8-b3cc8d1755a5,28716.0,10811.0,9994.0,,17085.0,2617.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vheowplnv37gauyxppsc",MLB,18,REG,A01,Alex,SIN350252,42929,32005349-4e35-0252-3d2d-f2edddb47f5f,2015,2015.0,,
2023,DEN,WR,WR,13.0,DEV,Phillip Dorsett,Phillip,Dorsett,1993-01-05,70.0,192,Miami,00-0032208,2579604.0,c682e8ea-fe48-45d2-af60-682a6125ab22,28417.0,10208.0,9462.0,DorsPh00,16790.0,2334.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g69i8oxbeeqpjz5kvoqo",,18,REG,P07,Phillip,DOR488199,42372,3200444f-5248-8199-3ca5-f2de722dd057,2015,2015.0,IND,29.0
2023,DEN,RB,RB,39.0,RES,Dwayne Washington,Dwayne,Washington,1994-04-24,73.0,223,Washington,00-0032450,3002265.0,30ff46bc-a039-4af7-9050-81af98901a3e,29470.0,10737.0,10870.0,WashDw00,18152.0,3391.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h1nintlpbk2zyxerjpy4",,18,REG,R27,Dwayne,WAS231679,43525,32005741-5323-1679-ae1c-92a750c047c4,2016,2016.0,DET,236.0
2023,DEN,K,K,16.0,ACT,Wil Lutz,William,Lutz,1994-07-07,71.0,184,Georgia State,00-0032569,2985659.0,c4cf84d0-6022-4ac1-a9ba-85587921c53f,29754.0,11309.0,11096.0,,18478.0,3678.0,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dsbrq8rwgwmee9evxfb4",,18,REG,A01,Wil,LUT811045,43689,32004c55-5481-1045-8775-985bb1539a57,2016,2016.0,,
2023,DEN,P,P,9.0,ACT,Riley Dixon,Riley,Dixon,1993-08-24,76.0,221,Syracuse,00-0032943,2577619.0,f45835c5-aa9e-4e32-b545-20d1e322fe8f,29462.0,11022.0,10862.0,DixoRi00,18144.0,3383.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qummyltudg8zskn0si4v",,18,REG,A01,Riley,DIX641722,43517,32004449-5864-1722-3434-6401bfab8afa,2016,2016.0,DEN,228.0
2023,DEN,DB,FS,31.0,ACT,Justin Simmons,Justin,Simmons,1993-11-19,74.0,202,Boston College,00-0032971,2969860.0,2df474e5-7117-4650-8d53-34b3fd0f1bbb,29332.0,11174.0,10732.0,SimmJu00,18023.0,3262.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/grpho3nqucd9kebcald9",SAFETY,18,REG,A01,Justin,SIM248681,43387,32005349-4d24-8681-e7e9-18cf2a85b8b9,2016,2016.0,DEN,98.0
2023,DEN,DL,NT,93.0,ACT,D.J. Jones,David,Jones,1995-01-19,72.0,321,Mississippi,00-0033297,3894915.0,d2e2b313-6769-48c6-a217-d167f04068df,30310.0,8016.0,11953.0,JoneD.01,19124.0,4278.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n3bcrpe6uvhwtp43aphs",INTERIOR_LINE,18,REG,A01,D.J.,JON230048,45011,32004a4f-4e23-0048-1505-9691edb2c0ce,2017,2017.0,SF,198.0
2023,DEN,WR,WR,12.0,RES,Tim Patrick,Tim,Patrick,1993-11-23,76.0,212,Utah,00-0033375,3134353.0,2a443351-5e63-4a49-819e-912b51a745f2,30511.0,12061.0,12087.0,PatrTi00,19207.0,4351.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xdwm9suozpz1wks8wzos",,18,REG,R01,Tim,PAT283375,45267,32005041-5428-3375-95f4-ff207c5ba0aa,2017,2017.0,,
2023,DEN,RB,RB,25.0,ACT,Samaje Perine,Samaje,Perine,1995-09-16,70.0,240,Oklahoma,00-0033526,3116389.0,e601812f-ce24-4e99-bee0-e33c1e9014e4,30227.0,11698.0,11869.0,PeriSa00,18993.0,4147.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kpdo0ztyzhjobhk4p29a",RB,18,REG,A01,Samaje,PER095343,44927,32005045-5209-5343-a8b2-b2085b20ed79,2017,2017.0,WAS,114.0
2023,DEN,OL,T,72.0,ACT,Garett Bolles,Garett,Bolles,1992-05-27,77.0,300,Utah,00-0033538,,,,,,,,,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jaccynyw1cexmulezlzv",T,18,REG,A01,Garett,BOL532335,44832,3200424f-4c53-2335-9c0b-98c5c891813d,2017,2017.0,DEN,20.0
2023,DEN,DB,CB,23.0,ACT,Fabian Moreau,Fabian,Moreau,1994-04-09,72.0,204,UCLA,00-0033918,2971586.0,5ff63fe6-3b33-4f0d-bc51-d5e84d862b08,30194.0,11970.0,11836.0,MoreFa00,18972.0,4126.0,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/povtlm4p4oeopaatdxxn",CB,18,REG,A01,Fabian,MOR095343,44893,32004d4f-5209-5343-5b58-7df71cf62da8,2017,2017.0,WAS,81.0
2023,DEN,DL,DT,61.0,CUT,Tomasi Laulile,Tomasi,Laulile,1995-05-22,76.0,285,Brigham Young,00-0034089,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b7yivty29wcg9uxliacp",,1,REG,W03,Tomasi,LAU559114,46347,32004c41-5555-9114-ec17-9ded249af1bf,2018,2018.0,,
