Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Malcolm Rodriguez,#44,LB,4.0,10.0,3.0,30.0,82.0,0 (0),3.0,37.5,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Taylor Decker,#68,T,18.0,720.0,719.0,99.9,79.4,3 (0),688.0,100.0,8.0,9.0,27.0,44.0,96.2,312.0,312.0,100.0,64.3,302.0,100.0,8.0,5.0,24.0,37.0,92.5
Penei Sewell,#58,T,20.0,796.0,794.0,99.7,79.2,4 (0),757.0,99.7,1.0,6.0,18.0,25.0,98.3,356.0,356.0,100.0,74.4,343.0,100.0,1.0,6.0,11.0,18.0,97.2
Zonovan Knight,#28,HB,2.0,5.0,1.0,20.0,76.7,0 (0),1.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
James Mitchell,#82,TE,13.0,69.0,14.0,20.3,74.4,0 (0),14.0,21.5,0.0,0.0,0.0,0.0,100.0,20.0,2.0,10.0,45.1,2.0,10.0,0.0,0.0,0.0,0.0,100.0
Anthony Firkser,#86,TE,3.0,14.0,2.0,14.3,72.7,0 (0),2.0,15.4,0.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Marvin Jones Jr.,#00,WR,6.0,101.0,2.0,2.0,72.7,0 (0),2.0,2.1,0.0,0.0,0.0,0.0,100.0,42.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Matt Nelson,#67,T,2.0,49.0,49.0,100.0,71.6,0 (0),47.0,100.0,0.0,1.0,1.0,2.0,97.9,27.0,27.0,100.0,63.0,27.0,100.0,0.0,1.0,1.0,2.0,96.3
Frank Ragnow,#77,C,18.0,697.0,697.0,100.0,70.3,1 (0),665.0,100.0,1.0,6.0,16.0,23.0,98.2,314.0,314.0,100.0,60.8,303.0,100.0,1.0,2.0,13.0,16.0,97.2
Halapoulivaati Vaitai,#72,G,3.0,122.0,122.0,100.0,68.4,0 (0),115.0,100.0,1.0,0.0,2.0,3.0,98.3,60.0,60.0,100.0,52.9,58.0,100.0,1.0,0.0,2.0,3.0,96.6
Brock Wright,#89,TE,16.0,214.0,56.0,26.2,64.0,0 (0),51.0,24.8,0.0,0.0,3.0,3.0,97.1,59.0,3.0,5.1,45.4,3.0,5.1,0.0,0.0,0.0,0.0,100.0
Jack Fox,#03,P,1.0,1.0,1.0,100.0,63.8,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Will Harris,#25,CB,1.0,1.0,1.0,100.0,63.8,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Jack Campbell,#46,LB,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Anthony Pittman,#57,ED,1.0,1.0,1.0,100.0,62.7,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Donovan Peoples-Jones,#19,WR,10.0,46.0,1.0,2.2,62.4,0 (0),1.0,2.3,0.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Jameson Williams,#09,WR,15.0,342.0,1.0,0.3,61.8,0 (0),1.0,0.3,0.0,0.0,0.0,0.0,100.0,165.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Josh Reynolds,#08,WR,20.0,608.0,1.0,0.2,61.6,1 (0),1.0,0.2,0.0,0.0,0.0,0.0,100.0,284.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Jake McQuaide,#43,LS,1.0,1.0,1.0,100.0,61.5,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Jonah Jackson,#73,G,14.0,480.0,480.0,100.0,60.7,2 (2),456.0,100.0,2.0,8.0,17.0,27.0,96.8,190.0,190.0,100.0,45.4,182.0,100.0,2.0,7.0,10.0,19.0,94.2
Sam LaPorta,#87,TE,20.0,689.0,63.0,9.1,59.9,0 (0),59.0,9.0,0.0,1.0,2.0,3.0,97.5,331.0,14.0,4.2,54.8,13.0,4.1,0.0,0.0,0.0,0.0,100.0
