season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,DET,DL,NT,92.0,ACT,Tyson Alualu,Tyson,Alualu,1987-05-12,75.0,304,California,00-0027862,13233.0,1aa8d83f-c084-4893-b9b0-b1296ec822f1,23985.0,6590.0,5535.0,AluaTy99,11151.0,554.0,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz7lyukjawvr7xfdszmb",INTERIOR_LINE,21,CON,A01,Tyson,ALU059326,35449,3200414c-5505-9326-1ec7-33466b04e799,2010,2010.0,JAX,10.0
2023,DET,LS,LS,43.0,ACT,Jake McQuaide,Jacob,McQuaide,1987-12-07,74.0,235,Ohio State,00-0028394,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/besfh7upk8k1nv6fx94c",,21,CON,A01,Jake,MCQ288110,37874,32004d43-5128-8110-af3b-efbcaad1871f,2011,2011.0,,
2023,DET,WR,WR,0.0,CUT,Marvin Jones,Marvin,Jones,1990-03-12,74.0,198,California,00-0029293,15072.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,25876.0,8223.0,7158.0,JoneMa02,13870.0,1067.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",,8,REG,I01,Marvin,JON601697,38696,32004a4f-4e60-1697-4762-9c6d786d2931,2012,2012.0,CIN,166.0
2023,DET,TE,TE,86.0,DEV,Zach Ertz,Zachary,Ertz,1990-11-10,77.0,250,Stanford,00-0030061,15835.0,de3421f7-2147-4835-89a5-724e87bad463,26658.0,8781.0,7816.0,ErtzZa00,14856.0,1339.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t7my0kesdhb2iefvempm",,21,CON,P07,Zach,ERT800920,39983,32004552-5480-0920-32a6-165b5a77814e,2013,2013.0,PHI,35.0
2023,DET,QB,QB,10.0,ACT,Teddy Bridgewater,Theodore,Bridgewater,1992-11-10,74.0,215,Louisville,00-0031237,16728.0,d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7,27560.0,9245.0,8667.0,BridTe00,16497.0,2152.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q5p8afhezmpvc1xbwibf",,21,CON,A01,Teddy,BRI129168,41258,32004252-4912-9168-84fe-1a998a0eb85b,2014,2014.0,MIN,32.0
2023,DET,OL,G,71.0,ACT,Michael Schofield,Michael,Schofield,1990-11-15,78.0,301,Michigan,00-0031353,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oretyyn9jjmsu067tuw6",,21,CON,A01,Michael,SCH444668,41324,32005343-4844-4668-590e-aff0e1a1262f,2014,2014.0,DEN,95.0
2023,DET,OL,T,68.0,ACT,Taylor Decker,Taylor,Decker,1993-08-23,79.0,318,Ohio State,00-0032381,,,,,,,,,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wh3o6mnivndt8afzczel",T,21,CON,A01,Taylor,DEC496460,43305,32004445-4349-6460-9999-a94a63949256,2016,2016.0,DET,16.0
2023,DET,OL,G,60.0,ACT,Graham Glasgow,Graham,Glasgow,1992-08-19,78.0,310,Michigan,00-0032395,,,,,,,,,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/szjqzckhlbjrhsksnrcx",G,21,CON,A01,Graham,GLA349413,43384,3200474c-4134-9413-66c9-455073290215,2016,2016.0,DET,95.0
2023,DET,WR,WR,11.0,INA,Kalif Raymond,Kalif,Raymond,1994-08-08,68.0,182,Holy Cross,00-0032464,2973405.0,e0a31d02-9d1c-4dab-adb4-a5d9bbee8b36,29631.0,11429.0,11028.0,RaymKa00,18422.0,3634.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q2kahfn76dnnb1uxxorv",,21,CON,A01,Kalif,RAY748263,43584,32005241-5974-8263-1ad0-b2ba085ce237,2016,2016.0,,
2023,DET,DL,DE,95.0,ACT,Romeo Okwara,Romeo,Okwara,1995-06-17,76.0,263,Notre Dame,00-0032655,2980147.0,b53384f0-6eb8-4d50-80f5-a2f955183317,29867.0,11156.0,11250.0,OkwaRo01,18268.0,3502.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rkasbg8asew3pyozpkcu",EDGE,21,CON,A01,Romeo,OKW059326,43775,32004f4b-5705-9326-aeff-54de18212511,2016,2016.0,,
