"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","GB",1,"00-0030074","T","David Bakhtiari","David","Bakhtiari",NA,NA,NA,"Not injury related - resting player","Knee","Did Not Participate In Practice",2023-09-08 18:51:02
2023,"REG","GB",1,"00-0038411","CB","Anthony Johnson","Anthony","Johnson",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 18:51:02
2023,"REG","GB",1,"00-0038393","WR","Dontayvion Wicks","Dontayvion","Wicks",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-08 18:51:02
2023,"REG","GB",1,"00-0034967","LB","Rashan Gary","Rashan","Gary",NA,NA,NA,"Knee",NA,"Limited Participation in Practice",2023-09-08 18:51:02
2023,"REG","GB",1,"00-0038124","WR","Christian Watson","Christian","Watson","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-08 18:52:30
2023,"REG","GB",1,"00-0037816","WR","Romeo Doubs","Romeo","Doubs","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-08 18:51:10
2023,"REG","GB",2,"00-0037816","WR","Romeo Doubs","Romeo","Doubs",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-15 19:06:16
2023,"REG","GB",2,"00-0035526","G","Elgton Jenkins","Elgton","Jenkins",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:06:24
2023,"REG","GB",2,"00-0038411","S","Anthony Johnson","Anthony","Johnson",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:06:04
2023,"REG","GB",2,"00-0037547","P","Daniel Whelan","Daniel","Whelan",NA,NA,NA,"Finger",NA,"Full Participation in Practice",2023-09-15 19:06:04
2023,"REG","GB",2,"00-0034967","LB","Rashan Gary","Rashan","Gary",NA,NA,NA,"Knee",NA,"Limited Participation in Practice",2023-09-15 19:06:04
2023,"REG","GB",2,"00-0030074","T","David Bakhtiari","David","Bakhtiari","Not injury related - resting player","Knee","Questionable","Not injury related - resting player","Knee","Did Not Participate In Practice",2023-09-15 19:09:24
2023,"REG","GB",2,"00-0033293","RB","Aaron Jones","Aaron","Jones","Hamstring",NA,"Questionable","Hamstring",NA,"Did Not Participate In Practice",2023-09-15 19:09:24
2023,"REG","GB",2,"00-0037074","LB","Quay Walker","Quay","Walker","Concussion",NA,"Questionable","Concussion",NA,"Limited Participation in Practice",2023-09-15 19:09:24
2023,"REG","GB",2,"00-0038124","WR","Christian Watson","Christian","Watson","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-15 19:09:24
2023,"REG","GB",3,"00-0037547","P","Daniel Whelan","Daniel","Whelan",NA,NA,NA,"Finger",NA,"Full Participation in Practice",2023-09-22 19:37:35
2023,"REG","GB",3,"00-0034967","LB","Rashan Gary","Rashan","Gary",NA,NA,NA,"Knee",NA,"Limited Participation in Practice",2023-09-22 19:37:35
2023,"REG","GB",3,"00-0036677","S","Zayne Anderson","Zayne","Anderson","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-22 19:38:40
2023,"REG","GB",3,"00-0035526","G","Elgton Jenkins","Elgton","Jenkins","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-22 19:38:53
2023,"REG","GB",3,"00-0030074","T","David Bakhtiari","David","Bakhtiari","Not injury related - resting player","Knee","Questionable","Not injury related - resting player","Knee","Did Not Participate In Practice",2023-09-22 19:38:29
2023,"REG","GB",3,"00-0034728","CB","Jaire Alexander","Jaire","Alexander","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2023-09-22 19:38:29
