Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Jonathan Taylor,#28,HB,10.0,174.0,169.0,741.0,4.4,7.0,1.0,74.9,75.0,77.3,71.9,527.0,3.12,29.0,49.0,23.0,103.0,64.0,0.0,0.0,741.0,6.0,169.0,22.8,42.0,0 (0),63.8,57.1,24.0,19.0,153.0,178.0,0.86,1.0,59.7
Zack Moss,#21,HB,14.0,210.0,183.0,793.0,4.3,5.0,0.0,66.9,72.8,90.6,57.4,514.0,2.81,35.0,56.0,19.0,135.0,47.0,0.0,0.0,793.0,7.0,202.0,25.5,43.0,0 (0),43.9,60.4,35.0,27.0,192.0,233.0,0.82,5.0,54.8
Trey Sermon,#27,HB,12.0,43.0,35.0,160.0,4.6,0.0,0.0,56.6,67.4,80.9,60.0,99.0,2.83,5.0,27.0,3.0,23.0,12.0,0.0,0.0,160.0,2.0,46.0,28.8,7.0,0 (0),27.7,69.4,6.0,3.0,13.0,43.0,0.3,3.0,37.2
Tyler Goodson,#31,HB,6.0,16.0,13.0,87.0,6.7,0.0,0.0,57.3,66.0,76.0,60.0,26.0,2.0,1.0,31.0,3.0,4.0,9.0,0.0,0.0,87.0,2.0,46.0,52.9,4.0,0 (0),41.5,73.4,9.0,6.0,34.0,32.0,1.06,2.0,10.5
Kylen Granson,#83,TE,15.0,175.0,1.0,2.0,2.0,0.0,0.0,56.8,63.1,76.7,48.2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2 (0),59.3,63.8,47.0,30.0,368.0,290.0,1.27,3.0,0.0
Evan Hull,#26,HB,1.0,2.0,1.0,1.0,1.0,0.0,0.0,65.7,62.9,66.2,60.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0 (0),64.6,-,1.0,1.0,6.0,5.0,1.2,0.0,0.0
Jake Funk,#34,HB,1.0,2.0,2.0,10.0,5.0,0.0,0.0,63.5,62.8,66.7,-,4.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0 (0),66.5,36.0,1.0,1.0,12.0,8.0,1.5,0.0,0.0
Gardner Minshew,#10,QB,16.0,392.0,34.0,100.0,2.9,3.0,8.0,62.0,59.6,42.5,60.3,25.0,0.74,2.0,23.0,2.0,0.0,0.0,21.0,113.0,-13.0,0.0,0.0,0.0,7.0,4 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Isaiah McKenzie,#06,WR,13.0,56.0,3.0,14.0,4.7,0.0,0.0,64.7,53.7,57.4,59.4,11.0,3.67,1.0,7.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0 (0),66.4,-,14.0,11.0,82.0,55.0,1.49,1.0,104.8
Anthony Richardson,#05,QB,4.0,66.0,25.0,136.0,5.4,4.0,3.0,52.2,45.3,23.6,60.0,34.0,1.36,2.0,23.0,4.0,2.0,11.0,7.0,37.0,99.0,3.0,56.0,41.2,8.0,1 (0),-,-,0.0,0.0,0.0,0.0,,0.0,7.7
Deon Jackson,#31,HB,1.0,19.0,13.0,14.0,1.1,0.0,2.0,30.0,41.2,17.8,59.4,21.0,1.62,0.0,7.0,0.0,11.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0 (0),28.6,6.0,6.0,5.0,14.0,29.0,0.48,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
