player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Trevor Lawrence,2021,4,36.793486,9.198372,36.783486,0.05,51.49072,12.872681,51.476725,00-0036971,2023,JAX,QB,QB,16.0,1999-10-06,JAX,1.0,24.0
C.J. Beathard,2023,2,4.5,2.25,2.0,0.01,5.112544,2.556272,2.272242,00-0033936,2023,JAX,QB,QB,3.0,1993-11-16,SF,104.0,30.0
Matt Barkley,2023,1,1.2502,1.2502,0.2352,0.006,1.420378,1.420378,0.267216,00-0030533,2023,JAX,QB,QB,19.0,1990-09-08,PHI,98.0,33.0
EJ Perry,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037068,2023,JAX,QB,QB,12.0,1998-08-16,,,25.0
Travis Etienne,2021,4,12.898112,3.224528,12.898112,0.018,18.050289,4.512572,18.050289,00-0036973,2023,JAX,RB,RB,1.0,1999-01-26,JAX,25.0,25.0
D'Ernest Johnson,2023,1,1.2325,1.2325,0.25,0.005,1.400269,1.400269,0.28403,00-0035628,2023,JAX,RB,RB,25.0,1996-02-27,,,28.0
Tank Bigsby,2023,4,5.392918,1.34823,0.92212,0.006,6.127007,1.531752,1.04764,00-0038555,2023,JAX,RB,RB,4.0,2001-08-30,JAX,88.0,22.0
Snoop Conner,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037265,2023,JAX,RB,RB,24.0,2000-08-01,JAX,154.0,23.0
Derek Parish,2023,4,3.925328,0.981332,0.085328,0.004,4.459648,1.114912,0.096943,00-0038638,2023,JAX,RB,RB,43.0,1999-01-04,JAX,240.0,25.0
Christian Kirk,2022,4,72.0,18.0,37.0,0.086,88.322767,22.080692,45.388088,00-0034775,2023,JAX,WR,WR,13.0,1996-11-18,ARI,47.0,27.0
Zay Jones,2022,3,24.0,8.0,14.0,0.038,29.440922,9.813641,17.173871,00-0033891,2023,JAX,WR,WR,7.0,1995-03-30,BUF,37.0,29.0
Jamal Agnew,2021,3,14.25,4.75,4.0,0.026,19.942192,6.647397,5.597808,00-0033572,2023,JAX,WR,WR,39.0,1995-04-03,DET,165.0,29.0
Calvin Ridley,2018,4,10.900732,2.725183,9.907077,0.015,15.711326,3.927831,14.279162,00-0034837,2023,JAX,WR,WR,0.0,1994-12-20,ATL,26.0,29.0
