player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Patrick Mahomes,2020,10,450.0,45.0,141.0,0.227,579.868819,57.986882,181.69223,00-0033873,2023,KC,QB,QB,15.0,1995-09-17,KC,10.0,28.0
Blaine Gabbert,2023,1,1.3175,1.3175,1.0925,0.006,1.496839,1.496839,1.241212,00-0027948,2023,KC,QB,QB,9.0,1989-10-15,JAX,10.0,34.0
Ian Book,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036929,2023,KC,QB,QB,19.0,1998-03-30,NO,133.0,26.0
Chris Oladokun,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037324,2023,KC,QB,QB,13.0,1997-09-03,PIT,241.0,26.0
Jerick McKinnon,2023,1,1.3175,1.3175,1.0925,0.006,1.496839,1.496839,1.241212,00-0031376,2023,KC,RB,RB,1.0,1992-05-03,MIN,96.0,31.0
Clyde Edwards-Helaire,2020,4,10.821576,2.705394,9.95585,0.014,13.944654,3.486164,12.829082,00-0036360,2023,KC,RB,RB,25.0,1999-04-11,KC,32.0,25.0
La'Mical Perine,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036269,2023,KC,RB,RB,29.0,1998-01-30,NYJ,120.0,26.0
Keaontay Ingram,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037299,2023,KC,RB,RB,30.0,1999-10-26,ARI,201.0,24.0
Isiah Pacheco,2022,4,3.739108,0.934777,0.079108,0.004,4.586783,1.146696,0.097042,00-0037197,2023,KC,RB,RB,10.0,1999-03-02,KC,251.0,25.0
Jerrion Ealy,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037210,2023,KC,RB,RB,39.0,,,,
Deneric Prince,2023,3,2.715,0.905,0.236,0.004,3.084569,1.02819,0.268125,00-0038518,2023,KC,RB,RB,34.0,2000-04-11,,,24.0
Hassan Hall,2023,3,2.71,0.903333,0.125,0.004,3.078888,1.026296,0.142015,00-0038714,2023,KC,RB,RB,30.0,2000-08-28,,,23.0
Marquez Valdes-Scantling,2022,3,30.0,10.0,15.0,0.048,36.801153,12.267051,18.400576,00-0034272,2023,KC,WR,WR,11.0,1994-10-10,GB,174.0,29.0
Kadarius Toney,2021,4,13.719508,3.429877,13.719508,0.019,19.199794,4.799948,19.199794,00-0036913,2023,KC,WR,WR,19.0,1999-01-27,NYG,20.0,25.0
Mecole Hardman,2023,1,4.0,4.0,3.58,0.018,4.544484,4.544484,4.067313,00-0035140,2023,KC,WR,WR,12.0,1998-03-12,KC,56.0,26.0
John Ross,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033460,2023,KC,WR,WR,12.0,1995-11-27,CIN,9.0,28.0
Skyy Moore,2022,4,6.450506,1.612627,3.574481,0.008,7.912869,1.978218,4.384834,00-0038090,2023,KC,WR,WR,24.0,2000-09-10,KC,54.0,23.0
