season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,KC,QB,QB,9.0,ACT,Blaine Gabbert,Blaine,Gabbert,1989-10-15,77.0,235,Missouri,00-0027948,13987.0,de816e24-8442-49a4-99cd-dde7e7c05863,24797.0,7248.0,6162.0,GabbBl00,12982.0,862.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fphhd3wedamgkps6e0dl",,22,SB,A01,Blaine,GAB221145,37083,32004741-4222-1145-cd0f-449f7f72bdc9,2011,2011.0,JAX,10.0
2023,KC,TE,TE,87.0,ACT,Travis Kelce,Travis,Kelce,1989-10-05,77.0,260,Cincinnati,00-0030506,15847.0,c3859e06-5f23-4302-a71b-04820a899d5f,26686.0,8783.0,7844.0,KelcTr00,15048.0,1466.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryzr3vbragwe50vtj9af",SLOT_WR,22,SB,A01,Travis,KEL012458,40011,32004b45-4c01-2458-b7b6-3a14cdb414dd,2013,2013.0,KC,63.0
2023,KC,LS,LS,41.0,ACT,James Winchester,James,Winchester,1989-08-06,75.0,240,Oklahoma,00-0030615,16665.0,996a0607-8046-46c2-97a0-b94ff9f5a1c8,27494.0,10606.0,8580.0,,15917.0,1785.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vuigqy9qzrsujiefcwrr",,22,SB,A01,James,WIN034202,40994,32005749-4e03-4202-ea63-4415bac76e40,2013,2013.0,,
2023,KC,DL,NT,69.0,ACT,Mike Pennel,Michael,Pennel,1991-05-09,76.0,332,Colorado State-Pueblo,00-0030757,17230.0,8b9bc551-66bb-4948-849f-c0471caaeb19,28085.0,9661.0,9316.0,,16486.0,2143.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ggbufioaykmpjgjddj6s",INTERIOR_LINE,22,SB,A01,Mike,PEN320554,41595,32005045-4e32-0554-9daf-d78f7cf2d013,2014,2014.0,,
2023,KC,RB,RB,1.0,ACT,Jerick McKinnon,Jerick,McKinnon,1992-05-03,69.0,205,Georgia Southern,00-0031376,16782.0,f77479d7-51a5-41f9-8924-69526dd078cd,27624.0,9529.0,8731.0,McKiJe00,16510.0,2161.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yezxe2j778cndbhkxwez",RB,22,SB,A01,Jerick,MCK656764,41325,32004d43-4b65-6764-e685-6b07f4dbac28,2014,2014.0,MIN,96.0
2023,KC,OL,C,61.0,DEV,Austin Reiter,Austin,Reiter,1991-11-27,75.0,300,South Florida,00-0031958,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mmujb8fl0pllf47jp4r3",,22,SB,P07,Austin,REI765747,42565,32005245-4976-5747-58a6-c6a8f590b388,2015,2015.0,WAS,222.0
2023,KC,TE,TE,81.0,ACT,Blake Bell,Blake,Bell,1991-08-07,78.0,252,Oklahoma,00-0032062,2514206.0,0cc4e449-185a-4b08-9f07-c907ad0c3e05,28505.0,10248.0,9550.0,BellBl00,16878.0,2422.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqrmmjto8koqqc9j2kjj",TE,22,SB,A01,Blake,BEL227990,42460,32004245-4c22-7990-64c5-8c2ffa5bd463,2015,2015.0,SF,117.0
2023,KC,DL,NT,71.0,CUT,Danny Shelton,Danny,Shelton,1993-08-20,74.0,345,Washington,00-0032143,2578384.0,cb491475-1814-4914-9777-fb865ae0d70b,28400.0,10310.0,9445.0,ShelDa01,16773.0,2317.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nfwolstt4lyn2i7ct5b1",,3,REG,P07,Danny,SHE411954,42355,32005348-4541-1954-277c-fac0cfdab4aa,2015,2015.0,CLE,12.0
2023,KC,OL,T,79.0,ACT,Donovan Smith,Donovan,Smith,1993-06-23,78.0,338,Penn State,00-0032217,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iivzp0ofngoslzvvb46q",T,22,SB,A01,Donovan,SMI221725,42377,3200534d-4922-1725-3f1e-39d251c81444,2015,2015.0,TB,34.0
2023,KC,OL,G,62.0,RES,Joe Thuney,Joseph,Thuney,1992-11-18,77.0,308,North Carolina State,00-0032391,,,,,,,,,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hlarfa9lnf5g8gfrvwxe",,22,SB,R01,Joe,THU198074,43367,32005448-5519-8074-d99e-a02407da902b,2016,2016.0,NE,78.0
