Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Brandon Bolden,#34,HB,3.0,5.0,4.0,31.0,7.8,1.0,0.0,77.9,73.7,69.7,-,21.0,5.25,0.0,26.0,1.0,0.0,3.0,0.0,0.0,31.0,1.0,26.0,83.9,2.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Zamir White,#35,HB,15.0,118.0,104.0,451.0,4.3,1.0,1.0,71.7,70.6,67.0,59.8,334.0,3.21,15.0,43.0,8.0,48.0,46.0,0.0,0.0,451.0,5.0,114.0,25.3,19.0,0 (0),69.7,46.4,17.0,15.0,98.0,90.0,1.09,0.0,48.6
Josh Jacobs,#08,HB,13.0,271.0,233.0,805.0,3.5,6.0,3.0,65.0,70.1,61.0,55.3,547.0,2.35,28.0,63.0,9.0,106.0,110.0,0.0,0.0,805.0,5.0,160.0,19.9,33.0,2 (0),51.0,50.9,52.0,37.0,296.0,238.0,1.24,5.0,32.2
Jakobi Meyers,#16,WR,16.0,341.0,4.0,24.0,6.0,2.0,0.0,69.9,70.0,82.1,36.7,5.0,1.25,0.0,17.0,1.0,0.0,0.0,1.0,5.0,19.0,1.0,17.0,70.8,3.0,6 (0),71.8,71.8,106.0,71.0,807.0,531.0,1.52,4.0,7.2
Ameer Abdullah,#22,HB,17.0,17.0,15.0,89.0,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43.0,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,0 (0),61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,33.7
Tre Tucker,#11,WR,16.0,98.0,10.0,77.0,7.7,0.0,0.0,65.2,67.8,77.4,59.7,26.0,2.6,4.0,34.0,3.0,0.0,0.0,0.0,0.0,77.0,2.0,50.0,64.9,4.0,1 (0),64.3,-,34.0,19.0,331.0,224.0,1.48,1.0,44.8
DeAndre Carter,#03,WR,16.0,50.0,3.0,18.0,6.0,0.0,0.0,50.2,66.1,88.7,38.7,2.0,0.67,0.0,15.0,1.0,1.0,0.0,0.0,0.0,18.0,1.0,15.0,83.3,2.0,0 (0),50.4,65.7,6.0,4.0,39.0,49.0,0.8,1.0,0.0
Aidan O'Connell,#04,QB,11.0,256.0,17.0,11.0,0.6,1.0,4.0,65.9,61.6,72.1,60.3,4.0,0.24,0.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,2 (0),56.2,61.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Brian Hoyer,#07,QB,3.0,33.0,3.0,-3.0,-1.0,0.0,0.0,55.2,60.5,80.6,60.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Jimmy Garoppolo,#10,QB,7.0,121.0,20.0,39.0,2.0,0.0,1.0,65.0,58.8,74.1,60.0,19.0,0.95,0.0,9.0,0.0,0.0,1.0,8.0,39.0,0.0,0.0,0.0,0.0,6.0,1 (0),58.9,-,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
