Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Mike Williams,#81,WR,3.0,54.0,53.0,98.1,75.0,0 (0),26.0,49.1,53.9,23.0,43.4,61.9
Corey Linsley,#63,C,3.0,70.0,70.0,100.0,65.9,0 (0),32.0,45.7,67.9,30.0,42.9,59.9
Hunter Kampmoyer,#48,TE,1.0,1.0,1.0,100.0,65.6,0 (0),0.0,0.0,-,1.0,100.0,65.6
Justin Herbert,#10,QB,13.0,280.0,259.0,92.5,60.3,0 (0),141.0,54.4,60.2,104.0,40.2,60.3
Easton Stick,#02,QB,5.0,112.0,94.0,83.9,60.2,0 (0),56.0,59.6,60.0,30.0,31.9,60.2
Blake Lynch,#53,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Deane Leonard,#33,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Dean Marlowe,#20,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Josh Harris,#47,LS,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Terrell Bynum,#35,WR,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Daiyan Henley,#00,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
JK Scott,#16,P,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Amen Ogbongbemiga,#57,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Ja'Sir Taylor,#36,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tuli Tuipulotu,#45,ED,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Isaiah Spiller,#28,HB,9.0,41.0,4.0,9.8,60.0,0 (0),1.0,25.0,60.0,0.0,0.0,-
Elijah Dotson,#42,HB,2.0,10.0,6.0,60.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Rashawn Slater,#70,T,17.0,392.0,392.0,100.0,59.5,3 (1),202.0,51.5,65.0,142.0,36.2,51.1
Stephen Anderson,#40,TE,2.0,3.0,3.0,100.0,59.3,0 (0),1.0,33.3,56.3,0.0,0.0,-
Joshua Kelley,#25,HB,17.0,128.0,19.0,14.8,58.3,0 (0),1.0,5.3,60.0,0.0,0.0,-
Zion Johnson,#77,G,15.0,345.0,345.0,100.0,57.2,2 (0),177.0,51.3,52.3,128.0,37.1,63.4
Will Clapp,#76,C,13.0,238.0,238.0,100.0,56.9,0 (0),127.0,53.4,56.4,82.0,34.5,59.2
Austen Pleasants,#75,T,1.0,2.0,2.0,100.0,54.4,0 (0),0.0,0.0,-,2.0,100.0,54.4
Quentin Johnston,#01,WR,17.0,232.0,228.0,98.3,52.7,1 (0),136.0,59.6,60.1,74.0,32.5,73.1
Gerald Everett,#07,TE,15.0,197.0,194.0,98.5,51.3,1 (1),102.0,52.6,57.5,65.0,33.5,45.4
Joshua Palmer,#05,WR,10.0,155.0,155.0,100.0,51.1,1 (0),78.0,50.3,54.9,62.0,40.0,56.0
Trey Pipkins III,#79,T,17.0,379.0,379.0,100.0,50.3,0 (0),198.0,52.2,66.6,137.0,36.1,35.0
Jordan McFadden,#71,G,8.0,59.0,59.0,100.0,49.5,0 (0),29.0,49.2,57.0,20.0,33.9,58.5
Jamaree Salyer,#68,G,17.0,390.0,390.0,100.0,49.4,0 (0),202.0,51.8,50.8,140.0,35.9,54.4
Foster Sarell,#73,T,7.0,23.0,23.0,100.0,45.9,0 (0),4.0,17.4,53.2,11.0,47.8,49.5
Donald Parham Jr.,#89,TE,14.0,158.0,158.0,100.0,45.4,0 (0),71.0,44.9,52.2,68.0,43.0,46.7
Alex Erickson,#82,WR,8.0,97.0,97.0,100.0,45.3,0 (0),50.0,51.5,69.7,39.0,40.2,65.3
Keelan Doss,#86,WR,5.0,30.0,30.0,100.0,44.4,0 (0),14.0,46.7,59.8,7.0,23.3,32.7
Nick Vannett,#83,TE,8.0,80.0,80.0,100.0,44.4,0 (0),43.0,53.8,48.2,27.0,33.8,43.8
Derius Davis,#12,WR,15.0,69.0,56.0,81.2,43.0,0 (0),33.0,58.9,55.2,15.0,26.8,53.5
Simi Fehoko,#87,WR,4.0,13.0,13.0,100.0,40.8,0 (0),5.0,38.5,58.9,8.0,61.5,39.1
Brenden Jaimes,#64,C,4.0,86.0,86.0,100.0,39.8,0 (0),43.0,50.0,44.3,31.0,36.0,47.7
Tre' McKitty,#88,TE,6.0,42.0,42.0,100.0,39.1,1 (1),18.0,42.9,52.7,14.0,33.3,45.7
Keenan Allen,#13,WR,13.0,216.0,216.0,100.0,39.1,0 (0),117.0,54.2,60.2,84.0,38.9,51.1
Austin Ekeler,#30,HB,14.0,210.0,28.0,13.3,36.6,0 (0),6.0,21.4,51.4,8.0,28.6,32.3
Stone Smartt,#84,TE,16.0,130.0,130.0,100.0,31.9,0 (0),62.0,47.7,53.7,46.0,35.4,35.1
Jalen Guyton,#15,WR,7.0,70.0,70.0,100.0,30.6,0 (0),45.0,64.3,51.7,22.0,31.4,52.9
,,,,,,,,,,,,,,
