Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Puka Nacua,#17,WR,18.0,163.0,114.0,69.9,"1,667",14.6,7.0,90.2,89.3,51.7,44.2,72.0,659.0,607.0,92.1,9.0,1.4,200.0,30.3,458.0,69.5,0.0,0.0,731.0,6.4,2.75,9.4,80.0,13.0,10.2,30.0,15.0,50.0,3.0,1.0,16.0,74.0,109.6,5 (0)
Davis Allen,#87,TE,12.0,13.0,12.0,92.3,123,10.3,1.0,64.7,72.8,63.2,72.3,75.5,109.0,85.0,78.0,17.0,15.6,14.0,12.8,12.0,11.0,83.0,76.1,94.0,7.8,1.45,2.5,22.0,1.0,7.7,0.0,0.0,,0.0,0.0,4.0,7.0,131.7,2 (0)
Cooper Kupp,#10,WR,13.0,100.0,64.0,64.0,764,11.9,5.0,71.5,71.1,61.3,81.1,69.5,464.0,432.0,93.1,3.0,0.6,287.0,61.9,174.0,37.5,0.0,0.0,336.0,5.3,1.77,8.6,62.0,5.0,7.2,11.0,5.0,45.5,3.0,0.0,11.0,35.0,91.4,2 (0)
Brycen Hopkins,#88,TE,15.0,7.0,5.0,71.4,78,15.6,0.0,68.0,70.5,73.4,68.0,56.7,58.0,52.0,89.7,4.0,6.9,16.0,27.6,9.0,15.5,32.0,55.2,33.0,6.6,1.5,8.4,29.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,108.0,1 (0)
Demarcus Robinson,#15,WR,14.0,45.0,29.0,64.4,415,14.3,4.0,70.0,69.2,87.3,20.7,-,271.0,259.0,95.6,0.0,0.0,65.0,24.0,206.0,76.0,0.0,0.0,93.0,3.2,1.6,14.1,37.0,0.0,0.0,7.0,6.0,85.7,1.0,2.0,3.0,23.0,114.6,2 (0)
Tyler Johnson,#16,WR,1.0,3.0,2.0,66.7,8,4.0,1.0,63.0,68.8,68.3,64.0,-,16.0,13.0,81.3,0.0,0.0,4.0,25.0,12.0,75.0,0.0,0.0,1.0,0.5,0.62,8.0,8.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,109.7,0 (0)
Tutu Atwell,#05,WR,17.0,67.0,40.0,59.7,521,13.0,4.0,68.3,66.6,66.8,79.6,-,441.0,408.0,92.5,0.0,0.0,192.0,43.5,249.0,56.5,0.0,0.0,130.0,3.3,1.28,11.6,44.0,3.0,7.0,11.0,5.0,45.5,2.0,0.0,1.0,27.0,91.7,0 (0)
Ronnie Rivers,#20,HB,8.0,8.0,8.0,100.0,57,7.1,0.0,75.0,66.0,78.0,82.4,46.0,65.0,44.0,67.7,16.0,24.6,3.0,4.6,2.0,3.1,0.0,0.0,88.0,11.0,1.3,-3.9,17.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,96.4,0 (0)
Austin Trammell,#81,WR,9.0,6.0,4.0,66.7,29,7.3,0.0,57.4,60.9,72.1,63.3,69.6,41.0,34.0,82.9,2.0,4.9,26.0,63.4,15.0,36.6,0.0,0.0,35.0,8.8,0.85,4.7,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,38.2,0 (0)
Tyler Higbee,#89,TE,16.0,67.0,47.0,70.1,495,10.5,2.0,57.6,58.7,55.3,79.2,67.6,555.0,475.0,85.6,50.0,9.0,153.0,27.6,78.0,14.1,324.0,58.4,248.0,5.3,1.04,6.1,33.0,5.0,9.6,10.0,4.0,40.0,0.0,0.0,2.0,26.0,101.3,4 (0)
