Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Ethan Bonner,#38,CB,2.0,11.0,92.7,1.0,1.0,0.0,0.0,1.0,9.1,1.0,-1.0,0 (0)
David Long Jr.,#51,LB,18.0,357.0,92.6,56.0,28.0,3.0,3.4,39.0,11.2,1.0,2.2,2 (0)
Eli Apple,#33,CB,11.0,240.0,88.7,6.0,3.0,0.0,0.0,4.0,1.7,0.0,2.3,5 (1)
Da'Shawn Hand,#93,DI,16.0,100.0,84.3,10.0,7.0,2.0,10.5,6.0,6.1,0.0,5.3,0 (0)
DeShon Elliott,#21,S,16.0,367.0,83.5,28.0,25.0,4.0,7.0,5.0,1.4,0.0,9.0,1 (0)
Jevon Holland,#08,S,12.0,267.0,82.5,22.0,10.0,3.0,8.6,8.0,3.1,0.0,7.6,0 (0)
Jaelan Phillips,#15,ED,8.0,126.0,77.7,21.0,8.0,1.0,3.3,15.0,12.2,0.0,3.2,1 (1)
Andrew Van Ginkel,#43,ED,17.0,259.0,76.3,30.0,11.0,4.0,8.9,17.0,6.8,0.0,3.4,1 (0)
Channing Tindall,#41,LB,2.0,7.0,74.2,2.0,2.0,0.0,0.0,2.0,28.6,0.0,2.0,0 (0)
Calvin Munson,#50,LB,2.0,3.0,73.3,1.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0 (0)
Cameron Goode,#53,ED,7.0,24.0,73.2,1.0,2.0,1.0,25.0,1.0,4.3,0.0,2.0,0 (0)
Justin Houston,#52,ED,1.0,9.0,72.9,1.0,0.0,0.0,0.0,1.0,11.1,0.0,0.0,0 (0)
Bradley Chubb,#02,ED,16.0,305.0,71.1,30.0,18.0,6.0,11.1,22.0,7.4,0.0,2.3,4 (1)
Kader Kohou,#04,CB,18.0,328.0,69.8,7.0,2.0,4.0,30.8,3.0,0.9,0.0,4.6,4 (2)
Christian Wilkins,#94,DI,18.0,358.0,69.5,36.0,13.0,5.0,9.3,24.0,6.9,0.0,2.6,7 (0)
Duke Riley,#45,LB,13.0,185.0,69.3,19.0,5.0,6.0,20.0,14.0,7.7,0.0,2.6,0 (0)
Jalen Ramsey,#05,CB,11.0,236.0,68.8,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5 (3)
Parry Nickerson,#34,CB,3.0,25.0,65.8,0.0,0.0,0.0,,0.0,0.0,0.0,,2 (0)
Justin Bethel,#20,CB,5.0,35.0,65.6,3.0,1.0,0.0,0.0,2.0,5.9,0.0,1.7,0 (0)
Brandon Jones,#29,S,13.0,201.0,64.4,16.0,4.0,9.0,31.0,8.0,4.1,1.0,5.2,1 (0)
Xavien Howard,#25,CB,13.0,266.0,63.9,7.0,4.0,3.0,21.4,2.0,0.8,0.0,5.7,7 (2)
Zach Sieler,#92,DI,18.0,351.0,63.4,32.0,15.0,5.0,9.6,24.0,7.0,1.0,2.4,3 (1)
Nik Needham,#40,CB,5.0,11.0,61.7,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (0)
Kelvin Joseph,#09,CB,2.0,9.0,61.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Cam Smith,#24,CB,4.0,7.0,61.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Melvin Ingram III,#09,ED,4.0,67.0,61.1,6.0,0.0,1.0,14.3,2.0,3.0,0.0,2.8,0 (0)
Chase Winovich,#50,ED,1.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Braxton Berrios,#00,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Bruce Irvin,#46,ED,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Jason Pierre-Paul,#90,ED,1.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Malik Reed,#47,ED,1.0,19.0,59.7,2.0,1.0,0.0,0.0,1.0,5.3,0.0,4.5,0 (0)
Brandon Pili,#96,DI,3.0,16.0,59.4,2.0,0.0,0.0,0.0,2.0,12.5,0.0,3.5,0 (0)
Jerome Baker,#55,LB,13.0,262.0,56.7,27.0,8.0,2.0,5.4,14.0,5.5,0.0,4.3,2 (2)
Elijah Campbell,#22,S,9.0,44.0,52.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0 (0)
Raekwon Davis,#98,DI,18.0,251.0,51.5,18.0,8.0,1.0,3.7,15.0,6.1,0.0,2.5,0 (0)
Emmanuel Ogbah,#91,ED,14.0,108.0,41.4,6.0,10.0,4.0,20.0,5.0,4.6,0.0,2.5,1 (0)
,,,,,,,,,,,,,,
