player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Kirk Cousins,2022,1,35.0,35.0,70.0,0.168,42.934678,42.934678,85.869356,00-0029604,2023,MIN,QB,QB,8.0,1988-08-19,WAS,102.0,35.0
Nick Mullens,2023,2,4.0,2.0,1.9225,0.009,4.544484,2.272242,2.184193,00-0033319,2023,MIN,QB,QB,12.0,1995-03-21,,,29.0
Joshua Dobbs,2023,1,2.0,2.0,2.0,0.009,2.272242,2.272242,2.272242,00-0033949,2023,MIN,QB,QB,15.0,1995-01-26,PIT,135.0,29.0
Jaren Hall,2023,4,4.119272,1.029818,0.279272,0.005,4.679991,1.169998,0.317287,00-0038598,2023,MIN,QB,QB,16.0,1998-03-24,MIN,164.0,26.0
Tanner Morgan,2023,3,2.72,0.906667,0.025,0.004,3.090249,1.030083,0.028403,00-0038744,2023,MIN,QB,QB,5.0,1999-04-17,,,25.0
Jordan Ta'amu,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035735,2023,MIN,QB,QB,4.0,1997-12-10,,,26.0
Alexander Mattison,2023,2,7.0,3.5,6.35,0.016,7.952847,3.976423,7.214368,00-0034972,2023,MIN,RB,RB,2.0,1998-06-19,MIN,102.0,25.0
Cam Akers,2020,4,6.173042,1.543261,3.550077,0.008,7.954566,1.988642,4.57462,00-0036414,2023,MIN,RB,RB,31.0,1999-06-22,LA,52.0,24.0
Kene Nwangwu,2021,4,4.232796,1.058199,0.752796,0.006,5.923595,1.480899,1.053502,00-0036842,2023,MIN,RB,RB,26.0,1998-02-09,MIN,119.0,26.0
Myles Gaskin,2023,1,1.2325,1.2325,0.0,0.005,1.400269,1.400269,0.0,00-0035311,2023,MIN,RB,RB,37.0,1997-02-15,MIA,234.0,27.0
Ty Chandler,2022,4,3.958844,0.989711,0.298844,0.005,4.856334,1.214084,0.366593,00-0037276,2023,MIN,RB,RB,32.0,1998-05-12,MIN,169.0,25.0
DeWayne McBride,2023,4,3.950404,0.987601,0.110404,0.004,4.488137,1.122034,0.125432,00-0039046,2023,MIN,RB,RB,27.0,2001-07-08,MIN,222.0,22.0
Abram Smith,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037546,2023,MIN,RB,RB,41.0,,,,
C.J. Ham,2023,2,5.6,2.8,4.4,0.012,6.362278,3.181139,4.998932,00-0032918,2023,MIN,RB,FB,30.0,1993-07-22,,,30.0
Justin Jefferson,2020,4,13.122806,3.280702,13.122806,0.017,16.910013,4.227504,16.910013,00-0036322,2023,MIN,WR,WR,18.0,1999-06-16,MIN,22.0,24.0
Jordan Addison,2023,4,13.731736,3.432934,13.731736,0.015,15.600914,3.900228,15.600914,00-0038994,2023,MIN,WR,WR,3.0,2002-01-27,MIN,23.0,22.0
N'Keal Harry,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035624,2023,MIN,WR,WR,13.0,1997-12-17,NE,32.0,26.0
Brandon Powell,2023,1,1.2325,1.2325,0.275,0.005,1.400269,1.400269,0.312433,00-0034646,2023,MIN,WR,WR,4.0,1995-09-12,,,28.0
Jalen Nailor,2022,4,3.84066,0.960165,0.18066,0.005,4.711357,1.177839,0.221617,00-0037291,2023,MIN,WR,WR,83.0,1999-03-02,MIN,191.0,25.0
K.J. Osborn,2020,4,3.562772,0.890693,0.267772,0.004,4.590979,1.147745,0.34505,00-0036345,2023,MIN,WR,WR,17.0,1997-06-10,MIN,176.0,26.0
Blake Proehl,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036818,2023,MIN,WR,WR,13.0,,,,
