Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Danielle Hunter,#99,ED,17.0,628.0,614.0,97.8,79.1,1 (0),80.0,18.0,7.0,55.0,8.2,15.7,1.0,228.0,223.0,97.8,86.7,47.0,7.0,5.0,35.0,12.5,25.0,0.0
Ivan Pace Jr.,#40,LB,17.0,428.0,109.0,25.5,78.0,1 (1),15.0,3.0,6.0,6.0,8.5,21.7,0.0,154.0,48.0,31.2,62.9,6.0,0.0,4.0,2.0,6.7,20.0,0.0
Josh Metellus,#44,S,17.0,672.0,116.0,17.3,75.8,1 (1),29.0,3.0,7.0,19.0,14.4,16.2,0.0,241.0,45.0,18.7,74.6,12.0,0.0,3.0,9.0,14.3,19.0,0.0
Khyiris Tonga,#95,DI,13.0,79.0,79.0,100.0,70.4,0 (0),9.0,0.0,2.0,7.0,5.8,15.4,0.0,24.0,24.0,100.0,80.2,6.0,0.0,1.0,5.0,12.5,29.2,0.0
Brian Asamoah II,#33,LB,5.0,11.0,3.0,27.3,68.3,0 (0),1.0,0.0,0.0,1.0,16.7,33.3,0.0,3.0,1.0,33.3,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Jackson,#25,S,15.0,105.0,5.0,4.8,65.0,0 (0),1.0,0.0,1.0,0.0,10.0,0.0,0.0,30.0,3.0,10.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Hicks,#58,LB,13.0,489.0,123.0,25.2,64.2,1 (0),14.0,1.0,1.0,12.0,6.3,11.8,1.0,169.0,57.0,33.7,65.9,10.0,1.0,1.0,8.0,10.4,15.1,0.0
Akayleb Evans,#21,CB,15.0,529.0,5.0,0.9,62.9,4 (1),0.0,0.0,0.0,0.0,0.0,20.0,0.0,194.0,1.0,0.5,66.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Marcus Davenport,#00,ED,4.0,78.0,77.0,98.7,60.1,0 (0),7.0,2.0,2.0,3.0,6.3,9.7,0.0,33.0,33.0,100.0,55.7,6.0,2.0,1.0,3.0,12.9,9.7,0.0
Mekhi Blackmon,#05,CB,15.0,330.0,1.0,0.3,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Troy Dye,#45,LB,7.0,83.0,25.0,30.1,58.9,0 (0),5.0,1.0,1.0,3.0,12.0,12.0,0.0,28.0,12.0,42.9,66.9,5.0,1.0,1.0,3.0,25.0,25.0,0.0
Harrison Smith,#22,S,17.0,692.0,99.0,14.3,58.6,1 (0),12.0,3.0,3.0,6.0,7.7,2.1,1.0,246.0,35.0,14.2,65.4,9.0,3.0,2.0,4.0,17.6,2.9,0.0
D.J. Wonnum,#98,ED,15.0,548.0,465.0,84.9,56.8,0 (0),38.0,9.0,6.0,23.0,5.2,8.2,5.0,194.0,159.0,82.0,60.3,22.0,6.0,5.0,11.0,9.2,13.8,0.0
Camryn Bynum,#24,S,17.0,700.0,9.0,1.3,56.1,0 (0),1.0,1.0,0.0,0.0,11.1,0.0,0.0,248.0,1.0,0.4,60.5,1.0,1.0,0.0,0.0,100.0,0.0,0.0
Jaquelin Roy,#93,DI,12.0,48.0,44.0,91.7,55.1,0 (0),2.0,0.0,2.0,0.0,2.4,0.0,0.0,16.0,16.0,100.0,57.0,1.0,0.0,1.0,0.0,3.6,0.0,0.0
Jay Ward,#20,S,5.0,24.0,2.0,8.3,54.6,1 (1),1.0,0.0,0.0,1.0,25.0,0.0,0.0,12.0,1.0,8.3,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheldon Day,#52,DI,6.0,65.0,64.0,98.5,54.1,0 (0),3.0,0.0,0.0,3.0,2.4,6.3,0.0,26.0,26.0,100.0,57.8,2.0,0.0,0.0,2.0,3.8,11.5,0.0
Harrison Phillips,#97,DI,17.0,466.0,438.0,94.0,53.6,2 (0),21.0,4.0,2.0,15.0,2.9,4.4,2.0,150.0,148.0,98.7,57.4,16.0,3.0,2.0,11.0,6.6,7.7,0.0
Dean Lowry,#94,DI,9.0,120.0,109.0,90.8,53.6,1 (0),4.0,0.0,0.0,4.0,1.9,2.9,1.0,41.0,40.0,97.6,64.0,4.0,0.0,0.0,4.0,5.3,7.9,1.0
Anthony Barr,#54,LB,4.0,38.0,20.0,52.6,52.8,0 (0),1.0,0.0,0.0,1.0,2.6,5.3,0.0,18.0,12.0,66.7,55.4,1.0,0.0,0.0,1.0,4.2,8.3,0.0
T.J. Smith,#50,DI,3.0,19.0,19.0,100.0,50.8,0 (0),1.0,0.0,0.0,1.0,2.6,0.0,0.0,5.0,5.0,100.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Carter II,#55,ED,7.0,55.0,49.0,89.1,48.9,0 (0),4.0,0.0,2.0,2.0,4.3,4.3,0.0,32.0,27.0,84.4,50.6,2.0,0.0,1.0,1.0,3.7,7.4,0.0
Byron Murphy Jr.,#07,CB,14.0,584.0,14.0,2.4,48.4,4 (2),3.0,0.0,0.0,3.0,11.5,0.0,0.0,211.0,7.0,3.3,64.8,1.0,0.0,0.0,1.0,8.3,0.0,0.0
Jonathan Bullard,#90,DI,17.0,334.0,326.0,97.6,46.9,4 (0),9.0,2.0,0.0,7.0,1.7,2.5,0.0,106.0,104.0,98.1,54.5,6.0,2.0,0.0,4.0,4.0,5.0,0.0
Pat Jones II,#91,ED,17.0,435.0,388.0,89.2,45.6,2 (0),32.0,1.0,8.0,23.0,4.4,6.2,0.0,155.0,145.0,93.5,55.1,19.0,0.0,5.0,14.0,6.9,13.9,0.0
Benton Whitley,#51,ED,1.0,1.0,1.0,100.0,39.8,0 (0),1.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,1.0,100.0,39.8,1.0,0.0,0.0,1.0,50.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
