"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","MIN",1,"00-0036338","LB","Troy Dye","Troy","Dye",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-08 18:34:38
2023,"REG","MIN",1,"00-0037500","P","Ryan Wright","Ryan","Wright",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 18:34:38
2023,"REG","MIN",1,"00-0034344","DE","Marcus Davenport","Marcus","Davenport","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-08 18:37:31
2023,"REG","MIN",2,"00-0035588","C","Garrett Bradbury","Garrett","Bradbury","Back",NA,"Out","Back",NA,"Did Not Participate In Practice",2023-09-13 17:30:06
2023,"REG","MIN",2,"00-0036616","T","Christian Darrisaw","Christian","Darrisaw","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-13 17:29:39
2023,"REG","MIN",2,"00-0034344","DE","Marcus Davenport","Marcus","Davenport","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-13 17:29:39
2023,"REG","MIN",3,"00-0036616","T","Christian Darrisaw","Christian","Darrisaw",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 19:41:22
2023,"REG","MIN",3,"00-0032129","LB","Jordan Hicks","Jordan","Hicks",NA,NA,NA,"Shin",NA,"Full Participation in Practice",2023-09-22 19:41:43
2023,"REG","MIN",3,"00-0036348","S","Josh Metellus","Josh","Metellus",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-22 19:41:48
2023,"REG","MIN",3,"00-0037291","WR","Jalen Nailor","Jalen","Nailor",NA,NA,NA,"Hamstring",NA,"Limited Participation in Practice",2023-09-20 21:30:45
2023,"REG","MIN",3,"00-0034344","DE","Marcus Davenport","Marcus","Davenport","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-09-22 19:42:06
2023,"REG","MIN",3,"00-0035588","C","Garrett Bradbury","Garrett","Bradbury","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2023-09-22 19:41:50
2023,"REG","MIN",4,"00-0034782","DT","Harrison Phillips","Harrison","Phillips",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-27 20:36:56
2023,"REG","MIN",4,"00-0029606","S","Harrison Smith","Harrison","Smith",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-27 20:36:39
2023,"REG","MIN",4,"00-0037007","DE","Patrick Jones","Patrick","Jones",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 18:42:53
2023,"REG","MIN",4,"00-0036348","S","Josh Metellus","Josh","Metellus",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-29 18:43:19
2023,"REG","MIN",4,"00-0035236","CB","Byron Murphy","Byron","Murphy",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-09-29 18:43:24
2023,"REG","MIN",4,"00-0037245","S","Lewis Cine","Lewis","Cine","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 18:45:39
2023,"REG","MIN",4,"00-0038598","QB","Jaren Hall","Jaren","Hall","Not injury related - personal matter",NA,"Questionable","Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-09-29 18:45:19
2023,"REG","MIN",4,"00-0034344","DE","Marcus Davenport","Marcus","Davenport","Ankle",NA,"Questionable","Ankle",NA,"Full Participation in Practice",2023-09-29 18:45:19
2023,"REG","MIN",4,"00-0035588","C","Garrett Bradbury","Garrett","Bradbury","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2023-09-29 18:45:19
2023,"REG","MIN",5,"00-0032129","LB","Jordan Hicks","Jordan","Hicks",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:27:37
2023,"REG","MIN",5,"00-0034158","T","Brian O'Neill","Brian","O'Neill",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:27:51
2023,"REG","MIN",5,"00-0029606","S","Harrison Smith","Harrison","Smith",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:28:06
2023,"REG","MIN",5,"00-0035588","C","Garrett Bradbury","Garrett","Bradbury",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-10-06 18:44:36
2023,"REG","MIN",5,"00-0036348","S","Josh Metellus","Josh","Metellus",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-10-06 18:46:00
2023,"REG","MIN",5,"00-0034344","DE","Marcus Davenport","Marcus","Davenport","Ankle",NA,"Questionable","Ankle",NA,"Full Participation in Practice",2023-10-06 18:47:32
2023,"REG","MIN",5,"00-0037822","LB","Brian Asamoah","Brian","Asamoah","Toe",NA,"Questionable","Toe",NA,"Limited Participation in Practice",2023-10-06 18:47:32
2023,"REG","MIN",5,"00-0037245","S","Lewis Cine","Lewis","Cine","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-10-06 18:47:32
2023,"REG","MIN",5,"00-0033319","QB","Nick Mullens","Nick","Mullens","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2023-10-06 18:47:32
2023,"REG","MIN",6,"00-0038994","WR","Jordan Addison","Jordan","Addison",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-10-13 18:29:43
2023,"REG","MIN",6,"00-0037245","S","Lewis Cine","Lewis","Cine",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-10-13 18:29:34
2023,"REG","MIN",6,"00-0034344","DE","Marcus Davenport","Marcus","Davenport",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-10-13 18:29:34
2023,"REG","MIN",6,"00-0038101","CB","Akayleb Evans","Akayleb","Evans",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-13 18:29:50
2023,"REG","MIN",6,"00-0036842","RB","Kene Nwangwu","Kene","Nwangwu","Back",NA,"Questionable","Back",NA,"Full Participation in Practice",2023-10-13 18:30:18
2023,"REG","MIN",7,"00-0037007","DE","Patrick Jones","Patrick","Jones",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-10-21 19:03:19
2023,"REG","MIN",7,"00-0036327","G","Ezra Cleveland","Ezra","Cleveland","Foot",NA,"Out","Foot",NA,"Did Not Participate In Practice",2023-10-21 19:03:37
2023,"REG","MIN",7,"00-0038101","CB","Akayleb Evans","Akayleb","Evans","Oblique",NA,"Questionable","Oblique",NA,"Limited Participation in Practice",2023-10-21 19:03:23
2023,"REG","MIN",7,"00-0037291","WR","Jalen Nailor","Jalen","Nailor","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-10-21 19:03:23
2023,"REG","MIN",8,"00-0035229","TE","T.J. Hockenson","T.J.","Hockenson",NA,NA,NA,"Foot",NA,"Full Participation in Practice",2023-10-27 18:42:11
2023,"REG","MIN",8,"00-0036842","RB","Kene Nwangwu","Kene","Nwangwu","Illness",NA,"Out",NA,NA,"
    ",2023-10-28 22:47:38
2023,"REG","MIN",8,"00-0037822","LB","Brian Asamoah","Brian","Asamoah","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-10-27 18:42:33
2023,"REG","MIN",8,"00-0036327","G","Ezra Cleveland","Ezra","Cleveland","Foot",NA,"Questionable","Foot",NA,"Limited Participation in Practice",2023-10-27 18:42:15
2023,"REG","MIN",8,"00-0037291","WR","Jalen Nailor","Jalen","Nailor","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-10-27 18:42:15
2023,"REG","MIN",9,"00-0038101","CB","Akayleb Evans","Akayleb","Evans",NA,NA,NA,"Neck",NA,"Full Participation in Practice",2023-11-03 19:07:59
2023,"REG","MIN",9,"00-0036345","WR","K.J. Osborn","K.J.","Osborn",NA,NA,NA,"Chest",NA,"Full Participation in Practice",2023-11-03 19:08:07
2023,"REG","MIN",9,"00-0034646","WR","Brandon Powell","Brandon","Powell",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-11-03 19:08:13
2023,"REG","MIN",9,"00-0032412","DE","Dean Lowry","Dean","Lowry","Groin",NA,"Out","Groin",NA,"Did Not Participate In Practice",2023-11-03 19:08:26
2023,"REG","MIN",9,"00-0036616","T","Christian Darrisaw","Christian","Darrisaw","Groin",NA,"Questionable","Groin",NA,"Full Participation in Practice",2023-11-04 22:49:00
2023,"REG","MIN",9,"00-0037291","WR","Jalen Nailor","Jalen","Nailor","Hamstring",NA,"Questionable","Hamstring",NA,"Full Participation in Practice",2023-11-03 19:08:17
2023,"REG","MIN",9,"00-0031734","G","Chris Reed","Chris","Reed","Foot",NA,"Questionable","Foot",NA,"Full Participation in Practice",2023-11-03 19:08:17
2023,"REG","MIN",9,"00-0037822","LB","Brian Asamoah","Brian","Asamoah","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-11-03 19:08:17
2023,"REG","MIN",10,"00-0029606","S","Harrison Smith","Harrison","Smith",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-11-09 21:21:58
2023,"REG","MIN",10,"00-0036616","T","Christian Darrisaw","Christian","Darrisaw",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-11-10 19:50:50
2023,"REG","MIN",10,"00-0033246","TE","Johnny Mundt","Johnny","Mundt",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-11-10 19:51:06
2023,"REG","MIN",10,"00-0037291","WR","Jalen Nailor","Jalen","Nailor",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-11-10 19:50:40
2023,"REG","MIN",10,"00-0038598","QB","Jaren Hall","Jaren","Hall","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-11-10 19:54:30
2023,"REG","MIN",10,"00-0032412","DE","Dean Lowry","Dean","Lowry","Groin",NA,"Doubtful","Groin",NA,"Limited Participation in Practice",2023-11-10 19:54:41
2023,"REG","MIN",10,"00-0036345","WR","K.J. Osborn","K.J.","Osborn","Concussion",NA,"Questionable","Concussion",NA,"Full Participation in Practice",2023-11-10 19:54:13
2023,"REG","MIN",10,"00-0031734","G","Chris Reed","Chris","Reed","Foot",NA,"Questionable","Foot",NA,"Full Participation in Practice",2023-11-10 19:54:13
2023,"REG","MIN",10,"00-0037822","LB","Brian Asamoah","Brian","Asamoah","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-11-10 19:54:13
2023,"REG","MIN",10,"00-0035229","TE","T.J. Hockenson","T.J.","Hockenson","Ribs",NA,"Questionable","Ribs",NA,"Limited Participation in Practice",2023-11-10 19:54:13
2023,"REG","MIN",10,"00-0036322","WR","Justin Jefferson","Justin","Jefferson","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-11-10 19:54:13
2023,"REG","MIN",11,"00-0034450","K","Greg Joseph","Greg","Joseph",NA,NA,NA,"Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-11-15 21:10:51
2023,"REG","MIN",11,"00-0033949","QB","Joshua Dobbs","Joshua","Dobbs",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-11-17 20:05:10
2023,"REG","MIN",11,"00-0035229","TE","T.J. Hockenson","T.J.","Hockenson",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-11-17 20:05:39
2023,"REG","MIN",11,"00-0032412","DE","Dean Lowry","Dean","Lowry",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-11-17 20:05:10
