season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,MIN,QB,QB,8.0,RES,Kirk Cousins,Kirk,Cousins,1988-08-19,75.0,202,Michigan State,00-0029604,14880.0,bbd0942c-6f77-4f83-a6d0-66ec6548019e,25812.0,8057.0,7102.0,CousKi00,14252.0,1166.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",,18,REG,R01,Kirk,COU709400,38632,3200434f-5570-9400-e1ae-f835abb5963e,2012,2012.0,WAS,102.0
2023,MIN,DB,SS,22.0,ACT,Harrison Smith,Harrison,Smith,1989-02-02,74.0,214,Notre Dame,00-0029606,14945.0,407f1923-6659-4564-800f-25b8746d6d3e,25739.0,8202.0,7641.0,SmitHa00,14461.0,1213.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mcy1mlsjuu0dyzge3cl9",SAFETY,18,REG,A01,Harrison,SMI317465,38559,3200534d-4931-7465-ebfe-5c05b57e543c,2012,2012.0,MIN,29.0
2023,MIN,LS,LS,42.0,ACT,Andrew DePaola,Andrew,DePaola,1987-07-28,73.0,230,Rutgers,00-0029714,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pnmkhz3nm0zvmzmxo0jx",,18,REG,A01,Andrew,DEP118180,39750,32004445-5011-8180-19a1-6814db083a3b,2012,2012.0,,
2023,MIN,OL,G,76.0,ACT,David Quessenberry,David,Quessenberry,1990-08-24,77.0,310,San Jose State,00-0030097,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e2mktyvj6li7edqwuxnp",T,18,REG,A01,David,QUE597984,40124,32005155-4559-7984-fe6c-8f632e818cdc,2013,2013.0,HOU,176.0
2023,MIN,LB,OLB,54.0,ACT,Anthony Barr,Anthony,Barr,1992-03-18,77.0,255,UCLA,00-0031256,16711.0,23616a22-8266-4b0c-b0b9-5f8187178168,27537.0,9247.0,8644.0,BarrAn00,16496.0,2151.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qmdqkyi8gt67bvqtafxi",EDGE,18,REG,A01,Anthony,BAR550678,41235,32004241-5255-0678-26cd-58fd8ece815f,2014,2014.0,MIN,9.0
2023,MIN,LB,OLB,99.0,ACT,Danielle Hunter,Danielle,Hunter,1994-10-29,77.0,252,Louisiana State,00-0031565,2976560.0,ba7fe857-df63-4aed-803a-80993b157be4,28476.0,10318.0,9521.0,HuntDa01,16849.0,2393.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mcimj8g9r5vhy4rzreih",EDGE,18,REG,A01,Danielle,HUN529240,42431,32004855-4e52-9240-4ef3-07ebfed3439a,2015,2015.0,MIN,88.0
2023,MIN,OL,G,62.0,ACT,Chris Reed,Christopher,Reed,1992-07-22,75.0,320,Minn. State-Mankato,00-0031734,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j3sckf8xvldfgsrejnil",G,18,REG,A01,Chris,REE163330,42765,32005245-4516-3330-b38c-5f46dd8dd71c,2015,2015.0,,
2023,MIN,LB,ILB,58.0,ACT,Jordan Hicks,Jordan,Hicks,1992-06-27,73.0,236,Texas,00-0032129,2514270.0,4f090881-03fc-4a34-b02f-fd1df1e411de,28472.0,10452.0,9517.0,HickJo00,16845.0,2389.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z7mzakfzvfrvf3oxnsvq",MLB,18,REG,A01,Jordan,HIC516259,42427,32004849-4351-6259-1f9d-4fc42253b5c3,2015,2015.0,PHI,84.0
2023,MIN,DL,DE,94.0,RES,Dean Lowry,Dean,Lowry,1994-06-09,78.0,296,Northwestern,00-0032412,2974348.0,0df44cfb-8dab-4fc1-8556-108505a4b428,29371.0,11119.0,10771.0,LowrDe00,18056.0,3295.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xkqgj7bc4xgebhm2mhsw",,18,REG,R01,Dean,LOW617631,43426,32004c4f-5761-7631-a34e-c6965ab51a7c,2016,2016.0,GB,137.0
2023,MIN,LB,ILB,59.0,ACT,Nick Vigil,Nicholas,Vigil,1993-08-20,74.0,235,Utah State,00-0032892,2971816.0,c44b31cd-0480-4aa0-b500-12e9ba0765ac,29321.0,10948.0,10721.0,VigiNi00,18015.0,3254.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bbtmavgq9w6ypqohlu4h",,18,REG,A01,Nick,VIG247556,43376,32005649-4724-7556-ed99-df36a6a1d2b2,2016,2016.0,CIN,87.0
2023,MIN,RB,FB,30.0,ACT,C.J. Ham,Cortez,Ham,1993-07-22,71.0,235,"Augustana, S.D.",00-0032918,4012556.0,971fc9e5-bebb-4a2c-a822-8c52f92a3d07,29951.0,11599.0,11347.0,HamxC.00,18652.0,3832.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oyy0xpxazac9lbt7z8zm",RB,18,REG,A01,C.J.,HAM006291,43971,32004841-4d00-6291-f7a2-2bea51f90d48,2016,2016.0,,
2023,MIN,DL,DT,52.0,ACT,Sheldon Day,Sheldon,Day,1994-07-01,73.0,294,Notre Dame,00-0033010,2976194.0,82fcb439-d5da-4f6b-a68c-17778fe19ce4,29337.0,11019.0,10737.0,DayxSh00,18026.0,3265.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i2gh05uxbvacyknpibpb",INTERIOR_LINE,18,REG,A01,Sheldon,DAY392066,43392,32004441-5939-2066-6870-59284ca7aa4a,2016,2016.0,JAX,103.0
2023,MIN,DL,DE,90.0,ACT,Jonathan Bullard,Jonathan,Bullard,1993-10-22,75.0,296,Florida,00-0033093,2980097.0,ccfcbd2c-6e35-49b9-b131-ba2143665260,29306.0,10926.0,10706.0,BullJo00,18002.0,3241.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hgxa0we4sgcfdb7wim77",INTERIOR_LINE,18,REG,A01,Jonathan,BUL366378,43361,32004255-4c36-6378-5352-bcd27f50c265,2016,2016.0,CHI,72.0
2023,MIN,TE,TE,86.0,ACT,Johnny Mundt,Johnny,Mundt,1994-11-23,76.0,232,Oregon,00-0033246,3052096.0,6414998b-5831-44aa-8bd8-39e42a323c2c,30373.0,12316.0,12206.0,MundJo00,19165.0,4314.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ugqymsoitijokzaup39n",TE,18,REG,A01,Johnny,MUN312153,45094,32004d55-4e31-2153-93a6-6c9db93d992e,2017,2017.0,,
2023,MIN,QB,QB,12.0,ACT,Nick Mullens,Nicholas,Mullens,1995-03-21,73.0,210,Southern Mississippi,00-0033319,3059989.0,7738fea8-7ea2-4c4c-b589-bca90b070819,30563.0,12511.0,12282.0,MullNi00,19330.0,4464.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ocu10coxszfcauzh406s",QB,18,REG,A01,Nick,MUL486612,45198,32004d55-4c48-6612-b03b-50f8fc6abe24,2017,2017.0,,
2023,MIN,LB,ILB,54.0,CUT,Tanner Vallejo,Tanner,Vallejo,1994-12-16,73.0,228,Boise State,00-0033580,3042895.0,23f29e42-92e5-41b2-88eb-b9fb17a0eede,30308.0,11982.0,11950.0,VallTa00,19071.0,4225.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yuami4bsadm32py6yhlr",,1,REG,A01,Tanner,VAL641832,45008,32005641-4c64-1832-251a-a62533d1d112,2017,2017.0,BUF,195.0
2023,MIN,TE,TE,48.0,CUT,Colin Thompson,Colin,Thompson,1993-12-15,76.0,255,Temple,00-0033720,2980120.0,1d55ba37-c09e-4945-b7ae-8d84e2357283,30740.0,12375.0,12239.0,ThomCo03,19542.0,4647.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbjhmxtdg1i6ichpzrbw",,1,REG,W03,Colin,THO503903,45594,32005448-4f50-3903-7c86-bd5146d64c8e,2017,2017.0,,
2023,MIN,QB,QB,15.0,ACT,Joshua Dobbs,Robert,Dobbs,1995-01-26,75.0,216,Tennessee,00-0033949,3044720.0,15bedebc-839e-450a-86f6-1f5ad1f4f820,30248.0,11834.0,11890.0,DobbJo00,19025.0,4179.0,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/il6zhynxgyun9uvsofgr",,18,REG,A01,Joshua,DOB302360,44948,3200444f-4230-2360-8e14-dbbe1dede120,2017,2017.0,PIT,135.0
2023,MIN,OL,C,65.0,ACT,Austin Schlottmann,Austin,Schlottmann,1995-09-18,78.0,300,Texas Christian,00-0034112,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fzvgt4tiwxbwqhj1xsyg",,18,REG,A01,Austin,SCH243742,46370,32005343-4824-3742-b68e-c1ec7beb6be9,2018,2018.0,,
2023,MIN,OL,T,75.0,INA,Brian O'Neill,Brian,O'Neill,1995-09-15,79.0,297,Pittsburgh,00-0034158,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ijna6wel8bc7lkg1mbuk",,18,REG,A01,Brian,ONE620476,46131,32004f4e-4562-0476-e88b-0b8007f92aac,2018,2018.0,MIN,62.0
2023,MIN,OL,T,61.0,CUT,Christian DiLauro,Christian,DiLauro,1994-11-11,78.0,300,Illinois,00-0034250,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vnbpu8tzas5fuhs7uhqz",,1,REG,W03,Christian,DIL014197,46503,32004449-4c01-4197-3168-923c6b52e743,2018,2018.0,,
2023,MIN,LB,OLB,0.0,RES,Marcus Davenport,Marcus,Davenport,1996-09-04,78.0,265,Texas-San Antonio,00-0034344,3124058.0,9c2c9c29-516a-4e0f-8dcd-319291823370,30984.0,12863.0,50291.0,DaveMa00,19835.0,4965.0,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uv5y5x7lnwodheymbaub",,18,REG,R01,Marcus,DAV004893,46083,32004441-5600-4893-5029-0862a4795062,2018,2018.0,NO,14.0
2023,MIN,TE,TE,82.0,DEV,Troy Fumagalli,Troy,Fumagalli,1995-02-17,78.0,248,Wisconsin,00-0034393,3045264.0,579d92e6-ab4f-43e0-803f-b2d5a54d106a,31126.0,12808.0,47333.0,FumaTr00,19973.0,5092.0,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ec3s3n119ph0se5reacd",,18,REG,P07,Troy,FUM059326,46225,32004655-4d05-9326-996b-be8ae628f854,2018,2018.0,DEN,156.0
2023,MIN,K,K,1.0,ACT,Greg Joseph,Gregory,Joseph,1994-08-04,72.0,210,Florida Atlantic,00-0034450,3975763.0,a2aab80d-174c-4639-beac-e2b70bb3625f,31538.0,13266.0,,,20325.0,5272.0,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s9b37u1d05fp84wxpasy",,18,REG,A01,Greg,JOS208464,46634,32004a4f-5320-8464-4fda-40717ed97dae,2018,2018.0,,
2023,MIN,WR,WR,4.0,ACT,Brandon Powell,Brandon,Powell,1995-09-12,68.0,189,Florida,00-0034646,3115255.0,5ec01774-4a79-40aa-be4a-e33c71bd5bf4,31641.0,13036.0,48036.0,PoweBr00,20487.0,5695.0,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cqtogvopabvi3gcuaosi",WR,18,REG,A01,Brandon,POW179215,46830,3200504f-5717-9215-142c-dfb42215908d,2018,2018.0,,
2023,MIN,DL,DT,97.0,ACT,Harrison Phillips,Harrison,Phillips,1996-01-25,75.0,307,Stanford,00-0034782,3117255.0,840b2183-02bc-4a2a-b415-c62ceecca1b2,31066.0,12551.0,48690.0,PhilHa00,19900.0,5049.0,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyfhltyov0a0rigpe0mu",INTERIOR_LINE,18,REG,A01,Harrison,PHI215142,46165,32005048-4921-5142-5ef5-133a36dda72f,2018,2018.0,BUF,96.0
2023,MIN,RB,RB,2.0,ACT,Alexander Mattison,Alexander,Mattison,1998-06-19,71.0,220,Boise State,00-0034972,4048244.0,ae4faec0-509d-4080-b5cb-d1a44d062858,31934.0,13477.0,45817.0,MattAl01,20868.0,5987.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kn3cwf59lqoyauoqmghm",RB,18,REG,A01,Alexander,MAT599622,47885,32004d41-5459-9622-25bb-238938a4f96b,2019,2019.0,MIN,102.0
2023,MIN,OL,G,74.0,RES,Olisaemeka Udoh,Olisaemeka,Udoh,1997-02-14,78.0,323,Elon,00-0034994,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xekqicncuqynxgylxagr",,18,REG,R01,Olisaemeka,UDO489451,47976,32005544-4f48-9451-1839-5671f0b17981,2019,2019.0,MIN,193.0
2023,MIN,TE,TE,87.0,RES,T.J. Hockenson,Thomas,Hockenson,1997-07-03,77.0,248,Iowa,00-0035229,4036133.0,bd1120b6-38b3-4225-a4b0-20660a149d0d,31840.0,13610.0,40912.0,HockTJ00,20805.0,5844.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/exbnbnkgkhp9tlt10wig",,18,REG,R01,T.J.,HOC422041,47791,3200484f-4342-2041-c442-6c874885b155,2019,2019.0,DET,8.0
2023,MIN,DB,CB,7.0,INA,Byron Murphy,Byron,Murphy,1998-01-18,71.0,190,Washington,00-0035236,4038999.0,c025b513-9431-4097-bc25-9777bf08f846,31865.0,13560.0,44027.0,MurpBy00,20888.0,5864.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zuwgxeft57ajwgdp04av",,18,REG,A01,Byron,MUR405853,47816,32004d55-5240-5853-e4e5-d4f178b58b0b,2019,2019.0,ARI,33.0
2023,MIN,DB,CB,29.0,ACT,Joejuan Williams,Joejuan,Williams,1997-12-06,75.0,212,Vanderbilt,00-0035241,4035286.0,154d65c6-b3fc-4ac4-99a6-48c191e90ffc,31877.0,13482.0,29113.0,WillJo13,20986.0,6127.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xvd6nmxdr9hf0ohkyxhn",CB,18,REG,A01,Joejuan,WIL132673,47828,32005749-4c13-2673-3aea-3728cae94d2a,2019,2019.0,NE,45.0
2023,MIN,TE,TE,84.0,ACT,Josh Oliver,Josh,Oliver,1997-03-21,77.0,250,San Jose State,00-0035249,3921690.0,dc83f7af-7b30-4c4a-9c93-f67bd8db954b,31901.0,13786.0,47083.0,OlivJo00,20899.0,5973.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwd3muzyjclgjlwwtdah",TE,18,REG,A01,Josh,OLI524360,47852,32004f4c-4952-4360-2a59-44a3fa93d63f,2019,2019.0,JAX,69.0
2023,MIN,RB,RB,37.0,DEV,Myles Gaskin,Myles,Gaskin,1997-02-15,70.0,200,Washington,00-0035311,3886818.0,cad49098-1523-4e52-9f50-caa3423e1bb6,32066.0,13505.0,45914.0,GaskMy00,20768.0,5980.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ypsxp4e7apgqibr9edzy",,18,REG,P07,Myles,GAS211909,48017,32004741-5321-1909-2ae0-a123794bf24d,2019,2019.0,MIA,234.0
2023,MIN,DL,DE,96.0,CUT,Michael Dogbe,Michael,Dogbe,1996-05-05,75.0,284,Temple,00-0035541,3138765.0,cf0c253d-45bd-48f5-9602-88c3d9ca1082,32081.0,13709.0,48850.0,DogbMi00,21141.0,6304.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cu9kvxqla8gawt9y7ox1",,11,REG,P07,Michael,DOG464761,48032,3200444f-4746-4761-c419-85dd4394d0c2,2019,2019.0,ARI,249.0
2023,MIN,OL,C,56.0,ACT,Garrett Bradbury,Garrett,Bradbury,1995-06-20,75.0,305,North Carolina State,00-0035588,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yj2qcr7tetiimrz7zxtg",C,18,REG,A01,Garrett,BRA092951,47801,32004252-4109-2951-18e8-697b9ff5297c,2019,2019.0,MIN,18.0
2023,MIN,LB,ILB,49.0,CUT,Jake Gervase,Jake,Gervase,1995-09-18,73.0,212,Iowa,00-0035609,3144988.0,e22127ac-1bc7-4f68-bc34-6e20f82a4c24,32603.0,14310.0,49103.0,,21588.0,6687.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tgzuawrs7ra52ultqahi",,1,REG,A01,Jake,GER754272,48772,32004745-5275-4272-7867-6cb7d8bc6ea4,2019,2019.0,,
2023,MIN,WR,WR,13.0,DEV,N'Keal Harry,N'Keal,Harry,1997-12-17,76.0,225,Arizona State,00-0035624,4047839.0,3e6e15ce-1c81-408e-9a94-b0a2924d0b8c,31864.0,13425.0,48297.0,HarrNK00,20792.0,5878.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtyhxwhkwczkl1g0pcin",,18,REG,P07,N'Keal,HAR654593,47815,32004841-5265-4593-d716-d972ec2d4468,2019,2019.0,NE,32.0
2023,MIN,OL,G,66.0,ACT,Dalton Risner,Dalton,Risner,1995-07-13,77.0,312,Kansas State,00-0035702,,,,,,,,,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eoq3rmcid2utuq23ixzl",G,18,REG,A01,Dalton,RIS447993,47824,32005249-5344-7993-8f0d-2bff7b149b04,2019,2019.0,DEN,41.0
2023,MIN,QB,QB,4.0,CUT,Jordan Ta'amu,Jordan,Ta'amu,1997-12-10,75.0,221,Mississippi,00-0035735,4242418.0,c14f8faa-62db-4fb2-a7b1-d9b5998ce604,32642.0,13629.0,60453.0,,21612.0,6730.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ygqbbs2dtzidaezfdfy7",,1,REG,W03,Jordan,TAA426541,49544,32005441-4142-6541-5d91-bae3170aa28d,2019,2019.0,,
2023,MIN,TE,TE,82.0,RET,Ben Ellefson,Ben,Ellefson,1996-09-01,75.0,250,North Dakota State,00-0035823,3930900.0,ca393469-d587-4bf7-905d-838e960de851,33124.0,14864.0,27766.0,ElleBe00,22284.0,7288.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/obeiese68connhihpmln",,18,REG,R02,Ben,ELL037269,52725,3200454c-4c03-7269-3d84-7d77ef928fa1,2020,2020.0,,
2023,MIN,DL,DT,50.0,ACT,T.J. Smith,T.J.,Smith,1997-04-19,75.0,290,Arkansas,00-0035910,3916917.0,39fd7f0b-4be2-4fe4-b228-65c9e5442552,32991.0,14770.0,36851.0,,22319.0,7327.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ap45zuzwkbzcyzuu6tp3",INTERIOR_LINE,18,REG,A01,T.J.,SMI754580,52812,3200534d-4975-4580-eef8-03be1f441848,2020,2020.0,,
2023,MIN,WR,WR,9.0,DEV,Trishton Jackson,Trishton,Jackson,1998-03-09,73.0,191,Syracuse,00-0035934,4046715.0,9a2cd41e-a6e8-42d6-aad4-65c42939d733,33253.0,14402.0,41247.0,,21725.0,7009.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qgwdhz3eyjs5oigbliei",,18,REG,P01,Trishton,JAC607133,52836,32004a41-4360-7133-62ad-85715aaa5a52,2020,2020.0,,
2023,MIN,DB,DB,47.0,CUT,Jameson Houston,Jameson,Houston,,71.0,200,Baylor,00-0036116,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tj6hg73xhnh8essgy8tc",,1,REG,W03,Jameson,HOU469636,53020,3200484f-5546-9636-e6e3-b647b035b568,2020,2020.0,,
2023,MIN,OL,G,78.0,ACT,Hakeem Adeniji,Hakeem,Adeniji,1997-12-08,76.0,300,Kansas,00-0036310,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sukikmwfvyjsysfjrept",,18,REG,A01,Hakeem,ADE451329,52588,32004144-4545-1329-dcd7-27e4940351c6,2020,2020.0,CIN,180.0
2023,MIN,WR,WR,18.0,ACT,Justin Jefferson,Justin,Jefferson,1999-06-16,73.0,192,Louisiana State,00-0036322,4262921.0,4131d4ee-0318-4bb5-832a-4dec80668a4f,32692.0,14509.0,61398.0,JeffJu00,21685.0,6794.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdstmm4sloqnichybgja",WR,18,REG,A01,Justin,JEF269287,52430,32004a45-4626-9287-c454-479b942cbd26,2020,2020.0,MIN,22.0
2023,MIN,LB,OLB,98.0,RES,D.J. Wonnum,Dennis,Wonnum,1997-10-31,77.0,260,South Carolina,00-0036335,4038849.0,68356887-b59e-4210-9726-828ea7f83928,32787.0,14612.0,44550.0,WonnDJ00,21909.0,6868.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eyocajqgfrigi444hnkq",,18,REG,R01,D.J.,WON272160,52525,3200574f-4e27-2160-1623-df369bc69f58,2020,2020.0,MIN,117.0
2023,MIN,DL,NT,92.0,RES,James Lynch,James,Lynch,1999-01-20,76.0,295,Baylor,00-0036337,4259181.0,ce8b21f7-6f93-40e6-8068-0432e10d855f,32800.0,14499.0,56962.0,LyncJa00,21894.0,6858.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7590mlordqygktn4c3m",,18,REG,R01,James,LYN203895,52538,32004c59-4e20-3895-d596-bf65d3020e46,2020,2020.0,MIN,130.0
2023,MIN,LB,ILB,45.0,RES,Troy Dye,Troy,Dye,1996-09-18,75.0,225,Oregon,00-0036338,4038946.0,f070d4ef-1904-47f2-87d3-b9e2788789ed,32802.0,14740.0,28251.0,DyexTr00,21994.0,6941.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/redig0uzvyuiyeiaf237",,18,REG,R01,Troy,DYE305092,52540,32004459-4530-5092-a5b4-c72f08356d17,2020,2020.0,MIN,132.0
2023,MIN,WR,WR,17.0,ACT,K.J. Osborn,K.J.,Osborn,1997-06-10,71.0,200,Miami,00-0036345,3916566.0,3bf5c049-9daa-43ba-9758-c6c895a9d462,32846.0,14641.0,23503.0,OsboKJ00,21714.0,7066.0,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rbgsvh08nmm29gaiw7pr",WR,18,REG,A01,K.J.,OSB109755,52584,32004f53-4210-9755-4136-372d9f443611,2020,2020.0,MIN,176.0
2023,MIN,OL,G,64.0,ACT,Blake Brandel,Blake,Brandel,1997-01-23,79.0,307,Oregon State,00-0036347,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rldbcwanwnioziutwiid",G,18,REG,A01,Blake,BRA545703,52611,32004252-4154-5703-706f-b393317eb315,2020,2020.0,MIN,203.0
