Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Ryan Ramczyk,#71,T,12.0,785,785,100.0,327.0,458.0,73.5,67.3,73.6,442.0,100.0,4.0,2.0,19.0,25.0,96.7,4 (1),0.0,0.0,0,0,784.0,1.0
Cameron Erving,#77,T,3.0,208,208,100.0,88.0,120.0,49.0,36.3,70.5,116.0,100.0,1.0,0.0,3.0,4.0,97.8,2 (0),0.0,0.0,0,0,208.0,0.0
Lynn Bowden,#05,WR,15.0,326,188,57.7,187.0,1.0,50.3,57.8,65.6,1.0,0.8,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0.0,47.0
Trevor Penning,#70,T,11.0,417,417,100.0,172.0,245.0,53.6,49.0,60.8,234.0,100.0,4.0,3.0,12.0,19.0,95.1,7 (2),405.0,0.0,0,0,0.0,12.0
Taysom Hill,#07,TE,16.0,425,93,21.9,89.0,4.0,75.3,57.3,60.1,4.0,1.6,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0.0,80.0
Tony Jones Jr.,#34,HB,4.0,88,21,23.9,6.0,15.0,64.1,60.2,59.8,14.0,24.1,1.0,0.0,1.0,2.0,89.3,0 (0),0.0,0.0,0,0,0.0,0.0
Erik McCoy,#78,C,17.0,"1,152","1,152",100.0,477.0,675.0,79.4,89.4,59.3,651.0,100.0,4.0,2.0,20.0,26.0,97.7,8 (1),0.0,0.0,"1,152",0,0.0,0.0
Max Garcia,#73,G,12.0,320,319,99.7,135.0,184.0,54.2,55.6,59.2,175.0,99.4,0.0,2.0,6.0,8.0,97.7,3 (0),0.0,249.0,6,19,0.0,46.0
James Hurst,#74,G,15.0,931,931,100.0,392.0,539.0,58.7,56.9,58.9,521.0,100.0,3.0,3.0,16.0,22.0,97.6,4 (1),22.0,820.0,0,89,0.0,0.0
Cesar Ruiz,#51,G,16.0,"1,050","1,050",100.0,447.0,603.0,51.2,46.3,58.3,582.0,100.0,5.0,2.0,20.0,27.0,97.3,2 (0),0.0,0.0,0,"1,036",14.0,0.0
Andrus Peat,#75,T,14.0,809,809,100.0,333.0,476.0,60.2,62.1,54.5,459.0,100.0,2.0,8.0,20.0,30.0,96.5,6 (1),715.0,89.0,0,0,0.0,5.0
Foster Moreau,#87,TE,15.0,549,389,70.9,342.0,47.0,55.3,51.0,52.3,46.0,23.0,0.0,0.0,2.0,2.0,97.8,4 (0),1.0,0.0,0,0,1.0,403.0
Juwan Johnson,#83,TE,13.0,555,236,42.5,209.0,27.0,58.8,40.4,46.8,26.0,7.8,0.0,1.0,1.0,2.0,96.2,5 (2),0.0,0.0,0,0,0.0,263.0
Landon Young,#67,T,11.0,213,212,99.5,106.0,106.0,49.4,51.1,45.9,101.0,99.0,2.0,0.0,3.0,5.0,96.5,1 (0),15.0,0.0,0,0,144.0,54.0
Jamaal Williams,#21,HB,13.0,324,94,29.0,37.0,57.0,59.4,72.9,38.0,54.0,31.0,2.0,2.0,5.0,9.0,89.8,0 (0),0.0,0.0,0,0,0.0,1.0
Adam Prentice,#46,FB,13.0,125,86,68.8,77.0,9.0,38.1,43.1,33.9,9.0,19.6,0.0,0.0,0.0,0.0,100.0,1 (1),0.0,0.0,0,0,0.0,11.0
Nick Saldiveri,#64,G,3.0,18,18,100.0,4.0,14.0,52.1,59.9,32.2,12.0,100.0,0.0,0.0,1.0,1.0,95.8,0 (0),0.0,0.0,0,14,0.0,4.0
Kendre Miller,#25,HB,8.0,112,15,13.4,9.0,6.0,74.1,60.2,27.4,6.0,10.0,0.0,0.0,1.0,1.0,91.7,0 (0),0.0,0.0,0,0,0.0,0.0
Jimmy Graham,#80,TE,13.0,171,94,55.0,91.0,3.0,62.5,50.1,27.0,3.0,3.9,0.0,0.0,0.0,0.0,100.0,1 (0),0.0,0.0,0,0,0.0,105.0
Alvin Kamara,#41,HB,13.0,558,91,16.3,26.0,65.0,74.1,55.7,19.2,61.0,18.5,0.0,3.0,6.0,9.0,92.6,0 (0),0.0,0.0,0,0,0.0,1.0
J.P. Holtz,#84,TE,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0.0,1.0
Nephi Sewell,#45,LB,1.0,3,3,100.0,3.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0.0,0.0
Tommy Kraemer,#62,T,2.0,8,8,100.0,8.0,0.0,48.5,45.5,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,7.0,1.0
Marquez Callaway,#10,WR,3.0,28,15,53.6,15.0,0.0,53.7,55.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0.0,0.0
Khalen Saunders,#99,DI,4.0,16,15,93.8,15.0,0.0,59.2,59.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0.0,0.0
Jameis Winston,#02,QB,7.0,76,19,25.0,19.0,0.0,56.3,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0.0,0,0,0.0,0.0
A.T. Perry,#17,WR,10.0,343,128,37.3,128.0,0.0,61.0,48.3,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0.0,0.0
Keith Kirkwood,#18,WR,13.0,236,151,64.0,151.0,0.0,52.4,46.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0.0,0,0,0.0,17.0
Rashid Shaheed,#22,WR,15.0,604,151,25.0,151.0,0.0,69.0,52.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,3 (0),0.0,0.0,0,0,0.0,0.0
Michael Thomas,#13,WR,10.0,490,157,32.0,157.0,0.0,67.4,60.4,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (1),0.0,0.0,0,0,0.0,0.0
Chris Olave,#12,WR,16.0,814,252,31.0,252.0,0.0,82.5,55.8,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0.0,0,0,0.0,0.0
Derek Carr,#04,QB,17.0,978,346,35.4,346.0,0.0,77.2,61.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,4 (0),0.0,0.0,0,0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
