season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,NO,TE,TE,80.0,ACT,Jimmy Graham,Jimmy,Graham,1986-11-24,79.0,265,Miami,00-0027696,13232.0,fd85786d-3900-4dc0-9b30-334ee30413ed,24070.0,6532.0,5619.0,GrahJi00,11488.0,616.0,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",TE,18,REG,A01,Jimmy,GRA207087,35534,32004752-4120-7087-8983-64184106d580,2010,2010.0,NO,95.0
2023,NO,DL,DE,94.0,ACT,Cameron Jordan,Cameron,Jordan,1989-07-10,76.0,287,California,00-0027962,13971.0,543e5e1e-50e5-482d-a6ad-498d7fab497e,24811.0,7447.0,6176.0,JordCa00,13338.0,957.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jbcyxaoosrmj0pn5ynjb",EDGE,18,REG,A01,Cameron,JOR051224,37097,32004a4f-5205-1224-2417-472af132c281,2011,2011.0,NO,24.0
2023,NO,LB,MLB,56.0,ACT,Demario Davis,Demario,Davis,1989-01-11,74.0,248,Arkansas State,00-0029607,14958.0,e6221da0-1ce0-4f60-85b5-f2094e9d2863,25787.0,8213.0,7079.0,DaviDe00,13810.0,1052.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pxsskmozsywmlwkshhuy",MLB,18,REG,A01,Demario,DAV262404,38607,32004441-5626-2404-80ee-7e2bd72b20d4,2012,2012.0,NYJ,77.0
2023,NO,DB,FS,32.0,ACT,Tyrann Mathieu,Tyrann,Mathieu,1992-05-13,69.0,190,Louisiana State,00-0030459,15851.0,8c8b7d6e-6ed8-4a10-8ae9-b50300bd766b,26692.0,8593.0,7850.0,MathTy00,15226.0,1576.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/raj6flw4d12jyl7ux7jn",SAFETY,18,REG,A01,Tyrann,MAT195206,40017,32004d41-5419-5206-42a6-e6a01bfff75c,2013,2013.0,ARI,69.0
2023,NO,DB,FS,26.0,CUT,Daniel Sorensen,Daniel,Sorensen,1990-03-05,74.0,208,Brigham Young,00-0030665,17259.0,d1e46e40-5e8c-4b5a-ae03-5d0093b98633,28036.0,9680.0,9253.0,,16303.0,2022.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqynbf32igys6zu09szc",,14,REG,P07,Daniel,SOR181831,41502,3200534f-5218-1831-f9bb-352a6148cd51,2014,2014.0,,
2023,NO,OL,T,74.0,ACT,James Hurst,James,Hurst,1991-12-17,77.0,310,North Carolina,00-0030694,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mzpvnvadsssb2qnrhihk",G,18,REG,A01,James,HUR496348,41532,32004855-5249-6348-c3a7-2a2a441b214e,2014,2014.0,,
2023,NO,QB,QB,4.0,ACT,Derek Carr,Derek,Carr,1991-03-28,75.0,210,Fresno State,00-0031280,16757.0,9f026fc0-4449-4dc5-a226-2e2830619381,27564.0,9317.0,8671.0,CarrDe02,16311.0,2028.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cffbp9sqfioxa2jk2oqf",QB,18,REG,A01,Derek,CAR358797,41265,32004341-5235-8797-3b9a-0d2711c0bc27,2014,2014.0,OAK,36.0
2023,NO,OL,G,59.0,RES,Trai Turner,Trai,Turner,1993-06-14,75.0,315,Louisiana State,00-0031362,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/biyfxbbcupee9guctdzw",,18,REG,R01,Trai,TUR715469,41321,32005455-5271-5469-754e-1592b0d0153c,2014,2014.0,CAR,92.0
2023,NO,QB,QB,2.0,ACT,Jameis Winston,Jameis,Winston,1994-01-06,76.0,231,Florida State,00-0031503,2969939.0,fb3b36fc-b985-4807-8199-d038d7e62a93,28389.0,10037.0,9434.0,WinsJa00,16762.0,2306.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eupdyd3zccjeoloqmyfl",QB,18,REG,A01,Jameis,WIN623708,42344,32005749-4e62-3708-9650-e59a3f7bea83,2015,2015.0,TB,1.0
2023,NO,OL,G,73.0,ACT,Max Garcia,Max,Garcia,1991-11-09,76.0,309,Florida,00-0032132,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vtewzccgwdq5gr3qzvnx",TE,18,REG,A01,Max,GAR112389,42476,32004741-5211-2389-dec3-7cff8193581f,2015,2015.0,DEN,133.0
