Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Andrew Thomas,#78,T,10.0,376.0,376.0,100.0,80.2,1 (1),359.0,100.0,4.0,1.0,12.0,17.0,97.1,214.0,214.0,100.0,76.6,208.0,100.0,4.0,0.0,10.0,14.0,95.7
Saquon Barkley,#26,HB,14.0,423.0,100.0,23.6,76.6,0 (0),97.0,24.3,2.0,0.0,4.0,6.0,95.9,201.0,44.0,21.9,77.5,43.0,22.5,0.0,0.0,1.0,1.0,98.8
Isaiah Hodgins,#18,WR,17.0,296.0,4.0,1.4,73.8,1 (1),4.0,1.4,0.0,0.0,0.0,0.0,100.0,144.0,1.0,0.7,62.2,1.0,0.8,0.0,0.0,0.0,0.0,100.0
Jashaun Corbin,#35,HB,1.0,13.0,3.0,23.1,73.3,0 (0),2.0,16.7,0.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Sean Harlow,#65,C,1.0,13.0,13.0,100.0,73.3,0 (0),12.0,100.0,0.0,0.0,1.0,1.0,95.8,10.0,10.0,100.0,71.0,10.0,100.0,0.0,0.0,1.0,1.0,95.0
Lawrence Cager,#83,TE,9.0,63.0,8.0,12.7,72.2,0 (0),7.0,12.5,0.0,0.0,0.0,0.0,100.0,33.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Tyree Jackson,#84,TE,2.0,6.0,1.0,16.7,70.2,0 (0),1.0,16.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Darius Slayton,#86,WR,17.0,584.0,1.0,0.2,68.1,0 (0),1.0,0.2,0.0,0.0,0.0,0.0,100.0,292.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Parris Campbell,#00,WR,10.0,151.0,1.0,0.7,67.1,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,,85.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Tyre Phillips,#79,T,10.0,334.0,334.0,100.0,64.5,1 (0),317.0,100.0,2.0,2.0,17.0,21.0,96.4,185.0,185.0,100.0,62.7,178.0,100.0,2.0,1.0,12.0,15.0,95.2
Matt Breida,#31,HB,17.0,203.0,36.0,17.7,63.3,0 (0),32.0,17.2,0.0,0.0,4.0,4.0,93.7,110.0,19.0,17.3,45.0,16.0,16.2,0.0,0.0,4.0,4.0,87.5
