Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Breece Hall,#20,HB,17.0,255.0,223.0,994.0,4.5,5.0,2.0,82.4,77.8,74.4,57.4,761.0,3.41,46.0,83.0,20.0,125.0,96.0,0.0,0.0,994.0,11.0,402.0,40.4,40.0,0 (0),88.9,53.9,90.0,76.0,591,336.0,1.76,4.0,87.9
Tim Boyle,#07,QB,3.0,33.0,4.0,5.0,1.3,0.0,2.0,64.1,73.5,84.4,60.0,3.0,0.75,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
Israel Abanikanda,#25,HB,6.0,25.0,22.0,70.0,3.2,0.0,0.0,59.0,66.4,29.0,60.0,45.0,2.05,2.0,12.0,2.0,13.0,9.0,0.0,0.0,70.0,0.0,0.0,0.0,3.0,0 (0),41.8,59.0,10.0,7.0,43,47.0,0.91,2.0,14.1
Xavier Gipson,#82,WR,15.0,131.0,8.0,68.0,8.5,1.0,1.0,56.2,62.4,40.1,50.1,32.0,4.0,3.0,18.0,3.0,0.0,1.0,0.0,0.0,68.0,2.0,34.0,50.0,3.0,2 (0),56.5,38.3,36.0,21.0,229,343.0,0.67,1.0,124.1
Garrett Wilson,#17,WR,17.0,294.0,4.0,0.0,0.0,0.0,2.0,72.9,62.0,32.1,56.1,8.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,5 (1),73.5,-,163.0,95.0,"1,042",674.0,1.55,6.0,38.4
Nick Bawden,#48,FB,16.0,71.0,2.0,4.0,2.0,1.0,0.0,50.8,61.8,68.7,50.8,3.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1 (0),55.9,55.3,3.0,3.0,21,35.0,0.6,0.0,0.0
Zach Wilson,#02,QB,12.0,224.0,36.0,211.0,5.9,0.0,11.0,58.2,60.9,30.8,60.2,68.0,1.89,4.0,20.0,8.0,0.0,1.0,25.0,214.0,-3.0,0.0,0.0,0.0,7.0,2 (0),58.4,-,0.0,0.0,0,1.0,0.0,0.0,0.0
Ashtyn Davis,#21,S,3.0,2.0,2.0,3.0,1.5,0.0,0.0,61.3,60.6,65.2,-,3.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0 (0),-,63.8,0.0,0.0,0,0.0,,0.0,0.0
Tyler Conklin,#83,TE,17.0,234.0,1.0,0.0,0.0,0.0,0.0,65.6,60.0,80.5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1 (0),66.9,66.6,83.0,61.0,621,473.0,1.31,1.0,0.0
Michael Carter,#32,HB,9.0,10.0,8.0,38.0,4.8,0.0,0.0,47.9,58.3,76.3,60.0,20.0,2.5,0.0,9.0,0.0,7.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,2 (0),46.2,30.0,19.0,15.0,68,103.0,0.66,2.0,10.9
Dalvin Cook,#33,HB,15.0,75.0,67.0,214.0,3.2,0.0,2.0,54.3,51.5,30.0,60.0,148.0,2.21,12.0,14.0,4.0,35.0,28.0,0.0,0.0,214.0,0.0,0.0,0.0,10.0,0 (0),62.4,61.0,20.0,15.0,78,89.0,0.88,0.0,37.7
Trevor Siemian,#14,QB,5.0,108.0,11.0,40.0,3.6,0.0,5.0,34.9,49.4,31.5,60.6,22.0,2.0,1.0,13.0,1.0,0.0,0.0,6.0,35.0,5.0,0.0,0.0,0.0,5.0,4 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
