Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Jalen Carter,#98,DI,17.0,599,172.0,427.0,0.0,87.4,69.4,51.5,84.6,68.2,50.0,7.0,4.0,39.0,0.0,15.0,12.0,4.0,12.9,13.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (1),599.0,0.0,0.0,0.0,0.0,26.0,336.0,222.0,15.0
Brandon Graham,#55,ED,18.0,427,157.0,248.0,22.0,84.0,72.1,73.4,80.2,69.0,30.0,5.0,2.0,23.0,0.0,14.0,1.0,1.0,6.3,13.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,1 (0),417.0,3.0,0.0,6.0,1.0,8.0,15.0,30.0,364.0
Tristin McCollum,#36,S,1.0,29,10.0,0.0,19.0,76.6,78.9,82.7,-,65.7,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,50.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,56.3,0 (0),0.0,10.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
Fletcher Cox,#91,DI,16.0,721,211.0,510.0,0.0,76.5,68.8,70.8,72.2,67.0,49.0,8.0,13.0,28.0,2.0,23.0,5.0,2.0,6.7,18.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),721.0,0.0,0.0,0.0,0.0,36.0,355.0,293.0,37.0
Reed Blankenship,#32,S,15.0,942,316.0,9.0,617.0,73.4,61.2,70.7,59.2,78.0,2.0,0.0,2.0,0.0,0.0,80.0,26.0,12.0,10.2,19.0,0.0,50.0,35.0,70.0,367.0,10.5,139.0,69.0,6.0,3.0,6.0,105.6,1 (0),10.0,149.0,682.0,94.0,7.0,0.0,0.0,0.0,10.0
Haason Reddick,#07,ED,18.0,910,275.0,587.0,48.0,73.0,63.7,54.4,73.9,51.6,68.0,13.0,13.0,42.0,0.0,21.0,7.0,7.0,20.0,24.0,1.0,8.0,6.0,75.0,57.0,9.5,25.0,18.0,0.0,0.0,0.0,94.3,2 (0),886.0,12.0,0.0,12.0,0.0,0.0,2.0,1.0,883.0
Kevin Byard,#31,S,11.0,798,292.0,12.0,494.0,72.0,78.7,77.8,59.7,68.5,5.0,0.0,0.0,5.0,1.0,56.0,22.0,6.0,7.1,10.0,0.0,38.0,32.0,84.2,321.0,10.0,125.0,40.0,2.0,1.0,1.0,108.4,3 (2),9.0,249.0,380.0,147.0,13.0,0.0,0.0,0.0,9.0
Jordan Davis,#90,DI,18.0,561,257.0,304.0,0.0,70.9,63.4,39.1,66.5,70.3,18.0,4.0,1.0,13.0,1.0,27.0,17.0,5.0,10.2,24.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),560.0,1.0,0.0,0.0,0.0,255.0,301.0,4.0,0.0
Milton Williams,#93,DI,17.0,522,200.0,322.0,0.0,70.4,69.8,41.7,62.0,66.8,25.0,2.0,9.0,14.0,0.0,31.0,8.0,5.0,11.4,26.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.0,0.0,1 (0),522.0,0.0,0.0,0.0,0.0,3.0,253.0,241.0,25.0
Ben VanSumeren,#57,LB,2.0,50,29.0,0.0,21.0,69.5,63.0,81.7,-,69.7,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,3.0,1.5,7.0,5.0,0.0,0.0,0.0,79.2,0 (0),2.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
