player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Sam Darnold,2023,1,4.5,4.5,3.5,0.02,5.112544,5.112544,3.976423,00-0034869,2023,SF,QB,QB,14.0,1997-06-05,NYJ,3.0,26.0
Brandon Allen,2023,1,1.2325,1.2325,0.2,0.005,1.400269,1.400269,0.227224,00-0032434,2023,SF,QB,QB,17.0,1992-09-05,JAX,201.0,31.0
Brock Purdy,2022,4,3.737012,0.934253,0.077012,0.004,4.584212,1.146053,0.094471,00-0037834,2023,SF,QB,QB,13.0,1999-12-27,SF,262.0,24.0
Christian McCaffrey,2020,4,64.063412,16.015853,36.346412,0.081,82.551945,20.637986,46.835891,00-0033280,2023,SF,RB,RB,23.0,1996-06-07,CAR,8.0,27.0
Tyrion Davis-Price,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037827,2023,SF,RB,RB,32.0,2000-10-23,SF,93.0,23.0
Brian Hill,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033567,2023,SF,RB,RB,36.0,1995-11-09,ATL,156.0,28.0
Elijah Mitchell,2021,4,3.663572,0.915893,0.183572,0.005,5.126993,1.281748,0.2569,00-0036567,2023,SF,RB,RB,25.0,1998-05-02,SF,194.0,25.0
Jeremy McNichols,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033955,2023,SF,RB,RB,36.0,1995-12-26,TB,162.0,28.0
Jordan Mason,2022,3,2.56,0.853333,0.04,0.004,3.140365,1.046788,0.049068,00-0037525,2023,SF,RB,RB,24.0,1999-05-24,,,24.0
Kyle Juszczyk,2021,5,27.0,5.4,9.6,0.03,37.785205,7.557041,13.43474,00-0029892,2023,SF,RB,FB,44.0,1991-04-23,BAL,130.0,33.0
Deebo Samuel,2022,3,71.55,23.85,58.167,0.115,87.770749,29.256916,71.353755,00-0035719,2023,SF,WR,WR,19.0,1996-01-15,SF,36.0,28.0
Brandon Aiyuk,2020,4,12.53135,3.132838,12.53135,0.016,16.147865,4.036967,16.147865,00-0036261,2023,SF,WR,WR,11.0,1998-03-17,SF,25.0,26.0
Chris Conley,2023,1,1.3175,1.3175,0.4,0.006,1.496839,1.496839,0.454448,00-0032128,2023,SF,WR,WR,84.0,1992-10-25,KC,76.0,31.0
Ray-Ray McCloud,2022,2,4.0,2.0,3.615,0.01,4.90682,2.45341,4.434539,00-0034407,2023,SF,WR,WR,3.0,1996-10-15,BUF,187.0,27.0
Willie Snead,2023,1,1.3175,1.3175,0.275,0.006,1.496839,1.496839,0.312433,00-0030663,2023,SF,WR,WR,83.0,1992-10-17,,,31.0
Danny Gray,2022,4,5.044904,1.261226,0.84902,0.006,6.188609,1.547152,1.041497,00-0037828,2023,SF,WR,WR,6.0,1999-04-01,SF,105.0,25.0
Ronnie Bell,2023,4,3.917784,0.979446,0.077784,0.004,4.451077,1.112769,0.088372,00-0038647,2023,SF,WR,WR,10.0,2000-01-28,SF,253.0,24.0
Jauan Jennings,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036259,2023,SF,WR,WR,15.0,1997-07-10,SF,217.0,26.0
Tay Martin,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037524,2023,SF,WR,WR,86.0,1997-12-14,,,26.0
Isaiah Winstead,2023,3,2.696,0.898667,0.001,0.004,3.062982,1.020994,0.001136,00-0038883,2023,SF,WR,WR,2.0,1999-08-09,,,24.0
George Kittle,2020,5,75.0,15.0,40.0,0.076,96.644803,19.328961,51.543895,00-0033288,2023,SF,TE,TE,85.0,1993-10-09,SF,146.0,30.0
Ross Dwelley,2023,1,1.7,1.7,0.7,0.008,1.931406,1.931406,0.795285,00-0034073,2023,SF,TE,TE,82.0,1995-01-26,,,29.0
Cameron Latu,2023,4,5.304082,1.326021,0.857512,0.006,6.026079,1.50652,0.974237,00-0038564,2023,SF,TE,TE,81.0,2000-02-24,SF,101.0,24.0
Charlie Woerner,2020,4,3.476032,0.869008,0.181032,0.004,4.479206,1.119801,0.233277,00-0036429,2023,SF,TE,TE,89.0,1997-10-16,SF,190.0,26.0
Brayden Willis,2023,4,3.9199,0.979975,0.0799,0.004,4.453481,1.11337,0.090776,00-0038643,2023,SF,TE,TE,9.0,1999-11-11,SF,247.0,24.0
Jake Tonges,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0037112,2023,SF,TE,TE,81.0,1999-07-08,,,24.0
Trent Williams,2021,6,138.06,23.01,45.1,0.126,193.208351,32.201392,63.115288,00-0027857,2023,SF,OL,T,71.0,1988-07-19,WAS,4.0,35.0
Matt Pryor,2023,1,1.13,1.13,0.0,0.005,1.283817,1.283817,0.0,00-0034417,2023,SF,OL,T,75.0,1994-12-16,PHI,206.0,29.0
Colton McKivitz,2023,2,4.56,2.28,2.87,0.01,5.180712,2.590356,3.260667,00-0036256,2023,SF,OL,T,68.0,1996-08-09,SF,153.0,27.0
Jaylon Moore,2021,4,3.803036,0.950759,0.323036,0.005,5.322167,1.330542,0.452073,00-0036557,2023,SF,OL,T,76.0,1998-01-09,SF,155.0,26.0
Sebastian Gutierrez,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0037381,2023,SF,OL,T,60.0,1998-07-06,,,25.0
Isaac Alarcon,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0036448,2023,SF,OL,T,60.0,1998-07-27,,,25.0
Jon Feliciano,2023,1,2.25,2.25,2.25,0.01,2.556272,2.556272,2.556272,00-0032151,2023,SF,OL,C,55.0,1992-02-10,OAK,128.0,32.0
Aaron Banks,2021,4,7.073608,1.768402,4.145968,0.01,9.899175,2.474794,5.802083,00-0036551,2023,SF,OL,G,65.0,1997-09-03,SF,48.0,26.0
Ben Bartch,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036272,2023,SF,OL,G,78.0,1998-07-22,JAX,116.0,25.0
Nick Zakelj,2022,4,3.85036,0.96259,0.19036,0.005,4.723256,1.180814,0.233516,00-0037831,2023,SF,OL,G,63.0,1999-06-22,SF,187.0,24.0
Jake Brendel,2023,4,16.5,4.125,8.0,0.018,18.745996,4.686499,9.088968,00-0032701,2023,SF,OL,C,64.0,1992-09-10,,,31.0
Spencer Burford,2022,4,4.332056,1.083014,0.672056,0.005,5.314155,1.328539,0.824415,00-0037829,2023,SF,OL,G,74.0,2000-07-19,SF,134.0,23.0
Jesse Davis,2023,1,0.3708,0.3708,0.0,0.002,0.421274,0.421274,0.0,00-0031893,2023,SF,OL,T,66.0,1991-09-15,,,32.0
Corey Luciano,2023,3,2.7,0.9,0.01,0.004,3.067527,1.022509,0.011361,00-0038879,2023,SF,OL,C,61.0,1998-08-14,,,25.0
Javon Hargrave,2023,4,84.0,21.0,40.0,0.093,95.434164,23.858541,45.44484,00-0033109,2023,SF,DL,DT,98.0,1993-02-07,PIT,89.0,31.0
Arik Armstead,2020,5,85.0,17.0,45.85,0.086,109.530777,21.906155,59.08219,00-0032164,2023,SF,DL,DT,91.0,1993-11-15,SF,17.0,30.0
Sebastian Joseph-Day,2023,1,2.7,2.7,0.0,0.012,3.067527,3.067527,0.0,00-0034810,2023,SF,DL,DT,69.0,1995-03-21,LA,195.0,29.0
Javon Kinlaw,2020,4,15.4887,3.872175,15.4887,0.02,19.958698,4.989675,19.958698,00-0036260,2023,SF,DL,DT,99.0,1997-10-03,SF,14.0,26.0
Kevin Givens,2023,1,2.0,2.0,2.0,0.009,2.272242,2.272242,2.272242,00-0035026,2023,SF,DL,DT,90.0,1997-03-01,,,27.0
Taylor Stallworth,2023,1,1.2325,1.2325,0.3525,0.005,1.400269,1.400269,0.400483,00-0034325,2023,SF,DL,DT,97.0,1995-08-18,,,28.0
T.Y. McGill,2023,1,1.165,1.165,0.4,0.005,1.323581,1.323581,0.454448,00-0032162,2023,SF,DL,DT,96.0,1992-11-23,,,31.0
Austin Bryant,2023,1,1.105,1.105,0.55,0.005,1.255414,1.255414,0.624867,00-0035531,2023,SF,DL,DE,41.0,1996-11-12,DET,117.0,27.0
Kalia Davis,2022,4,3.792012,0.948003,0.132012,0.005,4.65168,1.16292,0.16194,00-0037832,2023,SF,DL,DT,93.0,1998-10-02,SF,220.0,25.0
Breeland Speaks,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0034774,2023,SF,DL,DE,66.0,1995-12-18,KC,46.0,28.0
Spencer Waege,2023,3,2.705,0.901667,0.05,0.004,3.073207,1.024403,0.056806,00-0038882,2023,SF,DL,DE,69.0,1999-05-06,,,24.0
Nick Bosa,2023,5,170.0,34.0,122.5,0.151,193.140569,38.628114,139.174822,00-0035717,2023,SF,DL,DE,97.0,1997-10-23,SF,2.0,26.0
