season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,SEA,OL,T,70.0,INA,Jason Peters,Jason,Peters,1982-01-22,76.0,328,Arkansas,00-0022531,6012.0,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122.0,3874.0,2148.0,,8920.0,412.0,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",,18,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004.0,,
2023,SEA,LB,ILB,44.0,ACT,Nick Bellore,Nick,Bellore,1989-05-12,73.0,250,Central Michigan,00-0028292,14471.0,eeb9e3f4-e378-44ca-94b6-a724011ad710,25295.0,7504.0,6515.0,,12787.0,815.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nnmgkhi5d5xszkoyh4br",SLOT_CB,18,REG,A01,Nick,BEL740458,37792,32004245-4c74-0458-f160-9cf6a1a7b60c,2011,2011.0,,
2023,SEA,LB,ILB,54.0,ACT,Bobby Wagner,Bobby,Wagner,1990-06-27,72.0,242,Utah State,00-0029255,14979.0,706bc0ab-7200-47e9-9b09-726110eb83dc,25757.0,8208.0,7050.0,WagnBo00,14534.0,1233.0,11,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mtxpmazsd0exiwzn2tne",MLB,18,REG,A01,Bobby,WAG236381,38577,32005741-4723-6381-ac85-fd0b1d975c90,2012,2012.0,SEA,47.0
2023,SEA,QB,QB,7.0,ACT,Geno Smith,Eugene,Smith,1990-10-10,75.0,221,West Virginia,00-0030565,15864.0,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,26662.0,8743.0,7820.0,SmitGe00,14895.0,1373.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxp32udtvwnpu3rl2cht",QB,18,REG,A01,Geno,SMI269700,39987,3200534d-4926-9700-a278-7821d73d1c6a,2013,2013.0,NYJ,39.0
2023,SEA,K,K,5.0,ACT,Jason Myers,Jason,Myers,1991-05-12,70.0,190,Marist,00-0031492,2473037.0,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,28378.0,10157.0,,,17215.0,2747.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/stwynn6h56nuzznkiaqh",,18,REG,A01,Jason,MYE407253,41175,32004d59-4540-7253-949f-65e474226c01,2015,2015.0,,
2023,SEA,DB,FS,6.0,ACT,Quandre Diggs,Quandre,Diggs,1993-01-22,69.0,197,Texas,00-0031608,2577553.0,8092ffd3-3f39-43eb-a602-b14fff77d413,28588.0,10433.0,9633.0,DiggQu00,16960.0,2501.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mss6qdobrthhkns28avb",SAFETY,18,REG,A01,Quandre,DIG202845,42543,32004449-4720-2845-f69e-20106499f6f6,2015,2015.0,DET,200.0
2023,SEA,DL,DT,99.0,ACT,Leonard Williams,Leonard,Williams,1994-06-20,77.0,302,Southern California,00-0031933,2971622.0,2b5152aa-cbcc-439c-b72a-ac7577c8422b,28394.0,10307.0,9439.0,WillLe02,16767.0,2311.0,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j9yrlxnwf68mxethz6sc",INTERIOR_LINE,18,REG,A01,Leonard,WIL426411,42349,32005749-4c42-6411-1ceb-16f4ceb749d0,2015,2015.0,NYJ,6.0
2023,SEA,LB,OLB,57.0,TRC,Frank Clark,Frank,Clark,1993-06-14,75.0,260,Michigan,00-0032210,2576242.0,490c15eb-accc-4441-be7d-c7114e1e42fc,28451.0,10322.0,9496.0,ClarFr01,16824.0,2368.0,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/imq9tljiopwvcfrsxwbh",,18,REG,W03,Frank,CLA296952,42406,3200434c-4129-6952-efff-0405ba414afc,2015,2015.0,SEA,63.0
2023,SEA,WR,WR,16.0,ACT,Tyler Lockett,Tyler,Lockett,1992-09-28,70.0,182,Kansas State,00-0032211,2577327.0,dffa69ad-331e-4f09-ae38-40a5a4406be6,28457.0,10161.0,9502.0,LockTy00,16830.0,2374.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f9wttnkcqc2scahf9oth",WR,18,REG,A01,Tyler,LOC420915,42412,32004c4f-4342-0915-1af7-ec50f437887c,2015,2015.0,SEA,69.0
2023,SEA,QB,QB,15.0,DEV,Sean Mannion,Sean,Mannion,1992-04-25,78.0,231,Oregon State,00-0032245,2517017.0,91ead748-e3b0-4926-bd3b-3e327b44e6bc,28477.0,10176.0,9522.0,MannSe00,16850.0,2394.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lcuc7hhiijmt8xtitm77",,18,REG,P07,Sean,MAN548238,42432,32004d41-4e54-8238-75bc-0c066cdf649e,2015,2015.0,STL,89.0
