"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","TB",1,"00-0038823","S","Kaevon Merriweather","Kaevon","Merriweather",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-09-08 18:41:45
2023,"REG","TB",1,"00-0035254","LB","Anthony Nelson","Anthony","Nelson",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-08 18:42:08
2023,"REG","TB",1,"00-0036450","RB","Ke'Shawn Vaughn","Ke'Shawn","Vaughn",NA,NA,NA,"Not injury related - personal matter",NA,"Full Participation in Practice",2023-09-08 18:41:45
2023,"REG","TB",1,"00-0036411","S","Antoine Winfield","Antoine","Winfield",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-08 18:41:45
2023,"REG","TB",1,"00-0039157","G","Cody Mauch","Cody","Mauch","Back",NA,"Questionable","Back",NA,"Did Not Participate In Practice",2023-09-08 18:42:16
2023,"REG","TB",1,"00-0039063","DT","Calijah Kancey","Calijah","Kancey","Calf",NA,"Questionable","Calf",NA,"Full Participation in Practice",2023-09-08 18:42:16
2023,"REG","TB",2,"00-0029562","LB","Lavonte David","Lavonte","David",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-15 17:55:47
2023,"REG","TB",2,"00-0031408","WR","Mike Evans","Mike","Evans",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-15 17:55:29
2023,"REG","TB",2,"00-0034855","QB","Baker Mayfield","Baker","Mayfield",NA,NA,NA,"right Shoulder",NA,"Full Participation in Practice",2023-09-15 17:54:45
2023,"REG","TB",2,"00-0034778","CB","Carlton Davis","Carlton","Davis","Toe",NA,"Out","Toe",NA,"Did Not Participate In Practice",2023-09-15 17:55:56
2023,"REG","TB",2,"00-0039049","LB","SirVocea Dennis","SirVocea","Dennis","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-15 17:56:02
2023,"REG","TB",2,"00-0039063","DT","Calijah Kancey","Calijah","Kancey","Calf",NA,"Out","Calf",NA,"Did Not Participate In Practice",2023-09-15 17:56:12
2023,"REG","TB",2,"00-0038820","S","Christian Izien","Christian","Izien","Concussion",NA,"Questionable","Concussion",NA,"Full Participation in Practice",2023-09-15 17:55:49
2023,"REG","TB",3,"00-0029562","LB","Lavonte David","Lavonte","David",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-23 19:46:27
2023,"REG","TB",3,"00-0031408","WR","Mike Evans","Mike","Evans",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-23 19:46:55
2023,"REG","TB",3,"00-0034527","S","Ryan Neal","Ryan","Neal",NA,NA,NA,"Ribs","Knee","Full Participation in Practice",2023-09-23 19:44:48
2023,"REG","TB",3,"00-0039049","LB","SirVocea Dennis","SirVocea","Dennis","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-23 19:47:58
2023,"REG","TB",3,"00-0039063","DT","Calijah Kancey","Calijah","Kancey","Calf",NA,"Out","Calf",NA,"Did Not Participate In Practice",2023-09-23 19:48:23
2023,"REG","TB",3,"00-0039157","G","Cody Mauch","Cody","Mauch","Back",NA,"Questionable","Back",NA,"Full Participation in Practice",2023-09-23 19:47:01
2023,"REG","TB",3,"00-0034778","CB","Carlton Davis","Carlton","Davis","Toe",NA,"Questionable","Toe",NA,"Limited Participation in Practice",2023-09-23 19:47:01
2023,"REG","TB",3,"00-0034773","DT","Vita Vea","Vita","Vea","Pectoral",NA,"Questionable","Pectoral",NA,"Limited Participation in Practice",2023-09-23 19:47:01
2023,"REG","TB",3,"00-0035707","LB","Devin White","Devin","White","Groin",NA,"Questionable","Groin",NA,"Limited Participation in Practice",2023-09-23 19:47:01
2023,"REG","TB",4,"00-0035699","CB","Jamel Dean","Jamel","Dean","Neck","Shoulder","Out","Neck","Shoulder","Did Not Participate In Practice",2023-09-29 19:21:11
2023,"REG","TB",4,"00-0039049","LB","SirVocea Dennis","SirVocea","Dennis","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 19:21:17
2023,"REG","TB",4,"00-0039063","DT","Calijah Kancey","Calijah","Kancey","Calf",NA,"Out","Calf",NA,"Did Not Participate In Practice",2023-09-29 19:21:23
2023,"REG","TB",4,"00-0038827","CB","Derrek Pitts","Derrek","Pitts","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 19:21:27
2023,"REG","TB",4,"00-0034778","CB","Carlton Davis","Carlton","Davis","Toe",NA,"Questionable","Toe",NA,"Limited Participation in Practice",2023-09-29 19:21:05
2023,"REG","TB",4,"00-0034773","DT","Vita Vea","Vita","Vea","Pectoral",NA,"Questionable","Pectoral",NA,"Limited Participation in Practice",2023-09-29 19:21:05
2023,"REG","TB",4,"00-0035707","LB","Devin White","Devin","White","Foot",NA,"Questionable","Foot",NA,"Limited Participation in Practice",2023-09-29 19:21:05
2023,"REG","TB",6,"00-0029562","LB","Lavonte David","Lavonte","David",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-13 19:35:29
2023,"REG","TB",6,"00-0035699","CB","Jamel Dean","Jamel","Dean",NA,NA,NA,"Neck","Shoulder","Full Participation in Practice",2023-10-13 19:34:54
