"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","TEN",1,"00-0037742","WR","Treylon Burks","Treylon","Burks",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 19:03:44
2023,"REG","TEN",1,"00-0030564","WR","DeAndre Hopkins","DeAndre","Hopkins",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-08 19:04:03
2023,"REG","TEN",1,"00-0034825","LB","Arden Key","Arden","Key",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-08 19:03:44
2023,"REG","TEN",1,"00-0039152","QB","Will Levis","Will","Levis",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-09-08 19:03:44
2023,"REG","TEN",1,"00-0035259","TE","Trevon Wesco","Trevon","Wesco",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-08 19:04:24
2023,"REG","TEN",1,"00-0037593","CB","Tre Avery","Tre","Avery","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-08 19:04:45
2023,"REG","TEN",1,"00-0034828","LB","Harold Landry","Harold","Landry","Abdomen",NA,"Questionable","Abdomen",NA,"Full Participation in Practice",2023-09-08 19:04:37
2023,"REG","TEN",1,"00-0036619","T","Dillon Radunz","Dillon","Radunz","Knee",NA,"Questionable","Knee",NA,"Full Participation in Practice",2023-09-08 19:04:37
2023,"REG","TEN",2,"00-0037593","CB","Tre Avery","Tre","Avery",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-15 19:49:26
2023,"REG","TEN",2,"00-0037742","WR","Treylon Burks","Treylon","Burks",NA,NA,NA,"Not injury related - personal matter",NA,"Full Participation in Practice",2023-09-15 19:49:26
2023,"REG","TEN",2,"00-0036619","T","Dillon Radunz","Dillon","Radunz",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:49:26
2023,"REG","TEN",2,"00-0039032","RB","Tyjae Spears","Tyjae","Spears",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-09-15 19:49:26
2023,"REG","TEN",2,"00-0036181","DT","Teair Tart","Teair","Tart",NA,NA,NA,"Groin","Knee","Full Participation in Practice",2023-09-15 19:50:02
2023,"REG","TEN",2,"00-0035632","S","Amani Hooker","Amani","Hooker","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-15 19:51:02
2023,"REG","TEN",2,"00-0036416","CB","Kristian Fulton","Kristian","Fulton","Hamstring",NA,"Out","Hamstring",NA,"Limited Participation in Practice",2023-09-15 19:50:54
2023,"REG","TEN",2,"00-0030564","WR","DeAndre Hopkins","DeAndre","Hopkins","Ankle",NA,"Questionable","Ankle",NA,"Did Not Participate In Practice",2023-09-15 19:50:41
