player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Joe Burrow,2023,5,275.0,55.0,219.01,0.245,312.433274,62.486655,248.821859,00-0036442,2023,CIN,QB,QB,9.0,1996-12-10,CIN,1.0,27.0
Aaron Rodgers,2023,3,112.5,37.5,75.0,0.167,127.813612,42.604537,85.209075,00-0023459,2023,NYJ,QB,QB,8.0,1983-12-02,GB,24.0,40.0
Josh Allen,2021,6,258.0,43.0,150.0,0.236,361.05863,60.176438,209.917808,00-0034857,2023,BUF,QB,QB,17.0,1996-05-21,BUF,7.0,27.0
Russell Wilson,2022,5,245.0,49.0,165.0,0.235,300.542747,60.108549,202.40634,00-0029263,2023,DEN,QB,QB,3.0,1988-11-29,SEA,75.0,35.0
Justin Herbert,2023,5,262.5,52.5,193.738375,0.234,298.231762,59.646352,220.110236,00-0036355,2023,LAC,QB,QB,10.0,1998-03-10,LAC,6.0,26.0
Lamar Jackson,2023,5,260.0,52.0,185.0,0.231,295.391459,59.078292,210.182384,00-0034796,2023,BAL,QB,QB,8.0,1997-01-07,BAL,32.0,27.0
Patrick Mahomes,2020,10,450.0,45.0,141.0,0.227,579.868819,57.986882,181.69223,00-0033873,2023,KC,QB,QB,15.0,1995-09-17,KC,10.0,28.0
Jalen Hurts,2023,5,255.0,51.0,179.304,0.227,289.710854,57.942171,203.711039,00-0036389,2023,PHI,QB,QB,1.0,1998-08-07,PHI,53.0,25.0
Kyler Murray,2022,5,230.5,46.1,160.0,0.221,282.755524,56.551105,196.272815,00-0035228,2023,ARI,QB,QB,1.0,1997-08-07,ARI,1.0,26.0
Deshaun Watson,2022,5,230.0,46.0,230.0,0.221,282.142171,56.428434,282.142171,00-0033537,2023,CLE,QB,QB,4.0,1995-09-14,HOU,12.0,28.0
Dak Prescott,2021,4,160.0,40.0,126.0,0.219,223.912329,55.978082,176.330959,00-0033077,2023,DAL,QB,QB,4.0,1993-07-29,DAL,135.0,30.0
Derek Carr,2023,4,150.0,37.5,100.0,0.167,170.418149,42.604537,113.6121,00-0031280,2023,NO,QB,QB,4.0,1991-03-28,OAK,36.0,33.0
Matt Stafford,2022,4,160.0,40.0,135.0,0.192,196.272815,49.068204,165.605187,00-0026498,2023,LA,QB,QB,9.0,1988-02-07,DET,1.0,36.0
