OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Michael Carter,#22,HB,6.0,82,8,9.8,4.0,4.0,76.6,60.0,80.7,3.0,5.9,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0,0.0
2.0,Damien Williams,#29,HB,3.0,28,7,25.0,4.0,3.0,72.7,59.4,80.2,3.0,23.1,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0,0.0
3.0,Emari Demercado,#31,HB,14.0,294,63,21.4,16.0,47.0,73.4,40.7,74.7,45.0,21.6,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0,0.0
4.0,Jesse Luketa,#43,ED,6.0,10,10,100.0,8.0,2.0,49.5,46.7,74.0,2.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0,0.0
5.0,Will Hernandez,#76,G,17.0,"1,109","1,109",100.0,438.0,671.0,66.2,60.6,70.2,621.0,100.0,4.0,6.0,19.0,29.0,97.3,1 (0),0.0,0.0,0,"1,109",0,0.0
6.0,Trystan Colon,#63,G,11.0,322,322,100.0,122.0,200.0,59.6,55.5,69.2,181.0,100.0,2.0,1.0,6.0,9.0,97.0,1 (1),0.0,315.0,7,0,0,0.0
7.0,Aaron Brewer,#46,LS,3.0,3,3,100.0,2.0,1.0,60.0,60.0,68.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,1,0,0,0.0
8.0,Dennis Gardeck,#45,ED,3.0,3,3,100.0,2.0,1.0,60.0,60.0,68.6,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),1.0,0.0,0,0,0,0.0
9.0,Elijah Higgins,#84,TE,11.0,191,92,48.2,91.0,1.0,63.6,51.1,68.4,1.0,1.1,0.0,0.0,0.0,0.0,100.0,2 (0),0.0,0.0,0,0,1,107.0
9.0,D.J. Humphries,#74,T,15.0,922,922,100.0,354.0,568.0,62.5,56.5,68.4,525.0,100.0,4.0,5.0,19.0,28.0,97.0,9 (0),920.0,0.0,0,0,0,2.0
11.0,Michael Wilson,#14,WR,13.0,710,267,37.6,266.0,1.0,68.3,62.2,68.1,1.0,0.2,0.0,0.0,0.0,0.0,100.0,3 (1),0.0,0.0,0,0,0,0.0
