OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Tyler Allgeier,#25,HB,17.0,146.0,32.0,21.9,90.3,0 (0),30.0,21.7,0.0,0.0,0.0,0.0,100.0,23.0,7.0,30.4,84.0,7.0,30.4,0.0,0.0,0.0,0.0,100.0
2.0,Jake Matthews,#70,T,17.0,596.0,596.0,100.0,80.1,2 (1),567.0,100.0,5.0,5.0,17.0,27.0,97.2,220.0,220.0,100.0,68.6,212.0,100.0,4.0,3.0,11.0,18.0,94.8
3.0,Kyle Hinton,#68,G,3.0,28.0,28.0,100.0,79.2,0 (0),27.0,100.0,0.0,0.0,0.0,0.0,100.0,4.0,4.0,100.0,54.4,4.0,100.0,0.0,0.0,0.0,0.0,100.0
4.0,Chris Lindstrom,#63,G,16.0,606.0,606.0,100.0,78.6,2 (2),574.0,100.0,3.0,2.0,10.0,15.0,98.4,224.0,224.0,100.0,74.9,214.0,100.0,2.0,1.0,7.0,10.0,97.2
5.0,Cordarrelle Patterson,#84,HB,14.0,92.0,3.0,3.3,78.3,0 (0),3.0,3.4,0.0,0.0,0.0,0.0,100.0,27.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,Kyle Pitts,#08,TE,17.0,496.0,10.0,2.0,77.6,2 (2),8.0,1.7,0.0,0.0,0.0,0.0,100.0,207.0,1.0,0.5,71.6,1.0,0.5,0.0,0.0,0.0,0.0,100.0
7.0,Jonnu Smith,#81,TE,17.0,439.0,44.0,10.0,75.4,2 (1),41.0,9.9,0.0,0.0,3.0,3.0,96.3,168.0,4.0,2.4,79.2,4.0,2.5,0.0,0.0,0.0,0.0,100.0
8.0,Tyler Vrabel,#73,T,1.0,37.0,37.0,100.0,71.6,0 (0),33.0,100.0,0.0,0.0,0.0,0.0,100.0,8.0,8.0,100.0,50.9,6.0,100.0,0.0,0.0,0.0,0.0,100.0
9.0,Parker Hesse,#46,TE,2.0,6.0,2.0,33.3,70.9,0 (0),2.0,33.3,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,Kaleb McGary,#76,T,14.0,479.0,478.0,99.8,69.5,1 (0),455.0,99.8,4.0,4.0,9.0,17.0,97.7,180.0,180.0,100.0,69.3,172.0,100.0,3.0,3.0,6.0,12.0,95.6
11.0,Storm Norton,#77,T,5.0,154.0,153.0,99.4,69.3,0 (0),143.0,99.3,1.0,0.0,5.0,6.0,97.6,48.0,48.0,100.0,58.4,46.0,100.0,1.0,0.0,4.0,5.0,93.5
12.0,KhaDarel Hodge,#12,WR,17.0,191.0,1.0,0.5,68.1,0 (0),1.0,0.6,0.0,0.0,0.0,0.0,100.0,67.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,Mack Hollins,#18,WR,13.0,168.0,1.0,0.6,66.1,0 (0),1.0,0.6,0.0,0.0,0.0,0.0,100.0,65.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
