Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
John FitzPatrick,#87,TE,8.0,83.0,40.0,5.0,4.0,34.0,0.0,0.0,84.0,-,-,-,0 (0),3.0,0.0,0.0
Jessie Bates III,#03,S,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,74.1,-,-,-,0 (0),0.0,0.0,0.0
KhaDarel Hodge,#12,WR,17.0,286.0,78.0,79.0,70.0,59.0,0.0,0.0,74.0,-,-,-,0 (0),3.0,2.0,0.0
Mack Hollins,#18,WR,12.0,135.0,38.0,36.0,23.0,38.0,0.0,0.0,72.0,-,-,-,0 (0),3.0,0.0,1.0
DeAngelo Malone,#51,ED,17.0,363.0,91.0,79.0,77.0,41.0,75.0,0.0,71.5,-,-,-,0 (0),4.0,1.0,1.0
Keith Smith,#40,FB,13.0,219.0,57.0,53.0,50.0,59.0,0.0,0.0,69.3,59.9,-,-,0 (0),4.0,4.0,1.0
Arnold Ebiketie,#17,ED,12.0,53.0,5.0,23.0,23.0,0.0,2.0,0.0,66.6,-,-,-,0 (0),0.0,0.0,0.0
Tucker Fisk,#43,TE,6.0,84.0,34.0,22.0,17.0,11.0,0.0,0.0,65.5,-,-,-,0 (0),1.0,0.0,0.0
Chris Lindstrom,#63,G,12.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,64.0,-,-,-,0 (0),0.0,0.0,0.0
Bradley Pinion,#13,P,17.0,220.0,0.0,79.0,0.0,75.0,0.0,66.0,63.4,84.1,88.3,-,0 (0),0.0,0.0,1.0
Kaleb McGary,#76,T,13.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Jake Matthews,#70,T,17.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Ryan Neuzil,#64,C,17.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,63.0,-,-,-,0 (0),0.0,0.0,0.0
Troy Andersen,#44,LB,2.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,62.9,-,-,-,0 (0),0.0,0.0,0.0
Kyle Hinton,#68,G,16.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,62.8,-,-,-,0 (0),0.0,0.0,0.0
Bud Dupree,#48,ED,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,62.6,-,-,-,0 (0),0.0,0.0,0.0
Storm Norton,#77,T,14.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,62.5,-,-,-,0 (0),0.0,0.0,0.0
Godwin Igwebuike,#42,HB,2.0,14.0,3.0,11.0,0.0,0.0,0.0,0.0,62.2,58.8,-,-,0 (0),0.0,0.0,0.0
Matthew Bergeron,#65,G,17.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
MyCole Pruitt,#85,TE,17.0,122.0,85.0,0.0,0.0,4.0,0.0,33.0,61.9,-,-,-,0 (0),0.0,0.0,1.0
Liam McCullough,#49,LS,17.0,141.0,0.0,0.0,0.0,75.0,0.0,66.0,61.8,-,-,-,1 (0),2.0,0.0,1.0
Mike Hughes,#21,CB,10.0,72.0,12.0,25.0,34.0,0.0,1.0,0.0,61.6,56.8,66.6,-,0 (0),0.0,0.0,0.0
Lorenzo Carter,#00,ED,17.0,153.0,0.0,79.0,36.0,35.0,3.0,0.0,61.5,-,-,-,0 (0),0.0,0.0,1.0
Zach Harrison,#96,ED,15.0,106.0,23.0,0.0,63.0,0.0,20.0,0.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
DeMarcco Hellams,#37,S,15.0,220.0,43.0,59.0,49.0,62.0,7.0,0.0,61.0,-,-,-,2 (1),5.0,1.0,3.0
Chris Blair,#83,WR,1.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,60.7,-,-,-,0 (0),0.0,0.0,0.0
Tyler Vrabel,#73,T,3.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,60.7,-,-,-,0 (0),0.0,0.0,0.0
Isaiah Prince,#75,T,2.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,60.7,-,-,-,0 (0),0.0,0.0,0.0
