player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Taylor Heinicke,2023,2,14.0,7.0,6.32,0.031,15.905694,7.952847,7.180285,00-0031800,2023,ATL,QB,QB,4.0,1993-03-15,,,31.0
Desmond Ridder,2022,4,5.362962,1.340741,1.080336,0.006,6.578773,1.644694,1.325254,00-0038122,2023,ATL,QB,QB,9.0,1999-08-31,ATL,74.0,24.0
Logan Woodside,2022,2,1.905,0.9525,0.0,0.005,2.336873,1.168437,0.0,00-0034438,2023,ATL,QB,QB,11.0,1995-01-27,CIN,249.0,29.0
Feleipe Franks,2021,3,2.44,0.813333,0.1,0.004,3.414663,1.138221,0.139945,00-0036825,2023,ATL,TE,TE,15.0,1997-12-22,,,26.0
Cordarrelle Patterson,2022,2,10.5,5.25,5.0,0.025,12.880403,6.440202,6.133525,00-0030578,2023,ATL,RB,RB,84.0,1991-03-17,MIN,29.0,33.0
Bijan Robinson,2023,4,21.958544,5.489636,21.958544,0.024,24.947563,6.236891,24.947563,00-0038542,2023,ATL,RB,RB,7.0,2002-01-30,ATL,8.0,22.0
Avery Williams,2021,4,3.720152,0.930038,0.240152,0.005,5.206174,1.301544,0.336081,00-0036950,2023,ATL,RB,RB,26.0,1998-07-15,ATL,183.0,25.0
Tyler Allgeier,2022,4,3.993888,0.998472,0.333888,0.005,4.899323,1.224831,0.409582,00-0037263,2023,ATL,RB,RB,25.0,2000-04-15,ATL,151.0,24.0
Jacob Salyors,2023,3,2.705,0.901667,0.01,0.004,3.073207,1.024403,0.011361,00-0038896,2023,ATL,RB,RB,39.0,2000-03-08,,,24.0
Carlos Washington Jr.,2023,3,2.7,0.9,0.005,0.004,3.067527,1.022509,0.005681,00-0038930,2023,ATL,RB,RB,28.0,1998-12-26,,,25.0
Clint Ratkovich,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038156,2023,ATL,RB,FB,38.0,,,,
Keith Smith,2023,1,2.35,2.35,0.625,0.01,2.669884,2.669884,0.710076,00-0030968,2023,ATL,RB,FB,40.0,1992-04-08,,,32.0
Drake London,2022,4,21.534472,5.383618,21.534472,0.026,26.416446,6.604112,26.416446,00-0037238,2023,ATL,WR,WR,5.0,2001-07-24,ATL,8.0,22.0
KhaDarel Hodge,2023,1,1.2,1.2,0.0,0.005,1.363345,1.363345,0.0,00-0034854,2023,ATL,WR,WR,12.0,1995-01-03,,,29.0
Mack Hollins,2023,1,2.5,2.5,0.91,0.011,2.840302,2.840302,1.03387,00-0033555,2023,ATL,WR,WR,18.0,1993-09-16,PHI,118.0,30.0
Van Jefferson,2020,4,5.61114,1.402785,3.11588,0.007,7.2305,1.807625,4.015115,00-0036415,2023,ATL,WR,WR,15.0,1996-07-26,LA,57.0,27.0
J.J. Arcega-Whiteside,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035246,2023,ATL,WR,WR,83.0,1996-12-31,PHI,57.0,27.0
Scott Miller,2023,1,1.2325,1.2325,0.1525,0.005,1.400269,1.400269,0.173258,00-0035298,2023,ATL,WR,WR,16.0,1997-07-31,TB,208.0,26.0
Frank Darby,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036951,2023,ATL,WR,WR,88.0,1997-09-08,ATL,187.0,26.0
Penny Hart,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035022,2023,ATL,WR,WR,19.0,1996-07-05,,,27.0
C.J. Saunders,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036910,2023,ATL,WR,WR,86.0,1996-09-15,,,27.0
Slade Bolden,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037173,2023,ATL,WR,WR,89.0,,,,
Xavier Malone,2023,3,2.705,0.901667,0.01,0.004,3.073207,1.024403,0.011361,00-0038928,2023,ATL,WR,WR,82.0,2000-03-06,,,24.0
Keilahn Harris,2023,3,2.7,0.9,0.005,0.004,3.067527,1.022509,0.005681,00-0038926,2023,ATL,WR,WR,86.0,2001-01-08,,,23.0
Josh Ali,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038149,2023,ATL,WR,WR,80.0,1999-03-03,,,25.0
Jonnu Smith,2023,2,15.0,7.5,8.5,0.033,17.041815,8.520907,9.657028,00-0033858,2023,ATL,TE,TE,81.0,1995-08-22,TEN,100.0,28.0
Kyle Pitts,2021,4,32.910496,8.227624,32.910496,0.045,46.056661,11.514165,46.056661,00-0036970,2023,ATL,TE,TE,8.0,2000-10-06,ATL,4.0,23.0
MyCole Pruitt,2023,1,1.215,1.215,0.0,0.005,1.380387,1.380387,0.0,00-0031585,2023,ATL,TE,TE,85.0,1992-03-24,MIN,143.0,32.0
John FitzPatrick,2022,4,3.792012,0.948003,0.132012,0.005,4.65168,1.16292,0.16194,00-0037306,2023,ATL,TE,TE,87.0,2000-03-09,ATL,213.0,24.0
Parker Hesse,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035572,2023,ATL,TE,TE,46.0,1995-05-26,,,28.0
Tucker Fisk,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037654,2023,ATL,TE,TE,43.0,1999-01-19,,,25.0
Jake Matthews,2022,3,55.5,18.5,42.058823,0.089,68.082133,22.694044,51.593772,00-0031279,2023,ATL,OL,T,70.0,1992-02-11,ATL,6.0,32.0
Ethan Greenidge,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035403,2023,ATL,OL,T,71.0,1997-09-10,,,26.0
Barry Wesley,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038304,2023,ATL,OL,T,69.0,1999-07-14,,,24.0
Isaiah Prince,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035295,2023,ATL,OL,T,75.0,1997-07-29,MIA,202.0,26.0
Matthew Bergeron,2023,4,8.978482,2.244621,7.014143,0.01,10.200642,2.550161,7.968915,00-0039048,2023,ATL,OL,G,65.0,2000-02-26,ATL,38.0,24.0
Justin Shaffer,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037290,2023,ATL,OL,G,54.0,1998-06-20,ATL,190.0,25.0
Ryan Neuzil,2022,1,0.705,0.705,0.0,0.003,0.864827,0.864827,0.0,00-0036833,2023,ATL,OL,C,64.0,1997-07-31,,,26.0
Jovaughn Gwyn,2023,4,3.945828,0.986457,0.105828,0.004,4.482938,1.120735,0.120233,00-0038629,2023,ATL,OL,G,56.0,1999-03-18,ATL,225.0,25.0
John Leglue,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0034937,2023,ATL,OL,T,66.0,1996-04-17,,,28.0
Matt Hennessy,2020,4,4.686377,1.171594,1.00958,0.006,6.038853,1.509713,1.300942,00-0036295,2023,ATL,OL,C,61.0,1997-11-17,ATL,78.0,26.0
Drew Dalman,2021,4,4.256724,1.064181,0.776724,0.006,5.957081,1.48927,1.086988,00-0036957,2023,ATL,OL,C,67.0,1998-10-15,ATL,114.0,25.0
Michal Menet,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036890,2023,ATL,OL,C,72.0,,ARI,247.0,
Chris Lindstrom,2023,5,102.5,20.5,62.702,0.091,116.452402,23.29048,71.237059,00-0035630,2023,ATL,OL,G,63.0,1997-02-08,ATL,14.0,27.0
Kyle Hinton,2023,2,1.955,0.9775,0.1,0.004,2.221117,1.110558,0.113612,00-0036354,2023,ATL,OL,G,68.0,1998-02-27,MIN,253.0,26.0
Kaleb McGary,2023,3,34.5,11.5,15.0,0.051,39.196174,13.065391,17.041815,00-0035235,2023,ATL,OL,T,76.0,1995-02-22,ATL,31.0,29.0
Storm Norton,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0033752,2023,ATL,OL,T,77.0,1994-05-16,,,29.0
Tyler Vrabel,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037590,2023,ATL,OL,T,73.0,2000-06-24,,,23.0
Ryan Swoboda,2023,3,2.705,0.901667,0.025,0.004,3.073207,1.024403,0.028403,00-0038662,2023,ATL,OL,T,50.0,1998-09-19,,,25.0
Andre Smith,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034430,2023,ATL,LB,ILB,59.0,1997-04-20,CAR,234.0,27.0
Grady Jarrett,2022,3,49.5,16.5,36.470588,0.079,60.721902,20.240634,44.738656,00-0031583,2023,ATL,DL,DT,97.0,1993-04-28,ATL,137.0,30.0
Eddie Goldman,2022,1,1.2725,1.2725,1.0475,0.006,1.560982,1.560982,1.284974,00-0031551,2023,ATL,DL,NT,91.0,1994-01-06,CHI,39.0,30.0
David Onyemata,2023,3,35.0,11.666667,24.5,0.052,39.764235,13.254745,27.834964,00-0033051,2023,ATL,DL,DT,90.0,1992-11-08,NO,120.0,31.0
Calais Campbell,2023,1,7.0,7.0,7.0,0.031,7.952847,7.952847,7.952847,00-0026190,2023,ATL,DL,DE,93.0,1986-09-01,ARI,50.0,37.0
Kemoko Turay,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034354,2023,ATL,DL,DE,52.0,1995-07-11,IND,52.0,28.0
Tommy Togiai,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036883,2023,ATL,DL,DT,62.0,1999-09-19,CLE,132.0,24.0
Ta'Quon Graham,2021,4,3.830612,0.957653,0.350612,0.005,5.360758,1.340189,0.490665,00-0036948,2023,ATL,DL,DE,95.0,1998-12-01,ATL,148.0,25.0
Demone Harris,2023,1,1.09,1.09,0.01,0.005,1.238372,1.238372,0.011361,00-0034612,2023,ATL,DL,DE,91.0,1995-12-30,,,28.0
Joe Gaziano,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0035903,2023,ATL,DL,DE,99.0,1996-09-27,,,27.0
Albert Huggins,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035455,2023,ATL,DL,DT,94.0,1997-06-27,,,26.0
Carlos Davis,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036352,2023,ATL,DL,DT,74.0,1996-08-22,PIT,232.0,27.0
Caeveon Patton,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0038044,2023,ATL,DL,DT,75.0,,,,
Lacale London,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0036204,2023,ATL,DL,DT,72.0,1997-08-05,,,26.0
Delontae Scott,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035971,2023,ATL,DL,DE,73.0,1997-01-21,,,27.0
