Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Chris Lindstrom,#63,G,16.0,"1,066",0.0,606.0,0.0,460.0,87.6,-,78.6,-,87.5,7 (2)
Tyler Allgeier,#25,HB,17.0,358,114.0,32.0,188.0,24.0,82.9,81.0,90.3,78.0,43.4,0 (0)
Drew Dalman,#67,C,14.0,932,0.0,519.0,0.0,413.0,82.3,-,53.0,-,90.0,5 (2)
Drake London,#05,WR,16.0,860,511.0,0.0,0.0,349.0,78.9,78.9,-,-,56.7,1 (0)
Kaleb McGary,#76,T,14.0,847,1.0,478.0,0.0,368.0,75.5,58.8,69.5,-,76.5,3 (1)
Jake Matthews,#70,T,17.0,"1,061",0.0,596.0,0.0,465.0,71.2,-,80.1,-,60.2,6 (1)
Bijan Robinson,#07,HB,17.0,770,441.0,57.0,217.0,55.0,69.1,61.5,56.8,75.1,35.5,2 (0)
Storm Norton,#77,T,6.0,283,1.0,153.0,0.0,129.0,68.3,57.8,69.3,-,66.4,1 (0)
Kyle Pitts,#08,TE,17.0,726,486.0,10.0,0.0,230.0,68.1,72.7,77.6,-,31.2,4 (2)
Tyler Vrabel,#73,T,1.0,57,0.0,37.0,0.0,20.0,68.1,-,71.6,-,62.1,0 (0)
Mack Hollins,#18,WR,13.0,343,167.0,1.0,0.0,175.0,64.6,64.8,66.1,-,61.0,1 (0)
Scott Miller,#16,WR,17.0,267,134.0,0.0,0.0,133.0,64.4,63.4,-,-,63.7,0 (0)
John FitzPatrick,#87,TE,5.0,18,7.0,0.0,0.0,11.0,63.7,68.7,-,-,49.3,0 (0)
Cordarrelle Patterson,#84,HB,14.0,177,89.0,3.0,52.0,33.0,62.7,56.3,78.3,66.3,58.1,0 (0)
KhaDarel Hodge,#12,WR,17.0,370,190.0,1.0,1.0,178.0,62.4,64.9,68.1,49.4,50.5,0 (0)
John Leglue,#66,C,1.0,8,0.0,0.0,0.0,8.0,61.9,-,-,-,61.6,0 (0)
Godwin Igwebuike,#42,HB,2.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0)
Kyle Hinton,#68,G,4.0,63,0.0,28.0,0.0,35.0,59.8,-,79.2,-,54.5,0 (0)
MyCole Pruitt,#85,TE,17.0,401,68.0,86.0,0.0,247.0,59.4,76.7,64.2,-,46.8,3 (0)
Matthew Bergeron,#65,G,17.0,"1,127",0.0,632.0,0.0,495.0,59.1,-,57.1,-,59.6,4 (0)
Jonnu Smith,#81,TE,17.0,653,395.0,44.0,1.0,213.0,59.1,63.5,75.4,56.9,43.7,5 (2)
Chris Blair,#83,WR,1.0,8,3.0,0.0,0.0,5.0,56.8,57.3,-,-,59.4,0 (0)
Ryan Neuzil,#64,C,6.0,203,0.0,116.0,0.0,87.0,55.3,-,59.1,-,56.2,1 (0)
Taylor Heinicke,#04,QB,5.0,271,161.0,0.0,2.0,108.0,52.5,48.5,-,70.7,60.9,0 (0)
Tucker Fisk,#43,TE,6.0,72,9.0,13.0,0.0,50.0,52.0,63.9,54.7,-,50.9,0 (0)
Desmond Ridder,#09,QB,15.0,848,465.0,1.0,34.0,348.0,51.9,53.2,61.3,48.8,60.3,5 (0)
Damiere Byrd,#14,WR,1.0,19,12.0,0.0,0.0,7.0,51.7,52.0,-,-,60.8,0 (0)
Van Jefferson,#15,WR,12.0,356,224.0,0.0,0.0,132.0,51.3,52.5,-,-,59.9,3 (0)
Parker Hesse,#46,TE,3.0,48,4.0,2.0,0.0,42.0,48.4,53.6,70.9,-,50.9,0 (0)
Keith Smith,#40,FB,13.0,184,27.0,33.0,0.0,124.0,47.2,59.2,57.8,-,44.6,0 (0)
Logan Woodside,#11,QB,1.0,10,6.0,0.0,0.0,4.0,24.8,24.9,-,58.3,60.0,0 (0)
