OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Kevin Zeitler,#70,G,17.0,"1,101","1,101",100.0,451.0,650.0,71.6,62.4,82.3,608.0,100.0,3.0,1.0,17.0,21.0,98.0,4 (1),0.0,0,0,"1,101",0.0,0.0
2.0,Ben Cleveland,#66,G,13.0,171,171,100.0,95.0,76.0,65.8,62.0,80.7,75.0,100.0,0.0,0.0,3.0,3.0,98.0,1 (0),2.0,5,0,149,1.0,14.0
3.0,Tyler Linderbaum,#64,C,17.0,"1,043","1,043",100.0,433.0,610.0,78.5,78.6,78.3,572.0,100.0,0.0,3.0,15.0,18.0,98.4,5 (0),0.0,0,"1,043",0,0.0,0.0
4.0,Morgan Moses,#78,T,16.0,901,901,100.0,377.0,524.0,80.4,80.3,77.0,490.0,100.0,6.0,0.0,20.0,26.0,96.7,6 (2),11.0,0,0,0,890.0,0.0
5.0,Ronnie Stanley,#79,T,15.0,834,834,100.0,334.0,500.0,68.1,63.0,75.9,472.0,100.0,5.0,5.0,32.0,42.0,95.0,10 (0),816.0,0,0,0,0.0,17.0
6.0,Mark Andrews,#89,TE,11.0,485,175,36.1,168.0,7.0,78.8,58.8,71.0,6.0,2.0,0.0,0.0,0.0,0.0,100.0,0 (0),6.0,0,0,0,8.0,62.0
7.0,Patrick Mekari,#65,T,18.0,593,593,100.0,270.0,323.0,71.0,72.1,63.1,302.0,100.0,5.0,3.0,12.0,20.0,95.9,2 (0),369.0,0,9,0,187.0,27.0
8.0,Patrick Ricard,#42,FB,19.0,495,374,75.6,326.0,48.0,58.9,64.1,62.8,46.0,28.8,0.0,0.0,4.0,4.0,95.7,3 (0),6.0,0,0,0,0.0,356.0
9.0,Sam Mustipher,#61,C,7.0,202,202,100.0,92.0,110.0,67.0,67.1,61.0,105.0,100.0,0.0,0.0,2.0,2.0,99.0,1 (0),0.0,3,199,0,0.0,0.0
10.0,John Simpson,#76,G,19.0,"1,242","1,242",100.0,522.0,720.0,56.3,57.2,59.2,677.0,100.0,1.0,7.0,23.0,31.0,97.6,13 (1),0.0,"1,242",0,0,0.0,0.0
11.0,Justice Hill,#43,HB,18.0,513,113,22.0,35.0,78.0,70.3,64.7,58.8,73.0,20.9,2.0,0.0,6.0,8.0,93.2,0 (0),0.0,0,0,0,0.0,4.0
12.0,Gus Edwards,#35,HB,19.0,512,115,22.5,63.0,52.0,73.7,59.1,55.1,47.0,20.7,0.0,0.0,3.0,3.0,96.8,2 (0),0.0,0,0,0,0.0,1.0
12.0,Charlie Kolar,#88,TE,16.0,268,199,74.3,186.0,13.0,55.4,54.9,55.1,13.0,16.7,0.0,0.0,1.0,1.0,96.2,0 (0),7.0,0,0,0,3.0,221.0
14.0,J.K. Dobbins,#27,HB,1.0,30,6,20.0,4.0,2.0,53.5,59.6,48.2,2.0,12.5,0.0,0.0,1.0,1.0,75.0,0 (0),0.0,0,0,0,0.0,0.0
15.0,Daniel Faalele,#77,T,13.0,191,191,100.0,88.0,103.0,48.7,50.5,43.6,100.0,100.0,3.0,2.0,5.0,10.0,93.5,0 (0),22.0,1,0,1,160.0,7.0
16.0,Isaiah Likely,#80,TE,19.0,579,219,37.8,212.0,7.0,65.6,51.9,40.5,7.0,2.0,0.0,0.0,0.0,0.0,100.0,2 (0),11.0,0,0,0,2.0,270.0
17.0,Melvin Gordon III,#33,HB,4.0,56,12,21.4,7.0,5.0,65.3,49.8,36.9,5.0,22.7,0.0,0.0,1.0,1.0,90.0,0 (0),0.0,0,0,0,0.0,0.0
18.0,Laquon Treadwell,#18,WR,3.0,65,26,40.0,25.0,1.0,51.3,63.7,36.3,1.0,2.6,0.0,0.0,1.0,1.0,50.0,0 (0),0.0,0,0,0,0.0,0.0
18.0,Nelson Agholor,#15,WR,19.0,646,228,35.3,227.0,1.0,61.6,59.6,36.3,1.0,0.3,0.0,0.0,1.0,1.0,50.0,1 (1),0.0,0,0,0,0.0,24.0
20.0,Keaton Mitchell,#34,HB,7.0,135,32,23.7,20.0,12.0,92.4,65.7,35.9,12.0,19.0,1.0,0.0,1.0,2.0,87.5,0 (0),0.0,0,0,0,0.0,2.0
21.0,Dalvin Cook,#31,HB,1.0,9,1,11.1,1.0,0.0,55.5,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0.0,0.0
21.0,Ben Mason,#38,FB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0.0,1.0
21.0,Kenyan Drake,#37,HB,2.0,12,2,16.7,2.0,0.0,44.4,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0.0,0.0
21.0,Malik Cunningham,#12,QB,1.0,4,2,50.0,2.0,0.0,57.0,59.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0.0,1.0
21.0,Tyler Huntley,#02,QB,5.0,86,30,34.9,30.0,0.0,63.8,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0.0,0.0
21.0,Tylan Wallace,#16,WR,9.0,65,38,58.5,38.0,0.0,57.0,55.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0.0,1.0
21.0,Devin Duvernay,#13,WR,11.0,136,64,47.1,64.0,0.0,51.4,68.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (1),0.0,0,0,0,0.0,1.0
21.0,Odell Beckham Jr.,#03,WR,16.0,519,158,30.4,158.0,0.0,75.4,44.8,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (0),0.0,0,0,0,0.0,0.0
21.0,Rashod Bateman,#07,WR,18.0,690,280,40.6,280.0,0.0,61.0,60.5,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (1),0.0,0,0,0,0.0,2.0
21.0,Zay Flowers,#04,WR,18.0,"1,012",376,37.2,376.0,0.0,76.3,63.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (1),0.0,0,0,0,0.0,1.0
21.0,Lamar Jackson,#08,QB,18.0,"1,165",393,33.7,393.0,0.0,90.4,60.2,-,0.0,0.0,0.0,0.0,0.0,0.0,,10 (2),0.0,0,0,0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
