RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Melvin Gordon III,#33,HB,4.0,3.0,3.0,100.0,46,15.3,0.0,65.3,85.2,72.1,28.5,36.9,23.0,17.0,73.9,5.0,21.7,0.0,0.0,1.0,4.3,0.0,0.0,30.0,10.0,2.71,5.3,23.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,118.8,0 (0)
2.0,Keaton Mitchell,#34,HB,7.0,10.0,9.0,90.0,93,10.3,0.0,92.4,82.1,77.3,83.0,35.9,67.0,51.0,76.1,12.0,17.9,4.0,6.0,8.0,11.9,2.0,3.0,120.0,13.3,1.82,-0.7,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,105.4,0 (0)
3.0,Mark Andrews,#89,TE,11.0,62.0,47.0,75.8,559,11.9,6.0,78.8,79.5,55.3,79.1,71.0,316.0,290.0,91.8,7.0,2.2,253.0,80.1,28.0,8.9,33.0,10.4,218.0,4.6,1.93,8.2,38.0,4.0,7.8,7.0,3.0,42.9,0.0,0.0,7.0,27.0,135.1,0 (0)
4.0,Odell Beckham Jr.,#03,WR,16.0,69.0,39.0,56.5,599,15.4,3.0,75.4,77.0,82.6,29.7,-,361.0,332.0,92.0,0.0,0.0,47.0,13.0,314.0,87.0,0.0,0.0,162.0,4.2,1.8,15.0,51.0,1.0,2.5,11.0,5.0,45.5,1.0,1.0,4.0,29.0,93.8,2 (0)
5.0,Zay Flowers,#04,WR,18.0,116.0,86.0,74.1,"1,014",11.8,6.0,76.3,75.2,65.6,57.7,-,626.0,588.0,93.9,0.0,0.0,194.0,31.0,432.0,69.0,0.0,0.0,444.0,5.2,1.72,9.1,75.0,7.0,7.5,11.0,6.0,54.5,1.0,1.0,21.0,48.0,113.9,2 (1)
6.0,Isaiah Likely,#80,TE,19.0,43.0,34.0,79.1,461,13.6,6.0,65.6,68.9,54.6,77.8,40.5,367.0,341.0,92.9,7.0,1.9,193.0,52.6,22.0,6.0,150.0,40.9,246.0,7.2,1.35,7.4,54.0,4.0,10.5,5.0,5.0,100.0,1.0,0.0,12.0,18.0,141.2,2 (0)
7.0,J.K. Dobbins,#27,HB,1.0,2.0,2.0,100.0,15,7.5,0.0,53.5,65.9,70.5,73.2,48.2,18.0,14.0,77.8,2.0,11.1,1.0,5.6,1.0,5.6,0.0,0.0,15.0,7.5,1.07,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,97.9,0 (0)
8.0,Justice Hill,#43,HB,18.0,45.0,34.0,75.6,251,7.4,1.0,70.3,63.5,81.5,70.6,58.8,375.0,277.0,73.9,78.0,20.8,15.0,4.0,16.0,4.3,4.0,1.1,281.0,8.3,0.91,0.6,24.0,1.0,2.9,5.0,2.0,40.0,0.0,1.0,8.0,12.0,95.7,0 (0)
9.0,Nelson Agholor,#15,WR,19.0,52.0,38.0,73.1,432,11.4,5.0,61.6,61.4,56.7,43.6,36.3,419.0,394.0,94.0,1.0,0.2,301.0,71.8,106.0,25.3,12.0,2.9,172.0,4.5,1.1,9.7,39.0,4.0,9.5,9.0,4.0,44.4,1.0,1.0,4.0,21.0,121.6,1 (1)
10.0,Rashod Bateman,#07,WR,18.0,61.0,36.0,59.0,408,11.3,1.0,61.0,60.1,55.9,78.0,-,409.0,389.0,95.1,0.0,0.0,42.0,10.3,366.0,89.5,1.0,0.2,72.0,2.0,1.05,14.6,29.0,4.0,10.0,14.0,7.0,50.0,3.0,0.0,3.0,22.0,64.1,1 (1)
