RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Keaton Mitchell,#34,HB,7.0,68.0,47.0,396.0,8.4,2.0,0.0,92.4,92.5,83.0,65.7,267.0,5.68,15.0,60.0,12.0,28.0,15.0,0.0,0.0,396.0,7.0,240.0,60.6,19.0,0 (0),82.1,35.9,10.0,9.0,93,51.0,1.82,0.0,152.2
2.0,Lamar Jackson,#08,QB,18.0,490.0,167.0,975.0,5.8,7.0,12.0,90.4,90.8,43.3,60.2,541.0,3.24,46.0,30.0,36.0,20.0,47.0,72.0,498.0,477.0,6.0,114.0,11.7,57.0,10 (2),-,-,1.0,1.0,13,0.0,,0.0,35.1
3.0,Gus Edwards,#35,HB,19.0,275.0,211.0,870.0,4.1,13.0,3.0,73.7,75.4,54.3,59.1,583.0,2.76,29.0,42.0,16.0,90.0,117.0,0.0,0.0,870.0,9.0,205.0,23.6,53.0,2 (0),54.5,55.1,15.0,14.0,195,180.0,1.08,0.0,35.6
4.0,Zay Flowers,#04,WR,18.0,386.0,10.0,60.0,6.0,1.0,1.0,76.3,75.0,57.7,63.0,50.0,5.0,4.0,37.0,1.0,0.0,7.0,0.0,0.0,60.0,1.0,37.0,61.7,1.0,2 (1),75.2,-,116.0,86.0,"1,014",588.0,1.72,7.0,130.2
5.0,Justice Hill,#43,HB,18.0,138.0,100.0,456.0,4.6,3.0,1.0,70.3,73.5,70.6,64.7,255.0,2.55,17.0,41.0,11.0,55.0,39.0,0.0,0.0,456.0,4.0,101.0,22.1,21.0,0 (0),63.5,58.8,45.0,34.0,251,277.0,0.91,1.0,47.6
6.0,Rashod Bateman,#07,WR,18.0,281.0,1.0,18.0,18.0,0.0,0.0,61.0,63.3,78.0,60.5,4.0,4.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,18.0,1.0,18.0,100.0,1.0,1 (1),60.1,-,61.0,36.0,408,389.0,1.05,4.0,43.2
7.0,Melvin Gordon III,#33,HB,4.0,33.0,26.0,81.0,3.1,1.0,1.0,65.3,62.9,28.5,49.8,62.0,2.38,5.0,22.0,2.0,13.0,11.0,0.0,0.0,81.0,2.0,37.0,45.7,4.0,0 (0),85.2,36.9,3.0,3.0,46,17.0,2.71,0.0,49.3
8.0,Devin Duvernay,#13,WR,11.0,68.0,4.0,15.0,3.8,0.0,0.0,51.4,60.1,90.0,68.7,5.0,1.25,0.0,8.0,0.0,1.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1 (1),49.6,-,9.0,4.0,18,64.0,0.28,0.0,0.0
9.0,Kenyan Drake,#37,HB,2.0,3.0,1.0,0.0,0.0,0.0,1.0,44.4,59.5,14.1,60.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0 (0),28.4,-,3.0,2.0,31,9.0,3.44,0.0,133.3
10.0,Mark Andrews,#89,TE,11.0,169.0,1.0,0.0,0.0,0.0,0.0,78.8,58.2,79.1,58.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0 (0),79.5,71.0,62.0,47.0,559,290.0,1.93,4.0,0.0
