Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Keaton Mitchell,#34,HB,7.0,135,55.0,12.0,48.0,20.0,92.4,82.1,35.9,92.5,65.7,0 (0)
Lamar Jackson,#08,QB,18.0,"1,165",675.0,0.0,97.0,393.0,90.4,83.0,-,90.8,60.2,10 (2)
Morgan Moses,#78,T,16.0,901,0.0,524.0,0.0,377.0,80.4,-,77.0,-,80.3,6 (2)
Mark Andrews,#89,TE,11.0,485,309.0,7.0,1.0,168.0,78.8,79.5,71.0,58.2,58.8,0 (0)
Tyler Linderbaum,#64,C,17.0,"1,043",0.0,610.0,0.0,433.0,78.5,-,78.3,-,78.6,5 (0)
Zay Flowers,#04,WR,18.0,"1,012",626.0,0.0,10.0,376.0,76.3,75.2,-,75.0,63.0,2 (1)
Odell Beckham Jr.,#03,WR,16.0,519,361.0,0.0,0.0,158.0,75.4,77.0,-,-,44.8,2 (0)
Gus Edwards,#35,HB,19.0,512,185.0,52.0,212.0,63.0,73.7,54.5,55.1,75.4,59.1,2 (0)
Kevin Zeitler,#70,G,17.0,"1,101",0.0,650.0,0.0,451.0,71.6,-,82.3,-,62.4,4 (1)
Patrick Mekari,#65,T,18.0,593,0.0,323.0,0.0,270.0,71.0,-,63.1,-,72.1,2 (0)
Justice Hill,#43,HB,18.0,513,297.0,78.0,103.0,35.0,70.3,63.5,58.8,73.5,64.7,0 (0)
Ronnie Stanley,#79,T,15.0,834,0.0,500.0,0.0,334.0,68.1,-,75.9,-,63.0,10 (0)
Sam Mustipher,#61,C,7.0,202,0.0,110.0,0.0,92.0,67.0,-,61.0,-,67.1,1 (0)
Ben Cleveland,#66,G,13.0,171,0.0,76.0,0.0,95.0,65.8,-,80.7,-,62.0,1 (0)
Isaiah Likely,#80,TE,19.0,579,360.0,7.0,0.0,212.0,65.6,68.9,40.5,-,51.9,2 (0)
Melvin Gordon III,#33,HB,4.0,56,18.0,5.0,26.0,7.0,65.3,85.2,36.9,62.9,49.8,0 (0)
Tyler Huntley,#02,QB,5.0,86,48.0,0.0,8.0,30.0,63.8,64.7,-,57.6,60.0,0 (0)
Nelson Agholor,#15,WR,19.0,646,418.0,1.0,0.0,227.0,61.6,61.4,36.3,-,59.6,1 (1)
Rashod Bateman,#07,WR,18.0,690,409.0,0.0,1.0,280.0,61.0,60.1,-,63.3,60.5,1 (1)
Ben Mason,#38,FB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Patrick Ricard,#42,FB,19.0,495,121.0,48.0,0.0,326.0,58.9,46.4,62.8,-,64.1,3 (0)
Tylan Wallace,#16,WR,9.0,65,27.0,0.0,0.0,38.0,57.0,57.1,-,-,55.7,0 (0)
Malik Cunningham,#12,QB,1.0,4,2.0,0.0,0.0,2.0,57.0,57.7,-,-,59.0,0 (0)
John Simpson,#76,G,19.0,"1,242",0.0,720.0,0.0,522.0,56.3,-,59.2,-,57.2,13 (1)
Dalvin Cook,#31,HB,1.0,9,0.0,0.0,8.0,1.0,55.5,-,-,56.7,60.0,0 (0)
Charlie Kolar,#88,TE,16.0,268,68.0,13.0,1.0,186.0,55.4,57.4,55.1,58.2,54.9,0 (0)
J.K. Dobbins,#27,HB,1.0,30,16.0,2.0,8.0,4.0,53.5,65.9,48.2,49.6,59.6,0 (0)
Devin Duvernay,#13,WR,11.0,136,68.0,0.0,4.0,64.0,51.4,49.6,-,60.1,68.7,1 (1)
Laquon Treadwell,#18,WR,3.0,65,39.0,1.0,0.0,25.0,51.3,51.3,36.3,-,63.7,0 (0)
Daniel Faalele,#77,T,13.0,191,0.0,103.0,0.0,88.0,48.7,-,43.6,-,50.5,0 (0)
Kenyan Drake,#37,HB,2.0,12,9.0,0.0,1.0,2.0,44.4,28.4,-,59.5,60.0,0 (0)
,,,,,,,,,,,,,,
