Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Tyrel Dodson,#25,LB,16.0,335.0,293.0,87.5,88.4,1 (0),32.0,27.0,84.4,212.0,7.9,196.0,0.4,20.0,2.0,6.0,2.0,0.0,0.0,1.0,104.7,8.5,10.1,29.0,7.0,7.0,16.3,14.0
A.J. Epenesa,#57,ED,17.0,257.0,8.0,3.1,85.2,2 (1),4.0,3.0,75.0,23.0,7.7,10.0,5.3,14.0,0.0,0.0,0.0,2.0,0.0,0.0,49.0,2.0,2.7,3.0,0.0,5.0,62.5,9.0
Christian Benford,#47,CB,16.0,553.0,552.0,99.8,83.3,5 (1),61.0,42.0,68.9,453.0,10.8,128.0,10.5,39.0,9.0,15.0,7.0,2.0,0.0,2.0,87.7,8.5,12.3,40.0,1.0,1.0,2.4,8.0
Taron Johnson,#07,CB,19.0,688.0,654.0,95.1,81.0,6 (1),81.0,62.0,76.5,518.0,8.4,296.0,4.3,32.0,6.0,7.0,4.0,0.0,1.0,3.0,104.9,7.6,9.9,52.0,6.0,5.0,7.9,23.0
Tre'Davious White,#27,CB,4.0,118.0,116.0,98.3,79.0,1 (0),15.0,9.0,60.0,60.0,6.7,16.0,6.9,16.0,1.0,7.0,1.0,1.0,1.0,2.0,80.6,7.5,12.4,8.0,0.0,0.0,0.0,2.0
Greg Rousseau,#50,ED,18.0,438.0,19.0,4.3,75.7,0 (0),5.0,4.0,80.0,25.0,6.3,21.0,2.4,10.0,1.0,20.0,1.0,0.0,0.0,0.0,87.5,3.6,4.5,7.0,2.0,5.0,35.7,12.0
Rasul Douglas,#31,CB,10.0,347.0,341.0,98.3,75.0,3 (0),41.0,23.0,56.1,264.0,11.5,77.0,11.4,33.0,4.0,10.0,4.0,4.0,1.0,1.0,44.2,7.8,14.0,16.0,0.0,2.0,11.1,3.0
Von Miller,#40,ED,14.0,223.0,16.0,7.2,74.7,1 (0),1.0,1.0,100.0,8.0,8.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.0,14.0,1.0,1.0,2.0,50.0,0.0
Matt Milano,#58,LB,5.0,136.0,122.0,89.7,73.6,1 (0),18.0,14.0,77.8,162.0,11.6,90.0,5.9,21.0,0.0,0.0,0.0,2.0,0.0,0.0,64.6,6.3,8.1,13.0,3.0,2.0,11.1,4.0
Micah Hyde,#23,S,16.0,593.0,574.0,96.8,69.8,0 (0),32.0,25.0,78.1,314.0,12.6,80.0,11.3,32.0,2.0,6.0,2.0,2.0,0.0,4.0,121.1,16.7,21.3,34.0,7.0,2.0,4.7,6.0
