Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Tyrel Dodson,#25,LB,15.0,254.0,86.1,37.0,9.0,6.0,11.5,27.0,10.9,0.0,2.6,1 (0)
Rasul Douglas,#31,CB,10.0,206.0,82.2,6.0,4.0,3.0,23.1,6.0,3.0,1.0,1.7,3 (0)
Greg Rousseau,#50,ED,18.0,222.0,79.6,25.0,5.0,2.0,6.3,19.0,8.7,1.0,1.2,0 (0)
Christian Benford,#47,CB,16.0,284.0,75.7,9.0,2.0,0.0,0.0,2.0,0.7,0.0,16.6,5 (1)
DaQuan Jones,#92,DI,9.0,88.0,74.6,8.0,9.0,2.0,10.5,7.0,8.1,0.0,0.9,1 (0)
Dorian Williams,#42,LB,11.0,94.0,71.8,14.0,7.0,3.0,12.5,5.0,5.4,0.0,5.7,3 (0)
Cam Lewis,#39,S,11.0,29.0,70.9,5.0,0.0,1.0,16.7,2.0,7.1,0.0,4.8,0 (0)
Terrel Bernard,#43,LB,18.0,368.0,69.9,53.0,32.0,12.0,12.4,35.0,9.8,0.0,3.1,3 (0)
Jordan Poyer,#21,S,18.0,395.0,65.7,34.0,15.0,5.0,9.3,15.0,3.9,0.0,7.4,2 (0)
Matt Milano,#58,LB,5.0,75.0,65.4,10.0,2.0,3.0,20.0,7.0,9.6,1.0,2.8,1 (0)
Siran Neal,#33,CB,4.0,9.0,63.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Kingsley Jonathan,#59,ED,7.0,24.0,63.3,2.0,1.0,1.0,25.0,2.0,8.7,0.0,3.5,0 (0)
Kaiir Elam,#24,CB,3.0,74.0,62.3,4.0,4.0,1.0,11.1,2.0,2.7,0.0,5.3,2 (0)
Baylon Spector,#54,LB,4.0,21.0,62.3,4.0,1.0,0.0,0.0,4.0,20.0,0.0,1.3,0 (0)
Taron Johnson,#07,CB,19.0,356.0,61.5,31.0,13.0,6.0,12.0,17.0,4.9,0.0,5.2,6 (1)
Ja'Marcus Ingram,#46,CB,1.0,7.0,60.9,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Taylor Rapp,#20,S,10.0,133.0,57.9,13.0,3.0,1.0,5.9,3.0,2.3,0.0,7.2,3 (1)
Damar Hamlin,#03,S,2.0,5.0,56.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Leonard Floyd,#56,ED,19.0,182.0,56.1,12.0,5.0,3.0,15.0,11.0,6.0,0.0,2.5,3 (1)
Tyler Matakevich,#44,LB,4.0,5.0,55.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
Josh Norman,#29,CB,1.0,5.0,54.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0 (0)
A.J. Epenesa,#57,ED,17.0,181.0,53.0,3.0,9.0,1.0,7.7,3.0,1.7,0.0,0.0,2 (1)
Von Miller,#40,ED,14.0,75.0,52.0,3.0,0.0,1.0,25.0,2.0,2.7,0.0,2.0,1 (0)
Micah Hyde,#23,S,16.0,319.0,50.2,14.0,3.0,6.0,26.1,2.0,0.6,0.0,19.1,0 (0)
A.J. Klein,#52,LB,2.0,33.0,48.7,5.0,2.0,0.0,0.0,3.0,9.1,0.0,5.6,0 (0)
Ed Oliver,#91,DI,18.0,272.0,48.5,31.0,7.0,4.0,9.5,23.0,8.6,0.0,1.5,6 (0)
Shaq Lawson,#90,ED,18.0,154.0,48.5,9.0,3.0,3.0,20.0,5.0,3.4,0.0,1.7,2 (0)
Poona Ford,#98,DI,8.0,64.0,47.6,6.0,3.0,0.0,0.0,4.0,6.3,0.0,4.0,0 (0)
Tim Settle,#99,DI,19.0,161.0,43.5,8.0,4.0,3.0,20.0,8.0,5.2,0.0,1.5,2 (0)
Linval Joseph,#93,DI,9.0,86.0,33.3,8.0,2.0,0.0,0.0,5.0,6.0,0.0,2.1,0 (0)
Kendal Vickers,#93,DI,2.0,31.0,30.1,0.0,2.0,1.0,33.3,0.0,0.0,0.0,,0 (0)
Jordan Phillips,#97,DI,14.0,139.0,30.0,9.0,3.0,4.0,25.0,6.0,4.4,0.0,4.1,4 (0)
Tre'Davious White,#27,CB,4.0,64.0,29.9,3.0,1.0,2.0,33.3,0.0,0.0,0.0,19.3,1 (0)
Dane Jackson,#30,CB,12.0,194.0,28.8,9.0,2.0,7.0,38.9,7.0,3.6,1.0,2.7,3 (2)
,,,,,,,,,,,,,,
