Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Tyrel Dodson,#25,LB,16.0,589,254.0,42.0,293.0,90.2,86.1,54.7,72.8,88.4,12.0,3.0,4.0,5.0,0.0,66.0,16.0,13.0,13.7,41.0,1.0,32.0,27.0,84.4,212.0,7.9,196.0,20.0,1.0,0.0,2.0,104.7,1 (0),33.0,490.0,1.0,53.0,11.0,0.0,0.0,0.0,33.0
Greg Rousseau,#50,ED,18.0,660,222.0,419.0,19.0,87.1,79.6,38.6,75.2,75.7,62.0,7.0,14.0,41.0,3.0,32.0,7.0,7.0,15.2,31.0,1.0,5.0,4.0,80.0,25.0,6.3,21.0,10.0,0.0,0.0,1.0,87.5,0 (0),656.0,3.0,0.0,0.0,0.0,0.0,32.0,77.0,547.0
Christian Benford,#47,CB,16.0,837,284.0,1.0,552.0,83.0,75.7,83.7,58.8,83.3,1.0,0.0,0.0,1.0,0.0,49.0,3.0,1.0,1.9,10.0,3.0,61.0,42.0,68.9,453.0,10.8,128.0,39.0,2.0,2.0,7.0,87.7,5 (1),4.0,28.0,1.0,5.0,798.0,0.0,0.0,0.0,4.0
DaQuan Jones,#92,DI,9.0,240,88.0,152.0,0.0,82.9,74.6,29.6,80.9,60.0,20.0,3.0,3.0,14.0,0.0,8.0,9.0,5.0,22.7,10.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),238.0,2.0,0.0,0.0,0.0,29.0,181.0,28.0,0.0
Rasul Douglas,#31,CB,10.0,553,206.0,6.0,341.0,78.2,82.2,51.8,69.9,75.0,1.0,1.0,0.0,0.0,0.0,22.0,4.0,5.0,16.1,9.0,1.0,41.0,23.0,56.1,264.0,11.5,77.0,33.0,1.0,4.0,4.0,44.2,3 (0),15.0,39.0,0.0,9.0,490.0,0.0,0.0,0.0,15.0
Kingsley Jonathan,#59,ED,12.0,97,24.0,72.0,1.0,77.7,63.3,53.0,74.7,60.7,8.0,1.0,2.0,5.0,0.0,2.0,1.0,1.0,25.0,3.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
Taron Johnson,#07,CB,19.0,"1,044",356.0,34.0,654.0,77.3,61.5,75.9,69.3,81.0,8.0,1.0,1.0,6.0,0.0,83.0,19.0,11.0,9.7,40.0,3.0,81.0,62.0,76.5,518.0,8.4,296.0,32.0,3.0,0.0,4.0,104.9,6 (1),38.0,220.0,7.0,770.0,9.0,0.0,0.0,0.0,38.0
A.J. Epenesa,#57,ED,17.0,438,181.0,249.0,8.0,75.8,53.0,42.8,75.0,85.2,33.0,7.0,5.0,21.0,6.0,6.0,9.0,6.0,28.6,12.0,1.0,4.0,3.0,75.0,23.0,7.7,10.0,14.0,0.0,2.0,0.0,49.0,2 (1),437.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,433.0
Matt Milano,#58,LB,5.0,211,75.0,14.0,122.0,70.9,65.4,45.0,59.5,73.6,2.0,0.0,1.0,1.0,0.0,23.0,5.0,5.0,15.2,11.0,1.0,18.0,14.0,77.8,162.0,11.6,90.0,21.0,0.0,2.0,0.0,64.6,1 (0),7.0,175.0,5.0,23.0,1.0,0.0,0.0,0.0,7.0
Deonte Harty,#11,WR,1.0,1,0.0,0.0,1.0,70.2,-,-,-,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
