Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Damien Harris,#22,HB,6.0,60,18,30.0,9.0,9.0,76.5,60.0,85.3,8.0,34.8,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0,0.0
Dawson Knox,#88,TE,14.0,545,254,46.6,227.0,27.0,54.5,51.1,79.5,24.0,8.1,0.0,0.0,0.0,0.0,100.0,4 (0),0,0,0,0,3,325.0
Dion Dawkins,#73,T,19.0,"1,264","1,264",100.0,495.0,769.0,74.9,66.9,77.4,724.0,100.0,2.0,7.0,28.0,37.0,97.3,9 (3),"1,263",0,0,0,0,1.0
Leonard Fournette,#05,HB,2.0,26,8,30.8,7.0,1.0,59.5,59.0,76.4,1.0,14.3,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0,2.0
Connor McGovern,#66,G,19.0,"1,278","1,278",100.0,504.0,774.0,55.4,44.5,73.8,729.0,100.0,2.0,4.0,22.0,28.0,97.9,4 (1),0,"1,278",0,0,0,0.0
Mitch Morse,#60,C,19.0,"1,272","1,272",100.0,499.0,773.0,63.9,61.5,72.5,728.0,100.0,1.0,2.0,27.0,30.0,97.9,5 (1),0,0,"1,272",0,0,0.0
Quintin Morris,#85,TE,17.0,207,149,72.0,140.0,9.0,55.2,64.0,71.9,7.0,11.5,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0,139.0
Ryan Bates,#71,C,6.0,35,35,100.0,33.0,2.0,78.7,77.2,70.8,2.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,35,0,0,0.0
Khalil Shakir,#10,WR,19.0,702,291,41.5,288.0,3.0,76.7,56.6,69.9,3.0,0.8,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0,0,20.0
David Edwards,#76,G,17.0,194,191,98.5,156.0,35.0,90.2,85.9,68.0,32.0,91.4,0.0,0.0,1.0,1.0,98.4,1 (0),1,29,0,0,0,161.0
Spencer Brown,#79,T,19.0,"1,304","1,304",100.0,530.0,774.0,70.1,73.3,66.5,729.0,100.0,5.0,5.0,32.0,42.0,96.8,9 (1),0,0,0,0,"1,301",3.0
Trent Sherfield,#16,WR,19.0,499,254,50.9,253.0,1.0,51.1,38.6,65.4,1.0,0.4,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0,0,6.0
Gabe Davis,#13,WR,17.0,965,373,38.7,366.0,7.0,67.9,49.8,65.3,7.0,1.3,0.0,1.0,1.0,2.0,85.7,0 (0),0,0,0,0,0,51.0
Latavius Murray,#28,HB,18.0,375,83,22.1,33.0,50.0,65.9,57.1,64.3,50.0,20.3,1.0,1.0,5.0,7.0,92.0,1 (0),0,0,0,0,0,3.0
Reggie Gilliam,#41,FB,18.0,107,83,77.6,73.0,10.0,63.9,72.5,62.8,10.0,29.4,0.0,0.0,1.0,1.0,95.0,1 (0),0,0,0,0,0,37.0
Ty Johnson,#26,HB,10.0,127,27,21.3,15.0,12.0,78.7,77.8,58.9,12.0,19.4,0.0,0.0,1.0,1.0,95.8,0 (0),0,0,0,0,0,5.0
O'Cyrus Torrence,#64,G,19.0,"1,307","1,307",100.0,532.0,775.0,54.9,58.1,48.2,730.0,100.0,3.0,4.0,39.0,46.0,96.6,6 (1),0,0,0,"1,307",0,0.0
Dalton Kincaid,#86,TE,18.0,784,239,30.5,233.0,6.0,68.8,55.8,44.3,6.0,1.2,0.0,0.0,0.0,0.0,100.0,6 (0),0,0,0,0,0,247.0
Ryan Van Demark,#74,T,9.0,46,46,100.0,39.0,7.0,60.2,64.4,27.2,7.0,100.0,0.0,1.0,0.0,1.0,92.9,0 (0),43,0,0,0,3,0.0
James Cook,#04,HB,19.0,713,78,10.9,37.0,41.0,71.7,56.0,23.5,37.0,9.7,0.0,1.0,9.0,10.0,86.5,0 (0),0,0,0,0,0,0.0
Sam Martin,#08,P,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
Dorian Williams,#42,LB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
Reid Ferguson,#69,LS,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
Kingsley Jonathan,#59,ED,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
Siran Neal,#33,CB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
Tyrel Dodson,#25,LB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
Cam Lewis,#39,S,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0,0.0
