player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Josh Allen,2021,6,258.0,43.0,150.0,0.236,361.05863,60.176438,209.917808,00-0034857,2023,BUF,QB,QB,17.0,1996-05-21,BUF,7.0,27.0
Kyle Allen,2023,1,1.2325,1.2325,0.35,0.005,1.400269,1.400269,0.397642,00-0034577,2023,BUF,QB,QB,9.0,1996-03-08,,,28.0
Shane Buechele,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036679,2023,BUF,QB,QB,6.0,1998-01-08,,,26.0
Leonard Fournette,2023,1,0.2898,0.2898,0.0,0.001,0.329248,0.329248,0.0,00-0033856,2023,BUF,RB,RB,5.0,1995-01-18,JAX,4.0,29.0
Latavius Murray,2023,1,1.3175,1.3175,0.8025,0.006,1.496839,1.496839,0.911737,00-0030513,2023,BUF,RB,RB,28.0,1990-01-18,OAK,181.0,34.0
Damien Harris,2023,1,1.77,1.77,1.0,0.008,2.010934,2.010934,1.136121,00-0035657,2023,BUF,RB,RB,22.0,1997-02-11,NE,87.0,27.0
James Cook,2022,4,5.832064,1.458016,3.096594,0.007,7.154223,1.788556,3.798608,00-0037248,2023,BUF,RB,RB,4.0,1999-09-25,BUF,63.0,24.0
Ty Johnson,2023,1,1.2325,1.2325,0.25,0.005,1.400269,1.400269,0.28403,00-0035537,2023,BUF,RB,RB,26.0,1997-09-17,DET,186.0,26.0
Reggie Gilliam,2022,2,4.6,2.3,2.3,0.011,5.642843,2.821422,2.821422,00-0036187,2023,BUF,RB,FB,41.0,1997-08-20,,,26.0
Stefon Diggs,2022,4,96.0,24.0,70.0,0.115,117.763689,29.440922,85.869356,00-0031588,2023,BUF,WR,WR,14.0,1993-11-29,MIN,146.0,30.0
Deonte Harty,2023,2,9.5,4.75,5.0,0.021,10.793149,5.396575,5.680605,00-0035215,2023,BUF,WR,WR,11.0,1997-12-04,,,26.0
K.J. Hamler,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0036412,2023,BUF,WR,WR,13.0,1999-07-08,DEN,46.0,24.0
Trent Sherfield,2023,1,1.77,1.77,0.75,0.008,2.010934,2.010934,0.852091,00-0034487,2023,BUF,WR,WR,16.0,1996-02-26,,,28.0
