Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Shaq Lawson,#90,ED,17.0,62.0,0.0,0.0,4.0,0.0,58.0,0.0,78.5,-,-,-,0 (0),0.0,0.0,0.0
Dorian Williams,#42,LB,18.0,299.0,75.0,98.0,60.0,53.0,13.0,0.0,74.8,-,-,-,0 (0),5.0,2.0,1.0
Josh Norman,#29,CB,3.0,17.0,0.0,13.0,4.0,0.0,0.0,0.0,72.6,-,-,-,0 (0),2.0,1.0,0.0
Kingsley Jonathan,#59,ED,14.0,190.0,62.0,42.0,53.0,29.0,4.0,0.0,70.9,-,-,-,0 (0),0.0,0.0,1.0
Quintin Morris,#85,TE,17.0,353.0,71.0,85.0,61.0,52.0,0.0,84.0,70.2,-,-,-,0 (0),0.0,0.0,2.0
Tyler Matakevich,#44,LB,19.0,379.0,85.0,106.0,70.0,57.0,61.0,0.0,69.3,-,-,-,1 (0),5.0,0.0,2.0
Tyrel Dodson,#25,LB,17.0,190.0,25.0,36.0,23.0,51.0,55.0,0.0,68.7,-,-,-,0 (0),3.0,0.0,1.0
Siran Neal,#33,CB,19.0,379.0,84.0,105.0,71.0,57.0,62.0,0.0,66.9,-,-,-,3 (0),5.0,1.0,3.0
Cam Lewis,#39,S,19.0,358.0,82.0,103.0,59.0,55.0,59.0,0.0,65.9,-,-,-,1 (0),5.0,0.0,2.0
Reid Ferguson,#69,LS,19.0,149.0,0.0,0.0,0.0,57.0,0.0,92.0,65.5,-,-,-,0 (0),2.0,1.0,1.0
Taron Johnson,#07,CB,8.0,9.0,0.0,3.0,5.0,0.0,1.0,0.0,64.4,-,-,-,0 (0),0.0,0.0,0.0
Spencer Brown,#79,T,18.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,63.9,-,-,-,0 (0),0.0,0.0,0.0
Sam Martin,#08,P,19.0,149.0,0.0,0.0,0.0,57.0,0.0,92.0,63.8,-,70.8,-,0 (0),0.0,0.0,2.0
Dane Jackson,#30,CB,13.0,102.0,14.0,52.0,33.0,0.0,3.0,0.0,63.6,-,-,-,0 (0),2.0,0.0,1.0
Dion Dawkins,#73,T,19.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,63.6,-,-,-,0 (0),0.0,0.0,0.0
Connor McGovern,#66,G,19.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,63.4,-,-,-,0 (0),0.0,0.0,0.0
Baylon Spector,#54,LB,10.0,142.0,41.0,39.0,32.0,28.0,2.0,0.0,63.1,-,-,-,2 (0),1.0,1.0,0.0
Damar Hamlin,#03,S,7.0,124.0,36.0,41.0,25.0,21.0,1.0,0.0,63.0,-,-,-,1 (1),3.0,0.0,1.0
Ed Oliver,#91,DI,6.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Terrel Bernard,#43,LB,16.0,56.0,1.0,0.0,6.0,0.0,49.0,0.0,62.5,-,-,-,0 (0),0.0,0.0,0.0
Taylor Rapp,#20,S,16.0,189.0,42.0,60.0,32.0,34.0,21.0,0.0,62.5,-,-,-,0 (0),3.0,1.0,0.0
David Edwards,#76,G,19.0,92.0,0.0,0.0,0.0,0.0,0.0,92.0,62.4,-,-,-,0 (0),0.0,0.0,0.0
Ryan Bates,#71,C,19.0,91.0,0.0,0.0,0.0,0.0,0.0,91.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Ryan Van Demark,#74,T,8.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
Reggie Gilliam,#41,FB,19.0,406.0,84.0,105.0,68.0,57.0,0.0,92.0,61.8,-,-,-,1 (0),3.0,0.0,4.0
O'Cyrus Torrence,#64,G,19.0,92.0,0.0,0.0,0.0,0.0,0.0,92.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
A.J. Klein,#52,LB,4.0,30.0,9.0,0.0,11.0,7.0,3.0,0.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
Leonard Floyd,#56,ED,6.0,8.0,0.0,0.0,4.0,0.0,4.0,0.0,61.3,-,-,-,0 (0),0.0,0.0,0.0
Andy Isabella,#87,WR,4.0,46.0,20.0,11.0,15.0,0.0,0.0,0.0,61.2,59.4,-,-,0 (0),0.0,0.0,0.0
Tyler Bass,#02,K,19.0,198.0,0.0,106.0,0.0,0.0,0.0,92.0,61.1,44.6,-,64.5,0 (0),1.0,0.0,1.0
Deonte Harty,#11,WR,18.0,82.0,11.0,0.0,71.0,0.0,0.0,0.0,60.6,62.0,68.6,-,0 (0),0.0,0.0,0.0
Greg Rousseau,#50,ED,15.0,57.0,0.0,0.0,6.0,0.0,51.0,0.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
Kendal Vickers,#93,DI,2.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
Rasul Douglas,#31,CB,4.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
Micah Hyde,#23,S,13.0,45.0,1.0,0.0,0.0,0.0,44.0,0.0,60.1,-,-,-,0 (0),0.0,0.0,0.0
Dalton Kincaid,#86,TE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Gabe Davis,#13,WR,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Matt Milano,#58,LB,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Leonard Fournette,#05,HB,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,57.1,-,-,0 (0),0.0,0.0,0.0
Stefon Diggs,#14,WR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Von Miller,#40,ED,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Linval Joseph,#93,DI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Poona Ford,#98,DI,8.0,33.0,0.0,0.0,4.0,0.0,29.0,0.0,59.9,-,-,-,0 (0),0.0,0.0,0.0
DaQuan Jones,#92,DI,5.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
A.J. Epenesa,#57,ED,8.0,26.0,0.0,0.0,1.0,2.0,23.0,0.0,59.1,-,-,-,0 (0),0.0,0.0,0.0
Khalil Shakir,#10,WR,18.0,95.0,72.0,3.0,20.0,0.0,0.0,0.0,57.6,54.9,55.5,-,0 (0),0.0,0.0,0.0
Damien Harris,#22,HB,6.0,34.0,23.0,0.0,7.0,4.0,0.0,0.0,55.4,60.3,-,-,0 (0),0.0,0.0,0.0
Kaiir Elam,#24,CB,4.0,19.0,0.0,17.0,2.0,0.0,0.0,0.0,54.1,-,-,-,0 (0),0.0,0.0,0.0
Christian Benford,#47,CB,10.0,30.0,0.0,14.0,11.0,0.0,5.0,0.0,52.9,-,-,-,0 (0),0.0,0.0,0.0
Trent Sherfield,#16,WR,17.0,150.0,25.0,92.0,33.0,0.0,0.0,0.0,52.7,-,-,-,1 (1),2.0,0.0,2.0
Jordan Poyer,#21,S,16.0,68.0,1.0,1.0,8.0,0.0,58.0,0.0,50.9,-,-,-,1 (0),0.0,0.0,0.0
Tim Settle,#99,DI,17.0,64.0,0.0,0.0,4.0,0.0,60.0,0.0,50.8,-,-,-,1 (0),0.0,0.0,0.0
Ty Johnson,#26,HB,12.0,85.0,52.0,20.0,9.0,4.0,0.0,0.0,37.5,55.2,-,-,0 (0),1.0,0.0,1.0
Jordan Phillips,#97,DI,6.0,7.0,0.0,0.0,1.0,0.0,6.0,0.0,33.1,-,-,-,1 (0),0.0,0.0,0.0
Ja'Marcus Ingram,#46,CB,3.0,36.0,9.0,13.0,12.0,2.0,0.0,0.0,29.3,-,-,-,2 (1),0.0,0.0,0.0
