"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","CAR",1,"00-0036037","S","Sam Franklin","Sam","Franklin",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 16:58:07
2023,"REG","CAR",1,"00-0036955","WR","Terrace Marshall","Terrace","Marshall",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-09-08 16:58:19
2023,"REG","CAR",1,"00-0036635","WR","Ihmir Smith-Marsette","Ihmir","Smith-Marsette",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 16:58:43
2023,"REG","CAR",1,"00-0031795","DT","DeShawn Williams","DeShawn","Williams",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-08 16:58:33
2023,"REG","CAR",1,"00-0034777","WR","D.J. Chark","D.J.","Chark","Hamstring",NA,"Out","Hamstring",NA,"Limited Participation in Practice",2023-09-08 16:59:01
2023,"REG","CAR",1,"00-0030035","WR","Adam Thielen","Adam","Thielen","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-08 16:59:20
2023,"REG","CAR",2,"00-0036944","CB","Jaycee Horn","Jaycee","Horn",NA,NA,NA,"Hamstring",NA,"Did Not Participate In Practice",2023-09-15 17:02:27
2023,"REG","CAR",2,"00-0033284","T","Taylor Moton","Taylor","Moton",NA,NA,NA,"Biceps",NA,"Full Participation in Practice",2023-09-16 17:55:54
2023,"REG","CAR",2,"00-0034777","WR","D.J. Chark","D.J.","Chark","Hamstring",NA,"Questionable","Hamstring",NA,"Full Participation in Practice",2023-09-16 17:56:05
2023,"REG","CAR",3,"00-0037043","LB","Amare Barno","Amare","Barno",NA,NA,NA,"Thigh",NA,"Full Participation in Practice",2023-09-22 17:09:18
2023,"REG","CAR",3,"00-0035713","LB","Brian Burns","Brian","Burns",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 17:08:18
2023,"REG","CAR",3,"00-0035243","RB","Miles Sanders","Miles","Sanders",NA,NA,NA,"Pectoral",NA,"Full Participation in Practice",2023-09-22 17:08:46
2023,"REG","CAR",3,"00-0037560","LB","Chandler Wooten","Chandler","Wooten",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 17:09:05
2023,"REG","CAR",3,"00-0039150","QB","Bryce Young","Bryce","Young","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-09-22 17:09:41
2023,"REG","CAR",3,"00-0028008","LB","Justin Houston","Justin","Houston","Calf",NA,"Questionable","Calf",NA,"Full Participation in Practice",2023-09-22 17:09:56
2023,"REG","CAR",4,"00-0030035","WR","Adam Thielen","Adam","Thielen",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-28 19:16:00
2023,"REG","CAR",4,"00-0034281","C","Bradley Bozeman","Bradley","Bozeman",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-09-29 17:04:57
2023,"REG","CAR",4,"00-0034777","WR","D.J. Chark","D.J.","Chark",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-29 17:05:08
2023,"REG","CAR",4,"00-0036281","CB","C.J. Henderson","C.J.","Henderson",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-29 17:05:22
2023,"REG","CAR",4,"00-0033284","T","Taylor Moton","Taylor","Moton",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-29 17:05:45
2023,"REG","CAR",4,"00-0037203","DE","LaBryan Ray","LaBryan","Ray",NA,NA,NA,"Finger",NA,"Full Participation in Practice",2023-09-29 17:05:59
2023,"REG","CAR",4,"00-0039150","QB","Bryce Young","Bryce","Young",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-29 17:06:09
2023,"REG","CAR",4,"00-0038536","G","Chandler Zavala","Chandler","Zavala",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-29 17:06:18
2023,"REG","CAR",4,"00-0033579","S","Xavier Woods","Xavier","Woods","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 17:06:49
2023,"REG","CAR",4,"00-0035243","RB","Miles Sanders","Miles","Sanders","Groin",NA,"Questionable","Groin",NA,"Did Not Participate In Practice",2023-09-29 17:07:00
2023,"REG","CAR",4,"00-0039062","WR","Jonathan Mingo","Jonathan","Mingo","Concussion",NA,"Questionable","Concussion",NA,"Full Participation in Practice",2023-09-29 17:07:23
2023,"REG","CAR",4,"00-0034302","LB","Frankie Luvu","Frankie","Luvu","Hip",NA,"Questionable","Hip",NA,"Limited Participation in Practice",2023-09-29 17:07:14
2023,"REG","CAR",5,"00-0028008","LB","Justin Houston","Justin","Houston",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 19:09:54
2023,"REG","CAR",5,"00-0038493","LB","Claudin Cherelus","Claudin","Cherelus",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-10-06 16:41:24
2023,"REG","CAR",5,"00-0035956","TE","Giovanni Ricci","Giovanni","Ricci",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-10-06 16:42:08
2023,"REG","CAR",5,"00-0035243","RB","Miles Sanders","Miles","Sanders",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-10-06 16:42:19
2023,"REG","CAR",5,"00-0031795","DE","DeShawn Williams","DeShawn","Williams",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-10-06 16:42:31
2023,"REG","CAR",5,"00-0034302","LB","Frankie Luvu","Frankie","Luvu",NA,NA,NA,"Hip",NA,"Limited Participation in Practice",2023-10-06 16:41:10
2023,"REG","CAR",5,"00-0033579","S","Xavier Woods","Xavier","Woods","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-10-06 16:40:50
2023,"REG","CAR",5,"00-0034261","G","Austin Corbett","Austin","Corbett","Knee",NA,"Out","Knee",NA,"Full Participation in Practice",2023-10-06 16:43:16
2023,"REG","CAR",5,"00-0036438","TE","Stephen Sullivan","Stephen","Sullivan","Hip",NA,"Out","Hip",NA,"Full Participation in Practice",2023-10-06 16:43:29
2023,"REG","CAR",5,"00-0034356","CB","Donte Jackson","Donte","Jackson","Shoulder",NA,"Questionable","Shoulder",NA,"Full Participation in Practice",2023-10-06 16:41:53
