Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,@,Atlanta Falcons,09/10,1:00pm,L,10.0,24.0,55.2,53.7,36.3,64.0,59.9,55.2,62.3,58.7,41.4,29.7,81.1,62.7,59.8,Game Reports
2.0,,New Orleans Saints,09/18,7:15pm,L,17.0,20.0,71.3,56.7,50.8,45.1,60.6,77.3,51.9,80.9,77.4,70.7,71.5,77.0,67.2,Game Reports
3.0,@,Seattle Seahawks,09/24,4:05pm,L,27.0,37.0,57.4,61.0,79.1,23.8,67.3,57.3,47.1,55.3,53.9,29.2,70.2,52.5,54.4,Game Reports
4.0,,Minnesota Vikings,10/01,1:00pm,L,13.0,21.0,59.4,62.8,64.1,64.2,66.8,58.3,53.1,52.8,29.4,81.0,69.1,69.0,53.5,Game Reports
5.0,@,Detroit Lions,10/08,1:00pm,L,24.0,42.0,60.9,67.3,58.4,63.0,71.5,67.6,55.0,50.5,54.0,68.1,57.7,50.0,65.8,Game Reports
6.0,@,Miami Dolphins,10/15,1:00pm,L,21.0,42.0,54.8,60.2,56.4,49.8,67.1,67.0,44.7,48.4,50.9,28.0,60.2,45.5,69.7,Game Reports
8.0,,Houston Texans,10/29,1:00pm,W,15.0,13.0,66.0,63.3,68.6,60.8,65.9,59.2,45.3,62.4,54.5,47.5,66.8,63.2,84.9,Game Reports
9.0,,Indianapolis Colts,11/05,4:05pm,L,13.0,27.0,60.7,52.7,37.9,48.2,53.6,69.4,68.2,70.6,82.4,76.3,66.1,59.0,61.6,Game Reports
10.0,@,Chicago Bears,11/09,8:20pm,L,13.0,16.0,64.5,56.3,51.0,85.4,56.3,57.3,47.4,69.4,58.1,48.9,59.4,77.6,60.7,Game Reports
11.0,,Dallas Cowboys,11/19,1:00pm,L,10.0,33.0,55.6,55.4,50.2,21.2,56.7,75.7,68.8,56.9,42.5,45.8,59.2,69.9,60.7,Game Reports
12.0,@,Tennessee Titans,11/26,1:00pm,L,10.0,17.0,59.2,55.7,54.2,53.2,57.8,61.1,54.5,66.7,67.7,42.2,66.6,61.4,39.6,Game Reports
13.0,@,Tampa Bay Buccaneers,12/03,4:05pm,L,18.0,21.0,73.9,64.1,54.1,60.2,63.3,83.4,54.1,80.4,74.0,66.7,68.8,78.5,61.4,Game Reports
14.0,@,New Orleans Saints,12/10,1:00pm,L,6.0,28.0,66.0,60.9,46.3,63.5,50.3,81.6,69.9,73.5,66.5,77.1,68.7,72.9,66.9,Game Reports
15.0,,Atlanta Falcons,12/17,1:00pm,W,9.0,7.0,71.1,66.9,74.2,86.3,68.3,55.8,55.6,69.8,84.9,66.9,53.6,53.8,77.0,Game Reports
16.0,,Green Bay Packers,12/24,1:00pm,L,30.0,33.0,78.7,78.0,81.3,50.7,78.7,71.4,59.0,70.0,80.2,38.7,59.7,58.5,76.6,Game Reports
17.0,@,Jacksonville Jaguars,12/31,1:00pm,L,0.0,26.0,62.5,54.9,63.2,69.7,46.6,69.3,56.1,70.7,72.6,29.4,72.4,62.1,63.5,Game Reports
18.0,,Tampa Bay Buccaneers,01/07,1:00pm,L,0.0,9.0,65.5,58.2,55.9,59.6,47.2,72.2,62.2,74.5,59.9,71.8,62.1,80.9,53.0,Game Reports
,,,,,,,,,,,,,,,,,,,,,
