player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Andy Dalton,2023,2,10.0,5.0,8.0,0.022,11.36121,5.680605,9.088968,00-0027973,2023,CAR,QB,QB,14.0,1987-10-29,CIN,35.0,36.0
Bryce Young,2023,4,37.955074,9.488769,37.955074,0.042,43.121556,10.78039,43.121556,00-0039150,2023,CAR,QB,QB,9.0,2001-07-25,CAR,1.0,22.0
Jake Luton,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0036312,2023,CAR,QB,QB,16.0,1996-04-11,JAX,189.0,28.0
Miles Sanders,2023,4,25.4,6.35,13.0,0.028,28.857473,7.214368,14.769573,00-0035243,2023,CAR,RB,RB,6.0,1997-05-01,PHI,53.0,26.0
Mike Boone,2023,2,3.1,1.55,0.3,0.007,3.521975,1.760988,0.340836,00-0034208,2023,CAR,RB,RB,22.0,1995-07-30,,,28.0
Chuba Hubbard,2021,4,4.193172,1.04829,0.713172,0.006,5.868143,1.467032,0.99805,00-0036555,2023,CAR,RB,RB,30.0,1999-06-11,CAR,126.0,24.0
Spencer Brown,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036543,2023,CAR,RB,RB,41.0,1998-11-13,,,25.0
Raheem Blackshear,2022,3,2.575,0.858333,0.015,0.004,3.158766,1.052921,0.018401,00-0037429,2023,CAR,RB,RB,3.0,1998-06-05,,,25.0
Camerun Peoples,2023,3,2.71,0.903333,0.045,0.004,3.078888,1.026296,0.051125,00-0038777,2023,CAR,RB,RB,32.0,,,,
Giovanni Ricci,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035956,2023,CAR,TE,TE,45.0,1996-10-16,,,27.0
Adam Thielen,2023,3,25.0,8.333333,14.0,0.037,28.403025,9.467675,15.905694,00-0030035,2023,CAR,WR,WR,19.0,1990-08-22,,,33.0
