Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Derrick Brown,#95,DI,17.0,938.0,427.0,511.0,0.0,90.1,90.0,74.9,78.1,67.3,41.0,2.0,12.0,27.0,6.0,73.0,35.0,5.0,4.4,53.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,5 (2),938.0,0.0,0.0,0.0,0.0,35.0,402.0,481.0,20.0
Jaycee Horn,#08,CB,6.0,275.0,125.0,0.0,150.0,84.1,79.7,79.1,-,83.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,1.0,3.6,7.0,0.0,28.0,17.0,60.7,159.0,9.4,39.0,40.0,1.0,0.0,4.0,88.2,0 (0),3.0,31.0,0.0,0.0,241.0,0.0,0.0,0.0,3.0
Xavier Woods,#25,S,14.0,795.0,363.0,5.0,427.0,80.3,73.7,67.3,50.3,81.7,1.0,0.0,0.0,1.0,0.0,50.0,10.0,9.0,13.0,17.0,0.0,25.0,18.0,72.0,132.0,7.3,63.0,22.0,0.0,2.0,5.0,50.7,4 (1),12.0,210.0,446.0,121.0,6.0,0.0,0.0,0.0,12.0
Frankie Luvu,#49,LB,17.0,989.0,463.0,104.0,422.0,80.0,74.0,50.5,90.1,67.7,20.0,7.0,5.0,8.0,1.0,84.0,38.0,22.0,15.3,47.0,2.0,51.0,38.0,74.5,371.0,9.8,240.0,56.0,2.0,0.0,2.0,107.6,0 (0),83.0,873.0,4.0,28.0,1.0,0.0,0.0,0.0,83.0
Brian Burns,#00,ED,16.0,814.0,366.0,379.0,69.0,73.8,62.7,48.9,75.2,77.7,40.0,9.0,10.0,21.0,1.0,30.0,13.0,8.0,15.7,32.0,1.0,5.0,4.0,80.0,37.0,9.3,22.0,19.0,0.0,0.0,1.0,97.5,4 (1),804.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,804.0
Marquis Haynes Sr.,#98,ED,7.0,142.0,51.0,72.0,19.0,71.9,84.3,61.2,56.5,60.1,10.0,1.0,1.0,8.0,0.0,13.0,1.0,2.0,12.5,8.0,0.0,1.0,1.0,100.0,20.0,20.0,18.0,20.0,0.0,0.0,0.0,118.8,0 (0),138.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,138.0
Shaquill Griffin,#20,CB,2.0,77.0,42.0,1.0,34.0,70.0,72.5,83.2,60.0,67.7,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,50.0,67.0,22.3,14.0,48.0,0.0,0.0,1.0,90.3,0 (0),1.0,21.0,0.0,0.0,55.0,0.0,0.0,0.0,1.0
Deion Jones,#40,LB,13.0,313.0,89.0,29.0,195.0,66.3,43.8,47.1,72.8,76.7,5.0,1.0,0.0,4.0,0.0,25.0,9.0,6.0,15.0,11.0,0.0,30.0,19.0,63.3,121.0,6.4,72.0,22.0,0.0,1.0,4.0,57.8,2 (0),9.0,253.0,0.0,51.0,0.0,0.0,0.0,0.0,9.0
Eku Leota,#46,ED,7.0,77.0,35.0,30.0,12.0,65.6,63.6,29.4,59.3,66.5,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,25.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),75.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,74.0
Yetur Gross-Matos,#97,ED,12.0,465.0,221.0,192.0,52.0,65.4,66.4,49.9,65.2,56.3,19.0,5.0,5.0,9.0,0.0,19.0,11.0,5.0,14.3,20.0,0.0,4.0,4.0,100.0,44.0,11.0,44.0,20.0,0.0,0.0,0.0,112.5,2 (0),454.0,0.0,0.0,11.0,0.0,0.0,15.0,38.0,401.0
